,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
107,High Point,31,17,14,0.548,-4.64,-7.23,,12,4,,10,5,,6,8,,2221,2052,,67.4,97.4,0.397,0.325,0.508,50.3,51.1,8.7,7,0.472,17.5,34.4,0.264
108,Hofstra,32,7,25,0.219,-10.74,-1.9,,4,14,,6,9,,1,14,,1873,2132,,64.9,101.8,0.361,0.33,0.523,53.1,55.9,12.2,12.7,0.484,17.2,37.4,0.256
109,Holy Cross,30,12,18,0.4,-6.12,-2.96,,4,10,,7,5,,4,12,,1834,1929,,62.3,102.8,0.311,0.362,0.51,52.6,56.4,9.1,10.6,0.477,13.5,32.8,0.217
110,Houston,33,20,13,0.606,-0.3,-3.77,,7,9,,14,4,,5,8,,2578,2420,,70.1,101.9,0.337,0.332,0.516,49.9,54.6,9.2,8.1,0.484,15.8,34.1,0.23
111,Houston Christian,31,14,17,0.452,-15.25,-8.1,,3,5,,7,5,,3,12,,1982,2080,,69.6,94.9,0.409,0.263,0.508,52.3,48.1,13.2,9.6,0.465,19.8,35.9,0.285
112,Howard,31,7,24,0.226,-14.41,-5.34,,4,12,,5,7,,2,13,,1615,1868,,62.1,97.1,0.368,0.349,0.505,52.8,52.9,10.7,8.4,0.468,19,38.5,0.25
113,Idaho,30,12,18,0.4,-2.23,0.29,,7,11,,6,8,,6,8,,2050,2079,,63.3,108.5,0.306,0.348,0.536,48.5,47.1,10.5,8.5,0.509,12.2,31.2,0.209
114,Idaho State,30,6,24,0.2,-13.08,-4.94,,5,15,,5,7,,1,14,,1710,1928,,60.4,105.5,0.337,0.385,0.545,57.5,58.8,9.2,9.9,0.517,17.8,38,0.23
115,Illinois NCAA,36,23,13,0.639,13.18,10.04,,8,10,,12,4,,6,6,,2465,2332,,65.5,98.6,0.358,0.355,0.521,53.4,53.3,8.4,9.1,0.485,18.6,36.9,0.251
116,Illinois State,33,18,15,0.545,9.61,3.7,,8,10,,11,5,,5,8,,2460,2265,,69.3,98.3,0.34,0.358,0.519,52.6,54.4,9,6.7,0.484,18.2,33.8,0.238
117,Illinois-Chicago,34,18,16,0.529,-1.79,-0.69,,7,9,,12,4,,4,10,,2136,2134,,63.8,97.4,0.342,0.34,0.503,54.1,55.1,8.6,10.3,0.462,16.9,34.6,0.244
118,Indiana NCAA,36,29,7,0.806,24.92,8.39,,14,4,,17,2,,7,2,,2831,2236,,67.1,91.9,0.27,0.327,0.474,46.7,43.3,9.4,11.2,0.44,17.8,34,0.191
119,Indiana State,33,18,15,0.545,5.08,5.64,,9,9,,11,3,,4,10,,2159,2164,,65.3,98.9,0.387,0.31,0.507,53,51.3,10.3,6.4,0.466,15.8,32.6,0.27
120,Iona NCAA,34,20,14,0.588,4.06,0,,11,7,,11,1,,5,9,,2733,2595,,70.5,105.6,0.321,0.349,0.54,52.9,56.1,7.6,11,0.516,16.5,37.4,0.215
121,Iowa,38,25,13,0.658,14.22,6.93,,9,9,,18,2,,3,8,,2665,2388,,66.6,93.4,0.311,0.332,0.48,48.9,51.8,10.3,10.7,0.441,16.7,33.4,0.22
122,Iowa State NCAA,35,23,12,0.657,14.5,6.13,,11,7,,16,1,,4,7,,2779,2486,,70,100,0.327,0.333,0.518,48.8,53.8,9.3,8.5,0.48,16.2,31,0.237
123,IU Indy,32,6,26,0.188,-15.92,-2.79,,1,15,,3,8,,1,13,,2096,2451,,66.2,114,0.305,0.316,0.578,57.8,54.1,10.2,7.4,0.547,14.9,36.5,0.229
124,Jackson State,29,11,18,0.379,-14.82,-9.55,,9,9,,6,3,,4,14,,1920,2073,,69.4,101.7,0.393,0.324,0.53,56.8,47.8,8.9,10.2,0.5,17.9,38.1,0.258
125,Jacksonville,32,14,18,0.438,-10.2,-4.47,,9,9,,10,3,,3,13,,2181,2300,,69.4,102,0.383,0.329,0.535,51.6,56.3,10.4,10.2,0.498,17.9,34.6,0.268
126,Jacksonville State,28,17,11,0.607,-4.47,-4.28,,8,8,,9,3,,6,8,,1857,1817,,63.8,100.8,0.381,0.269,0.537,56.6,52,10.2,10.4,0.494,20.8,43.7,0.281
127,James Madison NCAA,36,21,15,0.583,-1.67,-2.22,,11,7,,10,4,,4,9,,2346,2326,,64.1,100,0.392,0.341,0.526,53.8,57,8.2,8.5,0.487,18.1,34.5,0.273
128,Kansas NCAA,37,31,6,0.838,20.79,7.55,,14,4,,16,1,,7,3,,2782,2292,,67.8,89.9,0.32,0.356,0.456,47.4,50.6,10.4,7.4,0.415,15.7,31.3,0.22
129,Kansas City,32,8,24,0.25,-13.61,-2.74,,5,11,,3,11,,4,11,,1950,2252,,65.1,108,0.416,0.31,0.568,53.2,55.1,12.1,9.3,0.54,16.8,33.3,0.282
130,Kansas State NCAA,35,27,8,0.771,13.54,6.54,,14,4,,15,1,,7,3,,2414,2115,,63.6,95,0.36,0.3,0.504,49.4,51.7,8.7,8.9,0.466,19,35.7,0.248
131,Kennesaw State,30,3,27,0.1,-15.13,-4.5,,2,16,,2,10,,1,15,,1831,2150,,64.5,108.9,0.476,0.313,0.585,56.4,56.6,10,9.2,0.555,18.6,38.2,0.325
132,Kent State,35,21,14,0.6,2.38,-0.82,,9,7,,12,6,,8,7,,2484,2373,,65.8,101.2,0.405,0.339,0.524,51.8,57.7,8.9,10.7,0.487,17.7,36.8,0.277
