,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
268,Southeast Missouri State,33,17,16,0.515,-5.49,-6.04,,8,8,,9,5,,7,8,,2446,2360,,69.2,102.9,0.343,0.324,0.495,52.2,49.6,9.4,9.2,0.454,12.7,34.7,0.243
269,Southeastern Louisiana,31,13,18,0.419,-10.67,-3.77,,10,8,,9,3,,3,14,,1965,2113,,66.4,102.2,0.412,0.274,0.526,54.9,51.3,8,10.8,0.49,16,34.4,0.276
270,Southern NCAA,33,23,10,0.697,-2.62,-10.32,,15,3,,12,0,,8,8,,2223,1890,,65.4,87.5,0.342,0.311,0.453,53.1,41.9,7.7,8.2,0.411,17.6,33.2,0.23
271,Southern California,32,14,18,0.438,6.26,8.19,,9,9,,10,6,,3,9,,2101,2163,,67.1,99.2,0.376,0.315,0.508,52.5,53.3,10.5,7.4,0.469,15.3,32.5,0.26
272,Southern Illinois,31,14,17,0.452,-0.84,2.26,,6,12,,9,4,,4,11,,1964,2019,,63.2,102.6,0.415,0.352,0.568,53.7,58.3,9.3,6.5,0.53,21.2,35.2,0.301
273,SIU Edwardsville,27,9,18,0.333,-11.17,-4.65,,5,11,,8,5,,1,13,,1699,1827,,66.3,102,0.356,0.318,0.543,54.3,56.4,10.1,9,0.514,18.6,34.5,0.242
274,Southern Methodist,32,15,17,0.469,-0.59,-1.34,,5,11,,7,7,,6,7,,2064,2007,,63.8,97.9,0.39,0.428,0.511,50.3,61.5,11.7,9.2,0.468,18.3,35.8,0.275
275,Southern Mississippi,37,27,10,0.73,8.95,1.49,,12,4,,14,2,,9,6,,2733,2348,,66.2,94.2,0.399,0.461,0.521,48.2,69.9,10.3,9.8,0.485,22,35,0.269
276,Southern Utah,31,11,20,0.355,-12.14,-5.11,,8,12,,9,5,,2,12,,2066,2230,,69.2,103.1,0.556,0.275,0.536,50.7,51.9,11,8.9,0.482,15.1,30.7,0.392
277,St. Bonaventure,29,14,15,0.483,3.45,2.73,,7,9,,8,6,,5,9,,2109,2088,,67.3,106.1,0.413,0.364,0.557,53.9,58.1,9.2,9.7,0.516,18.4,38.5,0.299
278,St. Francis (NY),30,12,18,0.4,-5.91,-4.74,,8,10,,6,6,,6,10,,2108,2143,,67.6,105.3,0.378,0.31,0.544,53.4,54.5,9,8.4,0.508,17,38,0.266
279,St. John's (NY),33,17,16,0.515,5.82,7.18,,8,10,,11,5,,5,8,,2138,2183,,67.4,97.1,0.289,0.332,0.489,55.2,55.8,9,7.6,0.456,16.9,39,0.2
280,Stanford,34,19,15,0.559,11.36,7.33,,9,9,,12,5,,5,7,,2397,2260,,68.3,97,0.337,0.255,0.509,51.1,45.7,8.1,8.3,0.468,16.8,31.5,0.245
281,Stephen F. Austin,32,27,5,0.844,4.23,-6.67,,16,2,,15,0,,11,4,,2075,1639,,62.7,81.6,0.333,0.276,0.458,47.1,45.9,10.9,9.2,0.421,21.4,28.1,0.217
282,Stetson,31,15,16,0.484,-6.13,-4.13,,11,7,,8,6,,6,9,,2180,2218,,68.9,103.8,0.29,0.344,0.528,51.3,55,13.3,8.9,0.505,15.2,34,0.19
283,Stony Brook,33,25,8,0.758,5.61,-4.11,,14,2,,11,1,,13,6,,2245,1898,,64.7,88.9,0.259,0.403,0.469,48.8,54.5,9.5,7.7,0.44,17.9,29.8,0.173
284,Syracuse NCAA,40,30,10,0.75,20.3,8.57,,11,7,,17,2,,5,5,,2816,2347,,65.2,89.5,0.354,0.403,0.467,50.3,67.6,10.6,8,0.426,19.7,38.4,0.238
285,TCU,32,11,21,0.344,-4.28,4.39,,2,16,,9,9,,1,10,,1761,2002,,61.7,101.4,0.336,0.285,0.523,53.1,55.1,9.1,9,0.492,17.3,35.8,0.23
286,Temple NCAA,34,24,10,0.706,9.54,5.21,,11,5,,14,3,,8,4,,2456,2309,,67.6,100.4,0.341,0.295,0.528,53.5,51.6,7.4,8,0.49,17.5,34.6,0.247
287,Tennessee,33,20,13,0.606,9.04,6.07,,11,7,,13,4,,4,7,,2189,2091,,63.1,98.9,0.344,0.278,0.505,48.1,49.3,9.9,11,0.462,15.1,31.5,0.25
288,Tennessee State,33,18,15,0.545,-2.14,-1.27,,11,5,,11,2,,5,11,,2360,2308,,68.8,100.9,0.387,0.341,0.522,50.2,55.4,10.4,8.3,0.485,17.4,35.6,0.266
289,Tennessee Tech,29,12,17,0.414,-9.58,-3.21,,5,11,,9,5,,3,12,,1878,1951,,66.3,101.5,0.447,0.354,0.539,51.2,53.8,11.3,8.8,0.496,19.3,36.6,0.315
290,Tennessee-Martin,30,9,21,0.3,-16.54,-4.14,,5,11,,7,7,,2,13,,2008,2295,,69.5,108.2,0.448,0.354,0.563,53.2,61.9,10.2,11.3,0.523,17.3,36.2,0.321
291,Texas,34,16,18,0.471,6.84,6.54,,7,11,,12,4,,2,10,,2229,2232,,66.7,96,0.427,0.319,0.482,51.2,54.9,11.7,8.5,0.43,16.1,36.5,0.299
292,Texas A&M,33,18,15,0.545,6.51,4.87,,7,11,,12,6,,4,6,,2103,2049,,61.7,98.5,0.357,0.361,0.514,51.8,57.7,9.7,10.6,0.475,18.6,37.3,0.252
293,Texas A&M-Corpus Christi,29,6,23,0.207,-11.78,-3.68,,5,13,,4,9,,2,14,,1746,1962,,63.3,106.8,0.471,0.345,0.547,55.5,58.7,7.5,8,0.505,16.6,38.1,0.327
294,Texas Southern,31,17,14,0.548,-2.12,-7.28,,16,2,,10,3,,7,11,,2179,2019,,65.2,98.3,0.298,0.277,0.487,52.8,52,8.3,10.6,0.453,14.8,36.3,0.204
295,Texas State,34,12,22,0.353,-6.39,-0.93,,5,13,,4,11,,5,8,,2398,2558,,71.6,104.7,0.374,0.32,0.547,56.6,53.3,10,9.9,0.51,17.8,37.4,0.268
296,Texas Tech,31,11,20,0.355,-3.1,4.32,,3,15,,9,11,,1,8,,2026,2256,,68.2,106.3,0.411,0.334,0.563,54.2,53.1,11.2,9.5,0.528,18.4,37.6,0.29
297,Texas-Rio Grande Valley,32,16,16,0.5,-13.37,-8.19,,5,3,,11,2,,3,11,,2101,2155,,66,99.7,0.342,0.28,0.522,55.6,51.8,10.8,7.4,0.492,19.2,38.7,0.229
298,The Citadel,30,8,22,0.267,-16.96,-5.42,,5,13,,5,8,,3,12,,1931,2195,,65,112.2,0.28,0.366,0.566,54.7,51.7,13.7,8.2,0.54,16.1,40.1,0.203
299,Toledo,28,15,13,0.536,-2.42,-3.03,,10,6,,8,4,,6,9,,1928,1911,,66.6,101.6,0.359,0.381,0.525,55.5,52.4,9.9,10.2,0.486,18,38.7,0.256
300,Towson,31,18,13,0.581,-1.89,-2.56,,13,5,,6,5,,9,8,,2125,2066,,65.3,99.6,0.373,0.303,0.491,47.7,54.7,11.2,10.2,0.447,13.9,34.5,0.262
301,Troy,33,12,21,0.364,-8.75,-4,,6,14,,8,7,,2,12,,2046,2203,,61.9,105.1,0.366,0.352,0.538,55.1,52.1,8,9.4,0.51,16.4,36.8,0.244
302,Tulane,35,20,15,0.571,1.87,-1.8,,6,10,,15,4,,3,10,,2436,2299,,65.2,100.8,0.33,0.344,0.547,49.3,63.3,9,10.9,0.515,18.2,30.7,0.237
303,Tulsa,33,17,16,0.515,-1.06,0.94,,8,8,,9,5,,5,8,,2241,2249,,67.8,99.4,0.408,0.369,0.512,51.9,60.3,11,10,0.473,16.4,33.3,0.277
304,UAB,33,16,17,0.485,0.27,1.52,,7,9,,11,4,,4,10,,2357,2351,,71.3,99.5,0.389,0.327,0.537,51.7,54.7,11.7,9.6,0.5,19.4,34.5,0.273
305,UC Davis,31,14,17,0.452,-3.8,-2.87,,9,9,,6,7,,6,9,,2210,2239,,67.3,106.9,0.31,0.357,0.53,52.4,58.3,11.3,9.5,0.496,13.4,33,0.223
306,UC Irvine,37,21,16,0.568,-0.15,-0.97,,11,7,,13,1,,5,13,,2558,2418,,67,96.5,0.371,0.297,0.479,51.1,52.5,9.1,7.6,0.435,13.9,32.8,0.258
307,UC Riverside,31,6,25,0.194,-11.81,-2.02,,3,15,,5,9,,1,14,,1829,2062,,64.5,102.7,0.32,0.396,0.536,50.4,58.8,10.1,9,0.501,16,30.8,0.232
308,UC Santa Barbara,31,11,20,0.355,-4.53,0.1,,7,11,,8,6,,3,13,,2003,2090,,64.3,103.7,0.372,0.362,0.527,51.5,58.9,10.3,8.3,0.488,15.5,34.1,0.264
309,UCF,31,20,11,0.645,3.46,0.98,,9,7,,14,5,,5,6,,2194,2079,,66.5,100,0.254,0.329,0.504,51.2,56.3,11.4,8.6,0.478,16,36.6,0.173
310,UCLA NCAA,35,25,10,0.714,12.82,7.77,,13,5,,15,3,,6,3,,2604,2427,,69.6,98.3,0.246,0.308,0.498,53.4,52.2,8.9,7.3,0.475,16.8,37.1,0.164
311,UNC Asheville,32,16,16,0.5,-3.63,-3.94,,10,6,,10,4,,6,8,,2296,2213,,69.6,99,0.319,0.312,0.517,50.9,56.2,11.3,7.7,0.488,17.8,35.3,0.215
312,UNC Greensboro,31,9,22,0.29,-9.38,-5.28,,6,12,,6,9,,2,12,,2222,2286,,71.7,102.9,0.501,0.33,0.548,52.5,49,8.5,8.4,0.494,17.2,30.4,0.367
313,UNC Wilmington,30,10,20,0.333,-10.07,-2.24,,5,13,,9,5,,1,15,,1899,2111,,66.6,105.7,0.372,0.303,0.536,52.6,50.3,13.3,9.5,0.5,15.4,34.9,0.261
314,UT Arlington,33,19,14,0.576,0.55,-0.94,,11,7,,7,8,,10,5,,2121,2072,,66.6,94.3,0.439,0.422,0.499,50.1,56.6,11.3,11.4,0.458,19.5,34.9,0.29
315,Utah,33,15,18,0.455,4.7,6.63,,5,13,,11,7,,2,10,,2117,2086,,63.3,99.1,0.297,0.343,0.489,52.6,51.8,11.6,10.8,0.455,14.4,34.9,0.207
316,Utah State,31,21,10,0.677,3.75,-0.72,,11,7,,14,4,,7,5,,2134,1971,,62.2,101,0.301,0.381,0.504,44.4,61,10.9,7.9,0.476,13.1,28.4,0.199
317,Utah Valley,32,14,18,0.438,-11.39,-7.04,,3,5,,9,4,,3,11,,2157,2165,,65.2,101.4,0.275,0.335,0.522,52.9,47.9,9.6,7.5,0.492,15.8,31.6,0.194
318,UTEP,32,18,14,0.563,4.62,2.37,,10,6,,12,3,,4,7,,2042,1970,,61.8,98.1,0.348,0.288,0.501,54.2,53.2,10.5,8.2,0.466,16.8,36.5,0.234
319,UTSA,32,10,22,0.313,-6.48,-1.01,,3,14,,3,9,,4,11,,2048,2223,,65.2,106.2,0.344,0.362,0.554,55.5,60.6,10.6,14.1,0.526,17.5,38.5,0.236
320,Valparaiso NCAA,34,26,8,0.765,7.15,-1.12,,13,3,,15,2,,10,5,,2420,2119,,65.1,95.4,0.363,0.262,0.503,49.5,49.9,10.7,8.3,0.459,17.3,31.4,0.262
321,Vanderbilt,33,16,17,0.485,6.26,6.05,,8,10,,9,6,,4,7,,1991,1984,,61.4,97.1,0.335,0.342,0.497,52.7,49.4,9,11.8,0.46,15.9,31.9,0.232
322,Vermont,33,21,12,0.636,-0.12,-4.45,,11,5,,10,5,,9,7,,2097,1954,,62,95.6,0.338,0.361,0.503,48.5,52.1,10,10.7,0.467,17.8,31.1,0.234
323,Villanova NCAA,34,20,14,0.588,10.75,8.54,,10,8,,12,4,,6,7,,2307,2214,,67.4,94.9,0.408,0.365,0.512,50.2,63.3,11.4,9.7,0.472,19.3,32.1,0.278
324,Virginia,35,23,12,0.657,12.91,4.25,,11,7,,20,2,,3,8,,2248,1945,,61.3,90.3,0.318,0.341,0.48,51.2,47,8.6,8.9,0.441,18.2,30.7,0.223
325,Virginia Commonwealth NCAA,36,27,9,0.75,16.97,4.55,,12,4,,15,2,,8,3,,2770,2323,,68.6,93.4,0.403,0.329,0.534,52,51,8.6,8.7,0.499,24.6,37.2,0.276
326,VMI,31,14,17,0.452,-11.36,-7.08,,8,8,,8,5,,5,10,,2423,2411,,73.7,105.1,0.301,0.297,0.531,53.9,51.4,9.2,6.7,0.5,16.6,39.1,0.213
327,Virginia Tech,32,13,19,0.406,1.8,6.34,,4,14,,10,7,,2,9,,2248,2393,,67.8,108.5,0.381,0.37,0.532,53.5,54.2,7.6,8.6,0.501,13.2,36.5,0.255
328,Wagner,31,19,12,0.613,-3.22,-5.06,,12,6,,11,3,,7,8,,2136,2079,,68,96.3,0.418,0.338,0.513,49.9,52.3,10.3,8.5,0.469,19,33.7,0.293
329,Wake Forest,31,13,18,0.419,3.44,6.19,,6,12,,11,5,,1,10,,2093,2178,,69.2,101.5,0.355,0.296,0.538,53.5,51.3,9.7,11.5,0.508,17.9,32.9,0.243
330,Washington,34,18,16,0.529,7.88,7.18,,9,9,,11,7,,5,7,,2309,2285,,66.1,100.9,0.323,0.289,0.514,49.6,50.8,9.3,7.2,0.482,15.8,34.8,0.222
331,Washington State,32,13,19,0.406,6.65,5.22,,4,14,,10,7,,1,9,,2061,2015,,62.4,100.2,0.317,0.385,0.526,51.4,56.4,10,14.4,0.496,16.9,31.9,0.22
332,Weber State,37,30,7,0.811,5.78,-5.71,,18,2,,17,2,,11,5,,2800,2275,,65.4,93,0.324,0.244,0.48,46.5,41.9,8.7,6.5,0.436,15,27,0.236
333,West Virginia,32,13,19,0.406,4.61,6.55,,6,12,,8,6,,3,9,,2116,2178,,65.5,103.5,0.4,0.332,0.543,51.5,59.1,9.1,9.7,0.511,18.6,37.6,0.27
334,Western Carolina,33,14,19,0.424,-6.42,-4.39,,9,9,,7,6,,5,11,,2288,2299,,66.7,103.6,0.461,0.325,0.539,53,49.4,11.3,8.6,0.493,17.9,38.5,0.328
335,Western Illinois,31,22,9,0.71,-1.87,-5.42,,13,3,,12,2,,7,5,,1845,1663,,58.5,91.4,0.282,0.32,0.485,50.8,51.5,10.5,7.3,0.454,17.8,28.5,0.193
336,Western Kentucky NCAA,36,20,16,0.556,-0.63,-1.12,,10,10,,11,4,,4,9,,2409,2364,,67,97.7,0.381,0.318,0.514,49.7,44.7,9,10.8,0.475,18,32.9,0.265
337,Western Michigan,35,22,13,0.629,0.42,-1.44,,10,6,,12,2,,7,10,,2345,2237,,65.2,97,0.35,0.354,0.506,48.3,56,11.3,10,0.467,16.9,31.9,0.245
338,Wichita State NCAA,39,30,9,0.769,14.68,6.09,,12,6,,14,2,,7,5,,2720,2385,,64.9,94.3,0.383,0.366,0.499,46.8,51.4,8.7,8.3,0.453,17.5,29.6,0.274
339,William & Mary,30,13,17,0.433,-4.01,-3.42,,7,11,,8,5,,5,11,,2064,2048,,63.4,105,0.297,0.332,0.515,52.2,49.9,10.3,12.2,0.485,13.8,34.6,0.205
340,Winthrop,31,14,17,0.452,-8.57,-4.39,,6,10,,11,4,,2,12,,1859,1897,,62,98.4,0.369,0.36,0.507,53.2,55.5,10.4,9.7,0.459,16.1,33.7,0.273
341,Wisconsin NCAA,35,23,12,0.657,18.76,9.73,,12,6,,15,3,,5,6,,2274,1958,,61.4,89.9,0.257,0.249,0.462,49.2,40.3,9.1,7.3,0.43,15.6,28.9,0.177
342,Wofford,32,13,19,0.406,-6.71,-4.61,,7,11,,9,3,,3,15,,1858,1890,,63.6,92.8,0.378,0.323,0.515,53.8,48.6,9.8,9.1,0.475,19.9,29.6,0.266
343,Wright State,36,23,13,0.639,2.25,-1.15,,10,6,,13,5,,8,7,,2233,2105,,63,92.1,0.43,0.359,0.515,53.5,50.1,8.2,10.2,0.471,21.8,31.9,0.297
344,Wyoming,34,20,14,0.588,5.32,4.54,,4,12,,13,6,,6,7,,2074,2010,,60.8,96.5,0.328,0.306,0.515,56,47.2,9.1,8,0.478,18.8,34.2,0.235
345,Xavier,31,17,14,0.548,7.71,4.97,,9,7,,11,4,,4,7,,2021,1936,,63.2,98,0.333,0.385,0.502,48.8,53,8.7,9.4,0.467,15.9,32.1,0.228
346,Yale,31,14,17,0.452,-3.94,-0.8,,8,6,,8,4,,5,11,,2079,2056,,64.1,101.8,0.398,0.336,0.545,49.3,55.2,10.2,11.3,0.509,18,31.7,0.278
347,Youngstown State,34,18,16,0.529,-2.13,-0.8,,7,9,,12,5,,6,9,,2426,2356,,67.9,99.9,0.332,0.303,0.514,53.7,50.6,8.6,8,0.477,16.5,34.3,0.236
