,,,,2015-16 Season,,,,,,,Career at Current School,,,,,,,,,Career Overall,,,,,,
Dana Ford,Tennessee State,OVC,,20,11,0.645,,,,,2014-15,25,37,0.403,,,,,,25,37,0.403,,,,
Travis Ford,Oklahoma State,Big 12,,12,20,0.375,,,,,2008-09,155,111,0.583,5,,,,,278,226,0.552,6,,,
Jim Fox,Appalachian State,Sun Belt,,9,22,0.29,,,,,2014-15,21,39,0.35,,,,,,21,39,0.35,,,,
Mark Fox,Georgia,SEC,,20,14,0.588,,,,,2009-10,126,103,0.55,2,,,,,249,146,0.63,5,,,
John Gallagher,Hartford,AEC,,10,23,0.303,,,,,2010-11,78,111,0.413,,,,,,78,111,0.413,,,,
Eran Ganot,Hawaii,Big West,,28,6,0.824,,,Lost Second Round,,2015-16,28,6,0.824,1,,,,,31,8,0.795,1,,,
Greg Gard,Wisconsin,Big Ten,,15,8,0.652,17,,Lost Regional Semifinal,,2015-16,15,8,0.652,1,1,,,,15,8,0.652,1,1,,
Jason Gardner,IU Indianapolis,Summit,,13,19,0.406,,,,,2014-15,23,40,0.365,,,,,,23,40,0.365,,,,
Murray Garvin,South Carolina State,MEAC,,19,15,0.559,,,,,2012-13,41,65,0.387,,,,,,41,65,0.387,,,,
Jayson Gee,Longwood,Big South,,10,23,0.303,,,,,2013-14,29,70,0.293,,,,,,29,70,0.293,,,,
Tyler Geving,Portland State,Big Sky,,13,18,0.419,,,,,2009-10,97,117,0.453,,,,,,97,117,0.453,,,,
Ray Giacoletti,Drake,MVC,,7,24,0.226,,,,,2013-14,31,62,0.333,,,,,,154,152,0.503,2,1,,
John Giannini,La Salle,A-10,,9,22,0.29,,,,,2004-05,184,192,0.489,1,1,,,,309,303,0.505,1,1,,
Joe Golding,Abilene Christian,Southland,,13,18,0.419,,,,,2013-14,34,59,0.366,,,,,,34,59,0.366,,,,
Mark Gottfried,NC State,ACC,,16,17,0.485,,,,,2011-12,108,69,0.61,4,2,,,,386,224,0.633,11,3,,
Earl Grant,College of Charleston,CAA,,17,14,0.548,,,,,2014-15,26,38,0.406,,,,,,26,38,0.406,,,,
Michael Grant,Coppin State,MEAC,,9,22,0.29,,,,,2014-15,17,45,0.274,,,,,,43,76,0.361,,,,
Matthew Graves,South Alabama,Sun Belt,,14,19,0.424,,,,,2013-14,37,60,0.381,,,,,,37,60,0.381,,,,
James Green,Jacksonville State,OVC,,8,23,0.258,,,,,2008-09,89,153,0.368,,,,,,256,315,0.448,1,,,
Brian Gregory,Georgia Tech,ACC,,21,15,0.583,,,,,2011-12,76,86,0.469,,,,,,248,180,0.579,2,,,
John Groce,Illinois,Big Ten,,15,19,0.441,,,,,2012-13,77,61,0.558,1,,,,,162,117,0.581,3,1,,
Jerod Haase,UAB,CUSA,,26,7,0.788,,,,,2012-13,80,53,0.602,1,,,,,80,53,0.602,1,,,
Frank Haith *,Tulsa,AAC,,20,12,0.625,,,Lost First Four,,2014-15,43,23,0.652,1,,,,,248,152,0.62,4,,,
Leonard Hamilton *,Florida State,ACC,,20,14,0.588,,,,,2002-03,278,187,0.598,4,1,,,,478,397,0.546,7,2,,
Derrin Hansen,Omaha,Summit,,18,14,0.562,,,,,2012-13,58,66,0.468,,,,,,58,66,0.468,,,,
Ray Harper,Western Kentucky,CUSA,,18,16,0.529,,,,,2011-12,89,64,0.582,2,,,,,89,64,0.582,2,,,
Jon Harris,SIU-Edwardsville,OVC,,6,22,0.214,,,,,2015-16,6,22,0.214,,,,,,6,22,0.214,,,,
Steve Hawkins,Western Michigan,MAC,,13,19,0.406,,,,,2003-04,237,188,0.558,2,,,,,237,188,0.558,2,,,
Willie Hayes *,Alabama A&M,SWAC,,11,18,0.379,,,,,2011-12,52,95,0.354,,,,,,52,95,0.354,,,,
Jim Hayford,Eastern Washington,Big Sky,,18,16,0.529,,,,,2011-12,84,79,0.515,1,,,,,84,79,0.515,1,,,
Mitch Henderson,Princeton,Ivy,,22,7,0.759,,,,,2011-12,96,53,0.644,,,,,,96,53,0.644,,,,
Greg Herenda,FDU,NEC,,18,15,0.545,,,Lost First Four,,2013-14,36,57,0.387,1,,,,,36,57,0.387,1,,,
Bill Herrion,New Hampshire,AEC,,20,13,0.606,,,,,2005-06,137,194,0.414,,,,,,374,363,0.507,3,,,
B.J. Hill *,Northern Colorado,Big Sky,,10,21,0.323,,,,,2010-11,86,98,0.467,1,,,,,86,98,0.467,1,,,
Barry Hinson,Southern Illinois,MVC,,22,10,0.688,,,,,2012-13,62,67,0.481,,,,,,267,207,0.563,,,,
Dan Hipsher,Texas-Rio Grande Valley,WAC,,8,22,0.267,,,,,2013-14,27,66,0.29,,,,,,168,230,0.422,,,,
Bob Hoffman,Mercer,Southern,,19,15,0.559,,,,,2008-09,164,113,0.592,1,,,,,232,190,0.55,1,,,
Chris Holtmann,Butler,Big East,,22,11,0.667,24,,Lost Second Round,,2014-15,45,22,0.672,2,,,,,89,76,0.539,2,,,
Jason Hooten,Sam Houston,Southland,,18,16,0.529,,,,,2010-11,116,85,0.577,,,,,,116,85,0.577,,,,
Mike Hopkins,Syracuse,ACC,,4,5,0.444,,,,,2015-16,4,5,0.444,,,,,,4,5,0.444,,,,
Ben Howland,Mississippi State,SEC,,14,17,0.452,,,,,2015-16,14,17,0.452,,,,,,413,225,0.647,10,5,3,
Michael Huger,Bowling Green State,MAC,,16,18,0.471,,,,,2015-16,16,18,0.471,,,,,,16,18,0.471,,,,
Bob Huggins,West Virginia,Big 12,,26,9,0.743,,8,Lost First Round,,2007-08,201,110,0.646,7,3,1,,,719,296,0.708,22,7,2,
Larry Hunter,Western Carolina,Southern,,16,18,0.471,,,,,2005-06,171,187,0.478,,,,,,375,335,0.528,1,,,
Ron Hunter,Georgia State,Sun Belt,,16,14,0.533,,,,,2011-12,103,61,0.628,1,,,,,324,240,0.574,2,,,
Bobby Hurley,Arizona State,Pac-12,,15,17,0.469,,,,,2015-16,15,17,0.469,,,,,,57,37,0.606,1,,,
Dan Hurley,Rhode Island,A-10,,17,15,0.531,,,,,2012-13,62,64,0.492,,,,,,100,87,0.535,,,,
George Ivory,Arkansas-Pine Bluff,SWAC,,8,25,0.242,,,,,2008-09,98,157,0.384,1,,,,,98,157,0.384,1,,,
Tom Izzo,Michigan State,Big Ten,,29,6,0.829,13,2,Lost First Round,,1995-96,524,205,0.719,19,13,7,1,,524,205,0.719,19,13,7,1
Lewis Jackson,Alabama State,SWAC,,14,17,0.452,,,,,2005-06,171,173,0.497,2,,,,,171,173,0.497,2,,,
Ben Jacobson,Northern Iowa,MVC,,23,13,0.639,,,Lost Second Round,,2006-07,220,118,0.651,4,1,,,,220,118,0.651,4,1,,
Tim Jankovich,SMU,AAC,,9,0,1,,24,,,2015-16,9,0,1,,,,,,166,121,0.578,,,,
Tony Jasick,Jacksonville,A-Sun,,16,16,0.5,,,,,2014-15,26,38,0.406,,,,,,78,85,0.479,,,,
Rob Jeter,Milwaukee,Horizon,,20,13,0.606,,,,,2005-06,184,170,0.52,2,,,,,184,170,0.52,2,,,
Avery Johnson,Alabama,SEC,,18,15,0.545,,,,,2015-16,18,15,0.545,,,,,,18,15,0.545,,,,
Sydney Johnson,Fairfield,MAAC,,19,14,0.576,,,,,2011-12,74,94,0.44,,,,,,140,147,0.488,1,,,
Trent Johnson,TCU,Big 12,,12,21,0.364,,,,,2012-13,50,79,0.388,,,,,,276,265,0.51,5,2,,
Brian Jones,North Dakota,Big Sky,,17,16,0.515,,,,,2009-10,102,125,0.449,,,,,,102,125,0.449,,,,
Donnie Jones *,UCF,AAC,,12,18,0.4,,,,,2010-11,100,88,0.532,,,,,,155,129,0.546,,,,
James Jones,Yale,Ivy,,23,7,0.767,,,Lost Second Round,,1999-00,254,239,0.515,1,,,,,254,239,0.515,1,,,
Jeff Jones,Old Dominion,CUSA,,25,13,0.658,,,,,2013-14,70,39,0.642,,,,,,427,326,0.567,7,2,,
Joe Jones,Boston University,Patriot,,19,15,0.559,,,,,2011-12,89,72,0.553,,,,,,175,180,0.493,,,,
Johnny Jones,LSU,SEC,,19,14,0.576,21,,,,2012-13,80,51,0.611,1,,,,,285,213,0.572,3,,,
Mike Jones,Radford,Big South,,16,15,0.516,,,,,2011-12,79,85,0.482,,,,,,79,85,0.482,,,,
Robert Jones,Norfolk State,MEAC,,17,17,0.5,,,,,2013-14,56,46,0.549,,,,,,56,46,0.549,,,,
Eddie Jordan,Rutgers,Big Ten,,7,25,0.219,,,,,2013-14,29,68,0.299,,,,,,29,68,0.299,,,,
Edward Joyner Jr,Hampton,MEAC,,21,11,0.656,,,Lost First Round,,2009-10,120,107,0.529,3,,,,,120,107,0.529,3,,,
Jay Joyner,North Carolina A&T,MEAC,,5,5,0.5,,,,,2015-16,5,5,0.5,,,,,,5,5,0.5,,,,
Greg Kampe,Oakland,Horizon,,23,12,0.657,,,,,1999-00,294,253,0.537,3,,,,,294,253,0.537,3,,,
Danny Kaspar,Texas State,Sun Belt,,15,16,0.484,,,,,2013-14,37,56,0.398,,,,,,283,197,0.59,1,,,
Brian Katz,Sacramento State,Big Sky,,14,17,0.452,,,,,2008-09,91,147,0.382,,,,,,91,147,0.382,,,,
Kerry Keating,Santa Clara,WCC,,11,20,0.355,,,,,2007-08,139,159,0.466,,,,,,139,159,0.466,,,,
Kevin Keatts,UNC Wilmington,CAA,,25,8,0.758,,,Lost First Round,,2014-15,43,22,0.662,1,,,,,43,22,0.662,1,,,
Derek Kellogg,UMass,A-10,,14,18,0.438,,,,,2008-09,140,119,0.541,1,,,,,140,119,0.541,1,,,
Pat Kelsey,Winthrop,Big South,,23,9,0.719,,,,,2012-13,76,52,0.594,,,,,,76,52,0.594,,,,
Andy Kennedy,Ole Miss,SEC,,20,12,0.625,,,,,2006-07,212,126,0.627,2,,,,,233,139,0.626,2,,,
Billy Kennedy,Texas A&M,SEC,,28,9,0.757,,15,Lost Regional Semifinal,,2011-12,99,70,0.586,1,1,,,,310,249,0.555,3,1,,
Ernie Kent,Washington State,Pac-12,,9,22,0.29,,,,,2014-15,22,40,0.355,,,,,,347,293,0.542,6,2,,
Eric Konkol,Louisiana Tech,CUSA,,23,10,0.697,,,,,2015-16,23,10,0.697,,,,,,23,10,0.697,,,,
Tod Kowalczyk,Toledo,MAC,,17,15,0.531,,,,,2010-11,102,93,0.523,,,,,,238,205,0.537,,,,
Rob Krimmel,Saint Francis (PA),NEC,,13,17,0.433,,,,,2012-13,44,78,0.361,,,,,,44,78,0.361,,,,
Lon Kruger,Oklahoma,Big 12,,29,8,0.784,8,7,Lost National Semifinal,,2011-12,111,57,0.661,4,2,1,,,590,361,0.62,17,5,2,
Larry Krystkowiak,Utah,Pac-12,,27,9,0.75,16,13,Lost Second Round,,2011-12,95,73,0.565,2,1,,,,137,93,0.596,4,1,,
Mike Krzyzewski,Duke,ACC,,25,11,0.694,5,19,Lost Regional Semifinal,,1980-81,970,262,0.787,32,23,12,5,,1043,321,0.765,32,23,12,5
Jay Ladner,Southeastern Louisiana,Southland,,12,21,0.364,,,,,2014-15,21,44,0.323,,,,,,21,44,0.323,,,,
Matt Langel,Colgate,Patriot,,13,17,0.433,,,,,2011-12,61,95,0.391,,,,,,61,95,0.391,,,,
Greg Lansing,Indiana State,MVC,,15,17,0.469,,,,,2010-11,109,88,0.553,1,,,,,109,88,0.553,1,,,
Jim Larranaga,Miami (FL),ACC,,27,8,0.771,,10,Lost Regional Semifinal,,2011-12,118,57,0.674,2,2,,,,560,366,0.605,7,3,1,
Anthony Latina,Sacred Heart,NEC,,12,18,0.4,,,,,2013-14,32,61,0.344,,,,,,32,61,0.344,,,,
Jeff Lebo,East Carolina,AAC,,12,20,0.375,,,,,2010-11,99,100,0.497,,,,,,310,256,0.548,,,,
Dave Leitao,DePaul,Big East,,9,22,0.29,,,,,2002-03,67,56,0.545,1,,,,,152,151,0.502,2,,,
Jim Les,UC-Davis,Big West,,11,19,0.367,,,,,2011-12,64,91,0.413,,,,,,218,231,0.486,1,1,,
Mike Lonergan,George Washington,A-10,,28,10,0.737,,,,,2011-12,97,70,0.581,1,,,,,223,138,0.618,2,,,
Dave Loos,Austin Peay,OVC,,18,18,0.5,,,Lost First Round,,1990-91,409,391,0.511,4,,,,,409,391,0.511,4,,,
Paul Lusk,Missouri State,MVC,,13,19,0.406,,,,,2011-12,71,90,0.441,,,,,,71,90,0.441,,,,
Chris Mack,Xavier,Big East,,28,6,0.824,,9,Lost Second Round,,2009-10,162,77,0.678,6,3,,,,162,77,0.678,6,3,,
Dan Majerle,Grand Canyon,WAC,,27,7,0.794,,,,,2013-14,59,37,0.615,,,,,,59,37,0.615,,,,
Mike Maker,Marist,MAAC,,7,23,0.233,,,,,2014-15,14,48,0.226,,,,,,14,48,0.226,,,,
Danny Manning,Wake Forest,ACC,,11,20,0.355,,,,,2014-15,24,39,0.381,,,,,,62,68,0.477,1,,,
Bob Marlin,Louisiana,Sun Belt,,19,15,0.559,,,,,2010-11,107,92,0.538,1,,,,,332,223,0.598,3,,,
Gregg Marshall,Wichita State,MVC,,26,9,0.743,10,,Lost Second Round,,2007-08,230,85,0.73,5,2,1,,,424,168,0.716,12,2,1,
Phil Martelli,St. Joseph's,A-10,,28,8,0.778,,,Lost Second Round,,1995-96,403,273,0.596,7,2,,,,403,273,0.596,7,2,,
Cuonzo Martin,California,Pac-12,,23,11,0.676,14,23,Lost First Round,,2014-15,41,26,0.612,1,,,,,165,108,0.604,2,1,,
Frank Martin,South Carolina,SEC,,25,9,0.735,,,,,2012-13,70,63,0.526,,,,,,187,117,0.615,4,1,,
Mike Martin,Brown,Ivy,,8,20,0.286,,,,,2012-13,49,67,0.422,,,,,,49,67,0.422,,,,
