,,,,2020-21 Season,,,,,,,Career at Current School,,,,,,,,,Career Overall,,,,,,
Mark Few,Gonzaga,WCC,,31,1,0.969,1,1,Lost National Final,,1999-00,630,125,0.834,21,10,2,,,630,125,0.834,21,10,2,
Matt Figger,Austin Peay,OVC,,14,13,0.519,,,,,2017-18,76,51,0.598,,,,,,76,51,0.598,,,,
Dane Fischer,William & Mary,CAA,,7,10,0.412,,,,,2019-20,28,21,0.571,,,,,,28,21,0.571,,,,
Michael Fly,Florida Gulf Coast,A-Sun,,10,8,0.556,,,,,2018-19,34,48,0.415,,,,,,34,48,0.415,,,,
Steve Forbes,Wake Forest,ACC,,6,16,0.273,,,,,2020-21,6,16,0.273,,,,,,136,59,0.697,1,,,
Dana Ford,Missouri State,MVC,,17,7,0.708,,,,,2018-19,49,40,0.551,,,,,,106,105,0.502,,,,
Geno Ford,Stony Brook,AEC,,9,14,0.391,,,,,2019-20,29,27,0.518,,,,,,143,150,0.488,,,,
Travis Ford,Saint Louis,A-10,,14,7,0.667,,,,,2016-17,89,65,0.578,1,,,,,367,291,0.558,7,,,
Mark Fox,California,Pac-12,,9,20,0.31,,,,,2019-20,23,38,0.377,,,,,,309,214,0.591,5,,,
John Gallagher,Hartford,AEC,,15,9,0.625,,,Lost First Round,,2010-11,157,187,0.456,1,,,,,157,187,0.456,1,,,
Joe Gallo,Merrimack,NEC,,9,9,0.5,,,,,2019-20,29,20,0.592,,,,,,29,20,0.592,,,,
Eran Ganot,Hawaii,Big West,,11,10,0.524,,,,,2015-16,97,66,0.595,1,,,,,100,68,0.595,1,,,
Greg Gard,Wisconsin,Big Ten,,18,13,0.581,7,,Lost Second Round,,2015-16,119,70,0.63,4,2,,,,119,70,0.63,4,2,,
Murray Garvin,South Carolina State,MEAC,,1,17,0.056,,,,,2012-13,82,168,0.328,,,,,,82,168,0.328,,,,
Greg Gary,Mercer,Southern,,18,11,0.621,,,,,2019-20,35,26,0.574,,,,,,51,70,0.421,,,,
Dennis Gates,Cleveland State,Horizon,,19,8,0.704,,,Lost First Round,,2019-20,30,29,0.508,1,,,,,30,29,0.508,1,,,
Billy Gillispie,Tarleton State,WAC,,10,10,0.5,,,,,2020-21,10,10,0.5,,,,,,158,118,0.572,4,1,,
Todd Golden,San Francisco,WCC,,11,14,0.44,,,,,2019-20,33,26,0.559,,,,,,33,26,0.559,,,,
Joe Golding,Abilene Christian,Southland,,24,5,0.828,,,Lost Second Round,,2013-14,134,114,0.54,2,,,,,134,114,0.54,2,,,
Mark Gottfried,Cal State Northridge,Big West,,9,13,0.409,,,,,2018-19,37,51,0.42,,,,,,438,292,0.6,11,3,,
Anthony Grant,Dayton,A-10,,14,10,0.583,,,,,2017-18,78,41,0.655,,,,,,271,151,0.642,3,,,
Earl Grant,College of Charleston,CAA,,9,10,0.474,,,,,2014-15,127,89,0.588,1,,,,,127,89,0.588,1,,,
Jared Grasso,Bryant,NEC,,15,7,0.682,,,,,2018-19,40,44,0.476,,,,,,41,66,0.383,,,,
Brian Gregory,South Florida,AAC,,9,13,0.409,,,,,2017-18,57,66,0.463,,,,,,305,246,0.554,2,,,
John Groce,Akron,MAC,,15,8,0.652,,,,,2017-18,70,49,0.588,,,,,,250,180,0.581,3,1,,
Jerod Haase,Stanford,Pac-12,,14,13,0.519,,,,,2016-17,82,74,0.526,,,,,,162,127,0.561,1,,,
Frank Haith *,Tulsa,AAC,,11,12,0.478,,,,,2014-15,127,88,0.591,1,,,,,332,217,0.605,4,,,
A.W. Hamilton,Eastern Kentucky,OVC,,22,7,0.759,,,,,2018-19,51,42,0.548,,,,,,51,42,0.548,,,,
Leonard Hamilton *,Florida State,ACC,,18,7,0.72,21,14,Lost Regional Semifinal,,2002-03,400,228,0.637,8,4,,,,600,438,0.578,11,5,,
Derrin Hansen,Omaha,Summit,,5,20,0.2,,,,,2012-13,127,149,0.46,,,,,,127,149,0.46,,,,
Anfernee Hardaway,Memphis,AAC,,20,8,0.714,,,,,2018-19,63,32,0.663,,,,,,63,32,0.663,,,,
Tavaras Hardy,Loyola (MD),Patriot,,6,11,0.353,,,,,2018-19,32,49,0.395,,,,,,32,49,0.395,,,,
Ray Harper,Jacksonville State,OVC,,18,9,0.667,,,,,2016-17,98,65,0.601,1,,,,,187,129,0.592,3,,,
Jim Hayford,Seattle,WAC,,12,11,0.522,,,,,2017-18,64,55,0.538,,,,,,170,146,0.538,1,,,
Eric Henderson,South Dakota State,Summit,,16,7,0.696,,,,,2019-20,38,17,0.691,,,,,,38,17,0.691,,,,
Steve Henson,UTSA,CUSA,,15,11,0.577,,,,,2016-17,79,79,0.5,,,,,,79,79,0.5,,,,
Greg Herenda,FDU,NEC,,9,15,0.375,,,,,2013-14,101,142,0.416,2,,,,,101,142,0.416,2,,,
Bill Herrion,New Hampshire,AEC,,10,9,0.526,,,,,2005-06,197,275,0.417,,,,,,434,444,0.494,3,,,
Lew Hill,Texas-Rio Grande Valley,WAC,,8,4,0.667,,,,,2016-17,67,77,0.465,,,,,,67,77,0.465,,,,
Fred Hoiberg,Nebraska,Big Ten,,7,20,0.259,,,,,2019-20,14,45,0.237,,,,,,129,101,0.561,4,1,,
Shaheen Holloway,St. Peter's,MAAC,,14,11,0.56,,,,,2018-19,42,42,0.5,,,,,,42,42,0.5,,,,
Chris Holtmann,Ohio State,Big Ten,,21,10,0.677,23,7,Lost First Round,,2017-18,87,44,0.664,3,,,,,201,129,0.609,6,1,,
Jason Hooten,Sam Houston,Southland,,19,9,0.679,,,,,2010-11,216,147,0.595,,,,,,216,147,0.595,,,,
Mike Hopkins,Washington,Pac-12,,5,21,0.192,,,,,2017-18,68,60,0.531,,,,,,72,65,0.526,1,,,
Darrin Horn,Northern Kentucky,Horizon,,14,11,0.56,,,,,2019-20,37,20,0.649,,,,,,208,131,0.614,1,1,,
Ashley Howard,La Salle,A-10,,9,16,0.36,,,,,2018-19,34,52,0.395,,,,,,34,52,0.395,,,,
Dylan Howard,Alabama A&M,SWAC,,6,9,0.4,,,,,2018-19,19,58,0.247,,,,,,19,58,0.247,,,,
Juwan Howard,Michigan,Big Ten,,23,5,0.821,25,4,Lost Regional Final,,2019-20,42,17,0.712,1,1,,,,42,17,0.712,1,1,,
Ben Howland,Mississippi State,SEC,,18,15,0.545,,,,,2015-16,116,82,0.586,1,,,,,515,290,0.64,11,5,3,
Michael Huger,Bowling Green State,MAC,,14,12,0.538,,,,,2015-16,102,87,0.54,,,,,,102,87,0.54,,,,
Bob Huggins,West Virginia,Big 12,,19,10,0.655,15,13,Lost Second Round,,2007-08,310,171,0.644,10,5,1,,,828,357,0.699,25,9,2,
Lindsey Hunter Jr,Mississippi Valley State,SWAC,,2,22,0.083,,,,,2019-20,5,49,0.093,,,,,,5,49,0.093,,,,
Ron Hunter,Tulane,AAC,,10,13,0.435,,,,,2019-20,22,31,0.415,,,,,,414,305,0.576,4,,,
Bobby Hurley,Arizona State,Pac-12,,11,14,0.44,18,,,,2015-16,104,83,0.556,2,,,,,146,103,0.586,3,,,
Dan Hurley,UConn,Big East,,15,8,0.652,,,Lost First Round,,2018-19,50,37,0.575,1,,,,,201,142,0.586,3,,,
Justin Hutson,Fresno State,MWC,,12,12,0.5,,,,,2018-19,46,40,0.535,,,,,,46,40,0.535,,,,
Martin Ingelsby,Delaware,CAA,,7,8,0.467,,,,,2016-17,73,74,0.497,,,,,,73,74,0.497,,,,
Lance Irvin,Chicago State,WAC,,0,9,0,,,,,2018-19,7,63,0.1,,,,,,7,63,0.1,,,,
George Ivory,Arkansas-Pine Bluff,SWAC,,4,21,0.16,,,,,2008-09,140,269,0.342,1,,,,,140,269,0.342,1,,,
Tom Izzo,Michigan State,Big Ten,,15,13,0.536,13,,Lost First Four,,1995-96,643,254,0.717,23,14,8,1,,643,254,0.717,23,14,8,1
Donte Jackson,Grambling,SWAC,,12,12,0.5,,,,,2017-18,63,58,0.521,,,,,,63,58,0.521,,,,
Ben Jacobson,Northern Iowa,MVC,,10,15,0.4,,,,,2006-07,301,189,0.614,4,1,,,,301,189,0.614,4,1,,
Tim Jankovich,SMU,AAC,,11,6,0.647,,,,,2015-16,101,55,0.647,1,,,,,258,176,0.594,1,,,
Chris Jans,New Mexico State,WAC,,12,8,0.6,,,,,2017-18,95,25,0.792,2,,,,,116,37,0.758,2,,,
Tony Jasick,Jacksonville,A-Sun,,11,13,0.458,,,,,2014-15,95,123,0.436,,,,,,147,170,0.464,,,,
Rob Jeter,Western Illinois,Summit,,7,15,0.318,,,,,2020-21,7,15,0.318,,,,,,191,185,0.508,2,,,
Ben Johnson,Portland,WCC,,0,4,0,,,,,2020-21,0,4,0,,,,,,0,4,0,,,,
Stan Johnson,Loyola Marymount,WCC,,13,9,0.591,,,,,2020-21,13,9,0.591,,,,,,13,9,0.591,,,,
Terrence Johnson,Texas State,Sun Belt,,18,7,0.72,,,,,2020-21,18,7,0.72,,,,,,18,7,0.72,,,,
Donnie Jones *,Stetson,A-Sun,,12,15,0.444,,,,,2019-20,28,32,0.467,,,,,,183,161,0.532,,,,
Jeff Jones,Old Dominion,CUSA,,15,8,0.652,,,,,2013-14,168,94,0.641,1,,,,,525,381,0.579,8,2,,
Joe Jones,Boston University,Patriot,,7,11,0.389,,,,,2011-12,165,144,0.534,,,,,,251,252,0.499,,,,
Johnny Jones,Texas Southern,SWAC,,17,9,0.654,,,Lost First Round,,2018-19,57,39,0.594,1,,,,,352,273,0.563,4,,,
Mike Jones,Radford,Big South,,15,12,0.556,,,,,2011-12,174,150,0.537,1,,,,,174,150,0.537,1,,,
Robert Jones,Norfolk State,MEAC,,17,8,0.68,,,Lost First Round,,2013-14,142,119,0.544,1,,,,,142,119,0.544,1,,,
Willie Jones,North Carolina A&T,MEAC,,11,10,0.524,,,,,2019-20,25,15,0.625,,,,,,25,15,0.625,,,,
LaVall Jordan,Butler,Big East,,10,15,0.4,,,,,2017-18,69,55,0.556,1,,,,,80,79,0.503,1,,,
Edward Joyner Jr,Hampton,Big South,,11,14,0.44,,,,,2009-10,197,190,0.509,3,,,,,197,190,0.509,3,,,
Jon Judkins,Utah Tech,WAC,,8,13,0.381,,,,,2020-21,8,13,0.381,,,,,,8,13,0.381,,,,
Greg Kampe,Oakland,Horizon,,12,18,0.4,,,,,1999-00,380,330,0.535,3,,,,,380,330,0.535,3,,,
Brian Katz,Sacramento State,Big Sky,,8,12,0.4,,,,,2008-09,150,232,0.393,,,,,,150,232,0.393,,,,
Kevin Keatts,NC State,ACC,,14,11,0.56,,,,,2017-18,79,47,0.627,1,,,,,151,75,0.668,3,,,
Kyle Keller *,Stephen F. Austin,Southland,,16,5,0.762,,,,,2016-17,104,46,0.693,1,,,,,104,46,0.693,1,,,
Derek Kellogg,LIU,NEC,,9,9,0.5,,,,,2017-18,58,60,0.492,1,,,,,213,197,0.52,2,,,
Pat Kelsey,Winthrop,Big South,,23,2,0.92,,,Lost First Round,,2012-13,186,95,0.662,2,,,,,186,95,0.662,2,,,
Andy Kennedy,UAB,CUSA,,22,7,0.759,,,,,2020-21,22,7,0.759,,,,,,288,176,0.621,2,,,
Brian Kennedy,NJIT,AEC,,7,12,0.368,,,,,2016-17,63,82,0.434,,,,,,63,82,0.434,,,,
Dustin Kerns,Appalachian State,Sun Belt,,17,12,0.586,,,Lost First Four,,2019-20,35,27,0.565,1,,,,,66,64,0.508,1,,,
David Kiefer,Southeastern Louisiana,Southland,,8,18,0.308,,,,,2019-20,16,41,0.281,,,,,,16,41,0.281,,,,
Eric Konkol,Louisiana Tech,CUSA,,24,8,0.75,,,,,2015-16,129,65,0.665,,,,,,129,65,0.665,,,,
Brad Korn,Southeast Missouri State,OVC,,11,16,0.407,,,,,2020-21,11,16,0.407,,,,,,11,16,0.407,,,,
Tod Kowalczyk,Toledo,MAC,,21,9,0.7,,,,,2010-11,205,153,0.573,,,,,,341,265,0.563,,,,
Rob Krimmel,Saint Francis (PA),NEC,,6,16,0.273,,,,,2012-13,125,149,0.456,,,,,,125,149,0.456,,,,
Lon Kruger,Oklahoma,Big 12,,16,11,0.593,,,Lost Second Round,,2011-12,195,128,0.604,7,2,1,,,674,432,0.609,20,5,2,
Larry Krystkowiak,Utah,Pac-12,,12,13,0.48,,,,,2011-12,183,139,0.568,2,1,,,,225,159,0.586,4,1,,
Mike Krzyzewski,Duke,ACC,,13,11,0.542,9,,,,1980-81,1097,302,0.784,35,25,12,5,,1170,361,0.764,35,25,12,5
Jay Ladner,Southern Miss,CUSA,,8,17,0.32,,,,,2019-20,17,39,0.304,,,,,,93,127,0.423,,,,
Billy Lange,St. Joseph's,A-10,,5,15,0.25,,,,,2019-20,11,41,0.212,,,,,,103,156,0.398,,,,
Matt Langel,Colgate,Patriot,,14,2,0.875,,,Lost First Round,,2011-12,153,153,0.5,2,,,,,153,153,0.5,2,,,
Rob Lanier,Georgia State,Sun Belt,,16,6,0.727,,,,,2019-20,35,19,0.648,,,,,,93,89,0.511,1,,,
Greg Lansing,Indiana State,MVC,,15,10,0.6,,,,,2010-11,181,164,0.525,1,,,,,181,164,0.525,1,,,
Jim Larranaga,Miami (FL),ACC,,10,17,0.37,,,,,2011-12,200,130,0.606,4,2,,,,642,439,0.594,9,3,1,
Anthony Latina,Sacred Heart,NEC,,9,9,0.5,,,,,2013-14,99,140,0.414,,,,,,99,140,0.414,,,,
Todd Lee,South Dakota,Summit,,14,11,0.56,,,,,2018-19,47,40,0.54,,,,,,47,40,0.54,,,,
Shantay Legans,Eastern Washington,Big Sky,,16,8,0.667,,,Lost First Round,,2017-18,75,49,0.605,1,,,,,75,49,0.605,1,,,
Dave Leitao,DePaul,Big East,,5,14,0.263,,,,,2002-03,127,146,0.465,1,,,,,212,241,0.468,2,,,
Jim Les,UC-Davis,Big West,,10,8,0.556,,,,,2011-12,144,161,0.472,1,,,,,298,301,0.497,2,1,,
Todd Lickliter,Evansville,MVC,,9,16,0.36,,,,,2019-20,9,29,0.237,,,,,,178,148,0.546,2,2,,
Jeff Linder,Wyoming,MWC,,14,11,0.56,,,,,2020-21,14,11,0.56,,,,,,94,61,0.606,,,,
Ryan Looney,Idaho State,Big Sky,,13,11,0.542,,,,,2019-20,21,33,0.389,,,,,,21,33,0.389,,,,
Matt Lottich,Valparaiso,MVC,,10,18,0.357,,,,,2016-17,83,78,0.516,,,,,,83,78,0.516,,,,
Carmen Maciariello,Siena,MAAC,,12,5,0.706,,,,,2019-20,32,15,0.681,,,,,,32,15,0.681,,,,
Chris Mack,Louisville,ACC,,13,7,0.65,,,,,2018-19,57,28,0.671,1,,,,,272,125,0.685,9,4,,
Mark Madsen,Utah Valley,WAC,,11,11,0.5,,,,,2019-20,22,30,0.423,,,,,,22,30,0.423,,,,
