YEAR,BY YEAR NO,TEAM NO,TEAM,SEED,CURRENT ROUND,SCORE,Opponent,Opponenet Score,Result
2014,838,424,Oklahoma,5,64,75,North Dakota St.,80,0
2014,837,426,North Dakota St.,12,64,80,Oklahoma,75,1
2014,836,417,San Diego St.,4,64,73,New Mexico St.,69,1
2014,835,430,New Mexico St.,13,64,69,San Diego St.,73,0
2014,834,463,Baylor,6,64,74,Nebraska,60,1
2014,833,432,Nebraska,11,64,60,Baylor,74,0
2014,832,456,Creighton,3,64,76,Louisiana Lafayette,66,1
2014,831,442,Louisiana Lafayette,14,64,66,Creighton,76,0
2014,830,422,Oregon,7,64,87,BYU,68,1
2014,829,462,BYU,10,64,68,Oregon,87,0
2014,828,402,Wisconsin,2,64,75,American,35,1
2014,827,466,American,15,64,35,Wisconsin,75,0
2014,826,403,Wichita St.,1,64,64,Cal Poly,37,1
2014,825,461,Cal Poly,16,64,37,Wichita St.,64,0
2014,824,443,Kentucky,8,64,56,Kansas St.,49,1
2014,823,444,Kansas St.,9,64,49,Kentucky,56,0
2014,822,418,Saint Louis,5,64,83,North Carolina St.,80,1
2014,821,427,North Carolina St.,12,64,80,Saint Louis,83,0
2014,820,441,Louisville,4,64,71,Manhattan,64,1
2014,819,440,Manhattan,13,64,64,Louisville,71,0
2014,818,439,Massachusetts,6,64,67,Tennessee,86,0
2014,817,413,Tennessee,11,64,86,Massachusetts,67,1
2014,816,453,Duke,3,64,71,Mercer,78,0
2014,815,437,Mercer,14,64,78,Duke,71,1
2014,814,412,Texas,7,64,87,Arizona St.,85,1
2014,813,464,Arizona St.,10,64,85,Texas,87,0
2014,812,436,Michigan,2,64,57,Wofford,40,1
2014,811,401,Wofford,15,64,40,Michigan,57,0
2014,810,451,Florida,1,32,61,Pittsburgh,45,1
2014,809,421,Pittsburgh,9,32,45,Florida,61,0
2014,808,415,Stephen F. Austin,12,32,60,UCLA,77,0
2014,807,409,UCLA,4,32,77,Stephen F. Austin,60,1
2014,806,455,Dayton,11,32,55,Syracuse,53,1
2014,805,414,Syracuse,3,32,53,Dayton,55,0
2014,804,416,Stanford,10,32,60,Kansas,57,1
2014,803,445,Kansas,2,32,57,Stanford,60,0
2014,802,406,Virginia,1,32,78,Memphis,60,1
2014,801,438,Memphis,8,32,60,Virginia,78,0
2014,800,448,Harvard,12,32,73,Michigan St.,80,0
2014,799,435,Michigan St.,4,32,80,Harvard,73,1
2014,798,429,North Carolina,6,32,83,Iowa St.,85,0
2014,797,446,Iowa St.,3,32,85,North Carolina,83,1
2014,796,457,Connecticut,7,32,77,Villanova,65,1
2014,795,407,Villanova,2,32,65,Connecticut,77,0
2014,794,465,Arizona,1,32,84,Gonzaga,61,1
2014,793,449,Gonzaga,8,32,61,Arizona,84,0
2014,792,426,North Dakota St.,12,32,44,San Diego St.,63,0
2014,791,417,San Diego St.,4,32,63,North Dakota St.,44,1
2014,790,463,Baylor,6,32,85,Creighton,55,1
2014,789,456,Creighton,3,32,55,Baylor,85,0
2014,788,422,Oregon,7,32,77,Wisconsin,85,0
2014,787,402,Wisconsin,2,32,85,Oregon,77,1
2014,786,403,Wichita St.,1,32,76,Kentucky,78,0
2014,785,443,Kentucky,8,32,78,Wichita St.,76,1
2014,784,418,Saint Louis,5,32,51,Louisville,66,0
2014,783,441,Louisville,4,32,66,Saint Louis,51,1
2014,782,413,Tennessee,11,32,83,Mercer,63,1
2014,781,437,Mercer,14,32,63,Tennessee,83,0
2014,780,412,Texas,7,32,65,Michigan,79,0
2014,779,436,Michigan,2,32,79,Texas,65,1
2014,778,451,Florida,1,16,79,UCLA,68,1
2014,777,409,UCLA,4,16,68,Florida,79,0
2014,776,455,Dayton,11,16,82,Stanford,72,1
2014,775,416,Stanford,10,16,72,Dayton,82,0
2014,774,406,Virginia,1,16,59,Michigan St.,61,0
2014,773,435,Michigan St.,4,16,61,Virginia,59,1
2014,772,446,Iowa St.,3,16,76,Connecticut,81,0
2014,771,457,Connecticut,7,16,81,Iowa St.,76,1
2014,770,465,Arizona,1,16,70,San Diego St.,64,1
2014,769,417,San Diego St.,4,16,64,Arizona,70,0
2014,768,463,Baylor,6,16,52,Wisconsin,69,0
2014,767,402,Wisconsin,2,16,69,Baylor,52,1
2014,766,443,Kentucky,8,16,74,Louisville,69,1
2014,765,441,Louisville,4,16,69,Kentucky,74,0
2014,764,413,Tennessee,11,16,71,Michigan,73,0
2014,763,436,Michigan,2,16,73,Tennessee,71,1
2014,762,451,Florida,1,8,62,Dayton,52,1
2014,761,455,Dayton,11,8,52,Florida,62,0
2014,760,435,Michigan St.,4,8,54,Connecticut,60,0
2014,759,457,Connecticut,7,8,60,Michigan St.,54,1
2014,758,465,Arizona,1,8,63,Wisconsin,64,0
2014,757,402,Wisconsin,2,8,64,Arizona,63,1
2013,756,443,Kentucky,8,8,75,Michigan,72,1
2013,755,436,Michigan,2,8,72,Kentucky,75,0
2013,754,451,Florida,1,4,53,Connecticut,63,0
2013,753,457,Connecticut,7,4,63,Florida,53,1
2013,752,402,Wisconsin,2,4,73,Kentucky,74,0
2013,751,443,Kentucky,8,4,74,Wisconsin,73,1
2013,750,457,Connecticut,7,2,60,Kentucky,54,1
2013,749,443,Kentucky,8,2,54,Connecticut,60,0
2013,748,370,Louisville,1,64,79,North Carolina A&T,48,1
2013,747,356,North Carolina A&T,16,64,48,Louisville,79,0
2013,746,389,Colorado St.,8,64,84,Missouri,72,1
2013,745,361,Missouri,9,64,72,Colorado St.,84,0
2013,744,350,Oklahoma St.,5,64,55,Oregon,68,0
2013,743,349,Oregon,12,64,68,Oklahoma St.,55,1
2013,742,346,Saint Louis,4,64,64,New Mexico St.,44,1
2013,741,358,New Mexico St.,13,64,44,Saint Louis,64,0
2013,740,368,Memphis,6,64,54,Saint Mary's,52,1
2013,739,345,Saint Mary's,11,64,52,Memphis,54,0
2013,738,365,Michigan St.,3,64,65,Valparaiso,54,1
2013,737,337,Valparaiso,14,64,54,Michigan St.,65,0
2013,736,388,Creighton,7,64,67,Cincinnati,63,1
2013,735,391,Cincinnati,10,64,63,Creighton,67,0
2013,734,386,Duke,2,64,73,Albany,61,1
2013,733,398,Albany,15,64,61,Duke,73,0
2013,732,382,Gonzaga,1,64,64,Southern,58,1
2013,731,342,Southern,16,64,58,Gonzaga,64,0
2013,730,347,Pittsburgh,8,64,55,Wichita St.,73,0
2013,729,333,Wichita St.,9,64,73,Pittsburgh,55,1
2013,728,332,Wisconsin,5,64,46,Mississippi,57,0
2013,727,362,Mississippi,12,64,57,Wisconsin,46,1
2013,726,374,Kansas St.,4,64,61,La Salle,63,0
2013,725,373,La Salle,13,64,63,Kansas St.,61,1
2013,724,397,Arizona,6,64,81,Belmont,64,1
2013,723,396,Belmont,11,64,64,Arizona,81,0
2013,722,359,New Mexico,3,64,62,Harvard,68,0
2013,721,381,Harvard,14,64,68,New Mexico,62,1
2013,720,353,Notre Dame,7,64,58,Iowa St.,76,0
2013,719,377,Iowa St.,10,64,76,Notre Dame,58,1
2013,718,352,Ohio St.,2,64,95,Iona,70,1
2013,717,378,Iona,15,64,70,Ohio St.,95,0
2013,716,375,Kansas,1,64,64,Western Kentucky,57,1
2013,715,334,Western Kentucky,16,64,57,Kansas,64,0
2013,714,357,North Carolina,8,64,78,Villanova,71,1
2013,713,335,Villanova,9,64,71,North Carolina,78,0
2013,712,336,VCU,5,64,88,Akron,42,1
2013,711,399,Akron,12,64,42,VCU,88,0
2013,710,366,Michigan,4,64,71,South Dakota St.,56,1
2013,709,343,South Dakota St.,13,64,56,Michigan,71,0
2013,708,339,UCLA,6,64,63,Minnesota,83,0
2013,707,363,Minnesota,11,64,83,UCLA,63,1
2013,706,385,Florida,3,64,79,Northwestern St.,47,1
2013,705,354,Northwestern St.,14,64,47,Florida,79,0
2013,704,344,San Diego St.,7,64,70,Oklahoma,55,1
2013,703,351,Oklahoma,10,64,55,San Diego St.,70,0
2013,702,383,Georgetown,2,64,68,Florida Gulf Coast,78,0
2013,701,384,Florida Gulf Coast,15,64,78,Georgetown,68,1
2013,700,379,Indiana,1,64,83,James Madison,62,1
2013,699,376,James Madison,16,64,62,Indiana,83,0
2013,698,355,North Carolina St.,8,64,72,Temple,76,0
2013,697,340,Temple,9,64,76,North Carolina St.,72,1
2013,696,338,UNLV,5,64,61,California,64,0
2013,695,392,California,12,64,64,UNLV,61,1
2013,694,341,Syracuse,4,64,81,Montana,34,1
2013,693,360,Montana,13,64,34,Syracuse,81,0
2013,692,393,Butler,6,64,68,Bucknell,56,1
2013,691,394,Bucknell,11,64,56,Butler,68,0
2013,690,369,Marquette,3,64,59,Davidson,58,1
2013,689,387,Davidson,14,64,58,Marquette,59,0
2013,688,380,Illinois,7,64,57,Colorado,49,1
2013,687,390,Colorado,10,64,49,Illinois,57,0
2013,686,367,Miami FL,2,64,78,Pacific,49,1
2013,685,348,Pacific,15,64,49,Miami FL,78,0
2013,684,370,Louisville,1,32,82,Colorado St.,56,1
2013,683,389,Colorado St.,8,32,56,Louisville,82,0
2013,682,349,Oregon,12,32,74,Saint Louis,57,1
2013,681,346,Saint Louis,4,32,57,Oregon,74,0
2013,680,368,Memphis,6,32,48,Michigan St.,70,0
2013,679,365,Michigan St.,3,32,70,Memphis,48,1
2013,678,388,Creighton,7,32,50,Duke,66,0
2013,677,386,Duke,2,32,66,Creighton,50,1
2013,676,382,Gonzaga,1,32,70,Wichita St.,76,0
2013,675,333,Wichita St.,9,32,76,Gonzaga,70,1
2013,674,362,Mississippi,12,32,74,La Salle,76,0
2013,673,373,La Salle,13,32,76,Mississippi,74,1
2013,672,397,Arizona,6,32,74,Harvard,51,1
2013,671,381,Harvard,14,32,51,Arizona,74,0
2013,670,377,Iowa St.,10,32,75,Ohio St.,78,0
2013,669,352,Ohio St.,2,32,78,Iowa St.,75,1
2013,668,375,Kansas,1,32,70,North Carolina,58,1
2013,667,357,North Carolina,8,32,58,Kansas,70,0
2013,666,336,VCU,5,32,53,Michigan,78,0
2013,665,366,Michigan,4,32,78,VCU,53,1
2013,664,363,Minnesota,11,32,64,Florida,78,0
2013,663,385,Florida,3,32,78,Minnesota,64,1
2013,662,344,San Diego St.,7,32,71,Florida Gulf Coast,81,0
2013,661,384,Florida Gulf Coast,15,32,81,San Diego St.,71,1
2013,660,379,Indiana,1,32,58,Temple,52,1
2013,659,340,Temple,9,32,52,Indiana,58,0
2013,658,392,California,12,32,60,Syracuse,66,0
2013,657,341,Syracuse,4,32,66,California,60,1
2013,656,393,Butler,6,32,72,Marquette,74,0
2013,655,369,Marquette,3,32,74,Butler,72,1
2013,654,380,Illinois,7,32,59,Miami FL,63,0
2013,653,367,Miami FL,2,32,63,Illinois,59,1
2013,652,370,Louisville,1,16,77,Oregon,69,1
2013,651,349,Oregon,12,16,69,Louisville,77,0
2013,650,365,Michigan St.,3,16,61,Duke,71,0
2013,649,386,Duke,2,16,71,Michigan St.,61,1
2013,648,333,Wichita St.,9,16,72,La Salle,58,1
2013,647,373,La Salle,13,16,58,Wichita St.,72,0
2013,646,397,Arizona,6,16,70,Ohio St.,73,0
2013,645,352,Ohio St.,2,16,73,Arizona,70,1
2013,644,375,Kansas,1,16,85,Michigan,87,0
2013,643,366,Michigan,4,16,87,Kansas,85,1
2013,642,385,Florida,3,16,62,Florida Gulf Coast,50,1
2013,641,384,Florida Gulf Coast,15,16,50,Florida,62,0
2013,640,379,Indiana,1,16,50,Syracuse,61,0
2013,639,341,Syracuse,4,16,61,Indiana,50,1
2013,638,369,Marquette,3,16,71,Miami FL,61,1
2013,637,367,Miami FL,2,16,61,Marquette,71,0
2013,636,370,Louisville,1,8,85,Duke,63,1
2013,635,386,Duke,2,8,63,Louisville,85,0
2013,634,333,Wichita St.,9,8,70,Ohio St.,66,1
2013,633,352,Ohio St.,2,8,66,Wichita St.,70,0
2013,632,366,Michigan,4,8,79,Florida,59,1
2013,631,385,Florida,3,8,59,Michigan,79,0
2012,630,341,Syracuse,4,8,55,Marquette,39,1
2012,629,369,Marquette,3,8,39,Syracuse,55,0
2012,628,370,Louisville,1,4,72,Wichita St.,68,1
2012,627,333,Wichita St.,9,4,68,Louisville,72,0
2012,626,366,Michigan,4,4,61,Syracuse,56,1
2012,625,341,Syracuse,4,4,56,Michigan,61,0
2012,624,370,Louisville,1,2,82,Michigan,76,1
2012,623,366,Michigan,4,2,76,Louisville,82,0
2012,622,308,Kentucky,1,64,81,Western Kentucky,66,1
2012,621,267,Western Kentucky,16,64,66,Kentucky,81,0
2012,620,311,Iowa St.,8,64,77,Connecticut,64,1
2012,619,323,Connecticut,9,64,64,Iowa St.,77,0
2012,618,266,Wichita St.,5,64,59,VCU,62,0
2012,617,271,VCU,12,64,62,Wichita St.,59,1
2012,616,313,Indiana,4,64,79,New Mexico St.,66,1
2012,615,292,New Mexico St.,13,64,66,Indiana,79,0
2012,614,273,UNLV,6,64,64,Colorado,68,0
2012,613,325,Colorado,11,64,68,UNLV,64,1
2012,612,330,Baylor,3,64,68,South Dakota St.,60,1
2012,611,281,South Dakota St.,14,64,60,Baylor,68,0
2012,610,288,Notre Dame,7,64,63,Xavier,67,0
2012,609,264,Xavier,10,64,67,Notre Dame,63,1
2012,608,319,Duke,2,64,70,Lehigh,75,0
2012,607,306,Lehigh,15,64,75,Duke,70,1
2012,606,298,Michigan St.,1,64,89,LIU Brooklyn,67,1
2012,605,305,LIU Brooklyn,16,64,67,Michigan St.,89,0
2012,604,300,Memphis,8,64,54,Saint Louis,61,0
2012,603,284,Saint Louis,9,64,61,Memphis,54,1
2012,602,293,New Mexico,5,64,75,Long Beach St.,68,1
2012,601,304,Long Beach St.,12,64,68,New Mexico,75,0
2012,600,303,Louisville,4,64,69,Davidson,62,1
2012,599,321,Davidson,13,64,62,Louisville,69,0
2012,598,294,Murray St.,6,64,58,Colorado St.,41,1
2012,597,324,Colorado St.,11,64,41,Murray St.,58,0
2012,596,301,Marquette,3,64,88,BYU,68,1
2012,595,328,BYU,14,64,68,Marquette,88,0
2012,594,318,Florida,7,64,71,Virginia,45,1
2012,593,269,Virginia,10,64,45,Florida,71,0
2012,592,296,Missouri,2,64,84,Norfolk St.,86,0
2012,591,291,Norfolk St.,15,64,86,Missouri,84,1
2012,590,277,Syracuse,1,64,72,UNC Asheville,65,1
2012,589,274,UNC Asheville,16,64,65,Syracuse,72,0
2012,588,309,Kansas St.,8,64,70,Southern Miss,64,1
2012,587,279,Southern Miss,9,64,64,Kansas St.,70,0
2012,586,272,Vanderbilt,5,64,79,Harvard,70,1
2012,585,314,Harvard,12,64,70,Vanderbilt,79,0
2012,584,265,Wisconsin,4,64,73,Montana,49,1
2012,583,295,Montana,13,64,49,Wisconsin,73,0
2012,582,326,Cincinnati,6,64,65,Texas,59,1
2012,581,275,Texas,11,64,59,Cincinnati,65,0
2012,580,317,Florida St.,3,64,66,St. Bonaventure,63,1
2012,579,278,St. Bonaventure,14,64,63,Florida St.,66,0
2012,578,315,Gonzaga,7,64,77,West Virginia,54,1
2012,577,268,West Virginia,10,64,54,Gonzaga,77,0
2012,576,286,Ohio St.,2,64,78,Loyola MD,59,1
2012,575,302,Loyola MD,15,64,59,Ohio St.,78,0
2012,574,290,North Carolina,1,64,77,Vermont,58,1
2012,573,270,Vermont,16,64,58,North Carolina,77,0
2012,572,322,Creighton,8,64,58,Alabama,57,1
2012,571,331,Alabama,9,64,57,Creighton,58,0
2012,570,276,Temple,5,64,44,South Florida,58,0
2012,569,280,South Florida,12,64,58,Temple,44,1
2012,568,299,Michigan,4,64,60,Ohio,65,0
2012,567,287,Ohio,13,64,65,Michigan,60,1
2012,566,282,San Diego St.,6,64,65,North Carolina St.,79,0
2012,565,289,North Carolina St.,11,64,79,San Diego St.,65,1
2012,564,316,Georgetown,3,64,74,Belmont,59,1
2012,563,329,Belmont,14,64,59,Georgetown,74,0
2012,562,283,Saint Mary's,7,64,69,Purdue,72,0
2012,561,285,Purdue,10,64,72,Saint Mary's,69,1
2012,560,310,Kansas,2,64,65,Detroit,50,1
2012,559,320,Detroit,15,64,50,Kansas,65,0
2012,558,308,Kentucky,1,32,87,Iowa St.,71,1
2012,557,311,Iowa St.,8,32,71,Kentucky,87,0
2012,556,271,VCU,12,32,61,Indiana,63,0
2012,555,313,Indiana,4,32,63,VCU,61,1
2012,554,325,Colorado,11,32,63,Baylor,80,0
2012,553,330,Baylor,3,32,80,Colorado,63,1
2012,552,264,Xavier,10,32,70,Lehigh,58,1
2012,551,306,Lehigh,15,32,58,Xavier,70,0
2012,550,298,Michigan St.,1,32,65,Saint Louis,61,1
2012,549,284,Saint Louis,9,32,61,Michigan St.,65,0
2012,548,293,New Mexico,5,32,56,Louisville,59,0
2012,547,303,Louisville,4,32,59,New Mexico,56,1
2012,546,294,Murray St.,6,32,53,Marquette,62,0
2012,545,301,Marquette,3,32,62,Murray St.,53,1
2012,544,318,Florida,7,32,84,Norfolk St.,50,1
2012,543,291,Norfolk St.,15,32,50,Florida,84,0
2012,542,277,Syracuse,1,32,75,Kansas St.,59,1
2012,541,309,Kansas St.,8,32,59,Syracuse,75,0
2012,540,272,Vanderbilt,5,32,57,Wisconsin,60,0
2012,539,265,Wisconsin,4,32,60,Vanderbilt,57,1
2012,538,326,Cincinnati,6,32,62,Florida St.,56,1
2012,537,317,Florida St.,3,32,56,Cincinnati,62,0
2012,536,315,Gonzaga,7,32,66,Ohio St.,73,0
2012,535,286,Ohio St.,2,32,73,Gonzaga,66,1
2012,534,290,North Carolina,1,32,87,Creighton,73,1
2012,533,322,Creighton,8,32,73,North Carolina,87,0
2012,532,280,South Florida,12,32,56,Ohio,62,0
2012,531,287,Ohio,13,32,62,South Florida,56,1
2012,530,289,North Carolina St.,11,32,66,Georgetown,63,1
2012,529,316,Georgetown,3,32,63,North Carolina St.,66,0
2012,528,285,Purdue,10,32,60,Kansas,63,0
2012,527,310,Kansas,2,32,63,Purdue,60,1
2012,526,308,Kentucky,1,16,102,Indiana,90,1
2012,525,313,Indiana,4,16,90,Kentucky,102,0
2012,524,330,Baylor,3,16,75,Xavier,70,1
2012,523,264,Xavier,10,16,70,Baylor,75,0
2012,522,298,Michigan St.,1,16,44,Louisville,57,0
2012,521,303,Louisville,4,16,57,Michigan St.,44,1
2012,520,301,Marquette,3,16,58,Florida,68,0
2012,519,318,Florida,7,16,68,Marquette,58,1
2012,518,277,Syracuse,1,16,64,Wisconsin,63,1
2012,517,265,Wisconsin,4,16,63,Syracuse,64,0
2012,516,326,Cincinnati,6,16,66,Ohio St.,81,0
2012,515,286,Ohio St.,2,16,81,Cincinnati,66,1
2012,514,290,North Carolina,1,16,73,Ohio,65,1
2012,513,287,Ohio,13,16,65,North Carolina,73,0
2012,512,289,North Carolina St.,11,16,57,Kansas,60,0
2012,511,310,Kansas,2,16,60,North Carolina St.,57,1
2012,510,308,Kentucky,1,8,82,Baylor,70,1
2012,509,330,Baylor,3,8,70,Kentucky,82,0
2012,508,303,Louisville,4,8,72,Florida,68,1
2012,507,318,Florida,7,8,68,Louisville,72,0
2012,506,277,Syracuse,1,8,70,Ohio St.,77,0
2012,505,286,Ohio St.,2,8,77,Syracuse,70,1
2011,504,290,North Carolina,1,8,67,Kansas,80,0
2011,503,310,Kansas,2,8,80,North Carolina,67,1
2011,502,308,Kentucky,1,4,69,Louisville,61,1
2011,501,303,Louisville,4,4,61,Kentucky,69,0
2011,500,286,Ohio St.,2,4,62,Kansas,64,0
2011,499,310,Kansas,2,4,64,Ohio St.,62,1
2011,498,308,Kentucky,1,2,67,Kansas,59,1
2011,497,310,Kansas,2,2,59,Kentucky,67,0
2011,496,226,Ohio St.,1,64,75,UTSA,46,1
2011,495,204,UTSA,16,64,46,Ohio St.,75,0
2011,494,249,George Mason,8,64,61,Villanova,57,1
2011,493,201,Villanova,9,64,57,George Mason,61,0
2011,492,199,West Virginia,5,64,84,Clemson,76,1
2011,491,254,Clemson,12,64,76,West Virginia,84,0
2011,490,240,Kentucky,4,64,59,Princeton,57,1
2011,489,222,Princeton,13,64,57,Kentucky,59,0
2011,488,196,Xavier,6,64,55,Marquette,66,0
2011,487,236,Marquette,11,64,66,Xavier,55,1
2011,486,216,Syracuse,3,64,77,Indiana St.,60,1
2011,485,243,Indiana St.,14,64,60,Syracuse,77,0
2011,484,200,Washington,7,64,68,Georgia,65,1
2011,483,247,Georgia,10,64,65,Washington,68,0
2011,482,230,North Carolina,2,64,102,LIU Brooklyn,87,1
2011,481,238,LIU Brooklyn,15,64,87,North Carolina,102,0
2011,480,252,Duke,1,64,87,Hampton,45,1
2011,479,245,Hampton,16,64,45,Duke,87,0
2011,478,234,Michigan,8,64,75,Tennessee,45,1
2011,477,214,Tennessee,9,64,45,Michigan,75,0
2011,476,261,Arizona,5,64,77,Memphis,75,1
2011,475,235,Memphis,12,64,75,Arizona,77,0
2011,474,213,Texas,4,64,85,Oakland,81,1
2011,473,227,Oakland,13,64,81,Texas,85,0
2011,472,255,Cincinnati,6,64,78,Missouri,63,1
2011,471,232,Missouri,11,64,63,Cincinnati,78,0
2011,470,253,Connecticut,3,64,81,Bucknell,52,1
2011,469,258,Bucknell,14,64,52,Connecticut,81,0
2011,468,215,Temple,7,64,66,Penn St.,64,1
2011,467,224,Penn St.,10,64,64,Temple,66,0
2011,466,218,San Diego St.,2,64,68,Northern Colorado,50,1
2011,465,229,Northern Colorado,15,64,50,San Diego St.,68,0
2011,464,242,Kansas,1,64,72,Boston University,53,1
2011,463,259,Boston University,16,64,53,Kansas,72,0
2011,462,207,UNLV,8,64,62,Illinois,73,0
2011,461,244,Illinois,9,64,73,UNLV,62,1
2011,460,203,Vanderbilt,5,64,66,Richmond,69,0
2011,459,220,Richmond,12,64,69,Vanderbilt,66,1
2011,458,237,Louisville,4,64,61,Morehead St.,62,0
2011,457,231,Morehead St.,13,64,62,Louisville,61,1
2011,456,248,Georgetown,6,64,56,VCU,74,0
2011,455,202,VCU,11,64,74,Georgetown,56,1
2011,454,221,Purdue,3,64,65,Saint Peter's,43,1
2011,453,219,Saint Peter's,14,64,43,Purdue,65,0
2011,452,212,Texas A&M,7,64,50,Florida St.,57,0
2011,451,250,Florida St.,10,64,57,Texas A&M,50,1
2011,450,228,Notre Dame,2,64,69,Akron,56,1
2011,449,263,Akron,15,64,56,Notre Dame,69,0
2011,448,223,Pittsburgh,1,64,74,UNC Asheville,51,1
2011,447,208,UNC Asheville,16,64,51,Pittsburgh,74,0
2011,446,257,Butler,8,64,60,Old Dominion,58,1
2011,445,225,Old Dominion,9,64,58,Butler,60,0
2011,444,241,Kansas St.,5,64,73,Utah St.,68,1
2011,443,205,Utah St.,12,64,68,Kansas St.,73,0
2011,442,198,Wisconsin,4,64,72,Belmont,58,1
2011,441,260,Belmont,13,64,58,Wisconsin,72,0
2011,440,217,St. John's,6,64,71,Gonzaga,86,0
2011,439,246,Gonzaga,11,64,86,St. John's,71,1
2011,438,256,BYU,3,64,74,Wofford,66,1
2011,437,197,Wofford,14,64,66,BYU,74,0
2011,436,209,UCLA,7,64,78,Michigan St.,76,1
2011,435,233,Michigan St.,10,64,76,UCLA,78,0
2011,434,251,Florida,2,64,79,UC Santa Barbara,51,1
2011,433,210,UC Santa Barbara,15,64,51,Florida,79,0
2011,432,226,Ohio St.,1,32,98,George Mason,66,1
2011,431,249,George Mason,8,32,66,Ohio St.,98,0
2011,430,199,West Virginia,5,32,63,Kentucky,71,0
2011,429,240,Kentucky,4,32,71,West Virginia,63,1
2011,428,236,Marquette,11,32,66,Syracuse,62,1
2011,427,216,Syracuse,3,32,62,Marquette,66,0
2011,426,200,Washington,7,32,83,North Carolina,86,0
2011,425,230,North Carolina,2,32,86,Washington,83,1
2011,424,252,Duke,1,32,73,Michigan,71,1
2011,423,234,Michigan,8,32,71,Duke,73,0
2011,422,261,Arizona,5,32,70,Texas,69,1
2011,421,213,Texas,4,32,69,Arizona,70,0
2011,420,255,Cincinnati,6,32,58,Connecticut,69,0
2011,419,253,Connecticut,3,32,69,Cincinnati,58,1
2011,418,215,Temple,7,32,64,San Diego St.,71,0
2011,417,218,San Diego St.,2,32,71,Temple,64,1
2011,416,242,Kansas,1,32,73,Illinois,59,1
2011,415,244,Illinois,9,32,59,Kansas,73,0
2011,414,220,Richmond,12,32,65,Morehead St.,48,1
2011,413,231,Morehead St.,13,32,48,Richmond,65,0
2011,412,202,VCU,11,32,94,Purdue,76,1
2011,411,221,Purdue,3,32,76,VCU,94,0
2011,410,250,Florida St.,10,32,71,Notre Dame,57,1
2011,409,228,Notre Dame,2,32,57,Florida St.,71,0
2011,408,223,Pittsburgh,1,32,70,Butler,71,0
2011,407,257,Butler,8,32,71,Pittsburgh,70,1
2011,406,241,Kansas St.,5,32,65,Wisconsin,70,0
2011,405,198,Wisconsin,4,32,70,Kansas St.,65,1
2011,404,246,Gonzaga,11,32,67,BYU,89,0
2011,403,256,BYU,3,32,89,Gonzaga,67,1
2011,402,209,UCLA,7,32,65,Florida,73,0
2011,401,251,Florida,2,32,73,UCLA,65,1
2011,400,226,Ohio St.,1,16,60,Kentucky,62,0
2011,399,240,Kentucky,4,16,62,Ohio St.,60,1
2011,398,236,Marquette,11,16,63,North Carolina,81,0
2011,397,230,North Carolina,2,16,81,Marquette,63,1
2011,396,252,Duke,1,16,77,Arizona,93,0
2011,395,261,Arizona,5,16,93,Duke,77,1
2011,394,253,Connecticut,3,16,74,San Diego St.,67,1
2011,393,218,San Diego St.,2,16,67,Connecticut,74,0
2011,392,242,Kansas,1,16,77,Richmond,57,1
2011,391,220,Richmond,12,16,57,Kansas,77,0
2011,390,202,VCU,11,16,72,Florida St.,71,1
2011,389,250,Florida St.,10,16,71,VCU,72,0
2011,388,257,Butler,8,16,61,Wisconsin,54,1
2011,387,198,Wisconsin,4,16,54,Butler,61,0
2011,386,256,BYU,3,16,74,Florida,83,0
2011,385,251,Florida,2,16,83,BYU,74,1
2011,384,240,Kentucky,4,8,76,North Carolina,69,1
2011,383,230,North Carolina,2,8,69,Kentucky,76,0
2011,382,261,Arizona,5,8,63,Connecticut,65,0
2011,381,253,Connecticut,3,8,65,Arizona,63,1
2011,380,242,Kansas,1,8,61,VCU,71,0
2011,379,202,VCU,11,8,71,Kansas,61,1
2010,378,257,Butler,8,8,74,Florida,71,1
2010,377,251,Florida,2,8,71,Butler,74,0
2010,376,240,Kentucky,4,4,55,Connecticut,56,0
2010,375,253,Connecticut,3,4,56,Kentucky,55,1
2010,374,202,VCU,11,4,62,Butler,70,0
2010,373,257,Butler,8,4,70,VCU,62,1
2010,372,253,Connecticut,3,2,53,Butler,41,1
2010,371,257,Butler,8,2,41,Connecticut,53,0
2010,370,180,Kansas,1,64,90,Lehigh,74,1
2010,369,177,Lehigh,16,64,74,Kansas,90,0
2010,368,143,UNLV,8,64,66,Northern Iowa,69,0
2010,367,164,Northern Iowa,9,64,69,UNLV,66,1
2010,366,173,Michigan St.,5,64,70,New Mexico St.,67,1
2010,365,166,New Mexico St.,12,64,67,Michigan St.,70,0
2010,364,174,Maryland,4,64,89,Houston,77,1
2010,363,181,Houston,13,64,77,Maryland,89,0
2010,362,147,Tennessee,6,64,62,San Diego St.,59,1
2010,361,151,San Diego St.,11,64,59,Tennessee,62,0
2010,360,184,Georgetown,3,64,83,Ohio,97,0
2010,359,161,Ohio,14,64,97,Georgetown,83,1
2010,358,159,Oklahoma St.,7,64,59,Georgia Tech,64,0
2010,357,183,Georgia Tech,10,64,64,Oklahoma St.,59,1
2010,356,160,Ohio St.,2,64,68,UC Santa Barbara,51,1
2010,355,144,UC Santa Barbara,15,64,51,Ohio St.,68,0
2010,354,149,Syracuse,1,64,79,Vermont,56,1
2010,353,139,Vermont,16,64,56,Syracuse,79,0
2010,352,182,Gonzaga,8,64,67,Florida St.,60,1
