,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
137,Kentucky,31,25,6,0.806,15.78,7.46,,15,3,,16,2,,8,2,,2307,2049,,68.5,95.8,0.321,0.383,0.489,47,46.7,7.2,7.7,0.453,15.1,28.5,0.22
138,La Salle,30,15,15,0.5,-0.23,1.71,,6,12,,8,7,,4,8,,2040,2098,,69.8,98.9,0.401,0.373,0.528,50.4,55,11.6,11.9,0.485,17.7,28.3,0.287
139,Lafayette,31,19,12,0.613,-5.91,-5.94,,10,8,,9,5,,10,7,,2174,2133,,67.7,101.6,0.222,0.358,0.505,50.3,43.5,8.5,6.1,0.483,12.3,27.1,0.151
140,Lamar,32,17,15,0.531,-7.24,-6.45,,10,10,,10,5,,6,10,,2312,2227,,71.7,96.3,0.266,0.373,0.522,50.9,54.2,9.7,8.4,0.496,20.4,32.3,0.185
141,Lehigh,32,11,21,0.344,-10.93,-3.9,,7,11,,8,6,,3,15,,2184,2339,,69.5,104.4,0.32,0.422,0.543,49.3,55.8,9.9,8.4,0.511,15.2,26,0.23
142,Liberty,34,30,4,0.882,5.15,-7.26,,13,3,,17,0,,7,4,,2332,1830,,61.3,87.7,0.273,0.394,0.477,46.8,44.7,7.5,5.7,0.445,17.5,21.2,0.189
143,Lipscomb,32,16,16,0.5,-7.08,-4.45,,9,7,,9,5,,7,11,,2255,2261,,68.8,102.3,0.262,0.404,0.534,49.6,48.9,8.7,10.3,0.511,15.8,27,0.179
144,Little Rock,31,21,10,0.677,2.27,-1.07,,15,5,,13,2,,8,8,,2270,2152,,70.2,98.9,0.336,0.388,0.524,47.8,50.3,9.7,8.9,0.491,17.3,28.2,0.234
145,Long Beach State,32,11,21,0.344,-8.72,1.08,,6,10,,8,6,,2,13,,2157,2404,,71.8,103.8,0.297,0.407,0.542,52,58.1,11.1,6.6,0.513,17.2,30.7,0.211
146,Long Island University,33,15,18,0.455,-8.38,-6.16,,9,9,,8,6,,6,11,,2504,2534,,73.9,102.4,0.28,0.36,0.529,53.8,51.2,8.5,10.8,0.5,16.2,30.6,0.199
147,Longwood,32,14,18,0.438,-12.45,-9.31,,9,9,,8,6,,6,11,,2148,2195,,68.5,98.6,0.343,0.431,0.535,51.3,57.5,8.7,11.6,0.505,18,25,0.233
148,Louisiana,33,14,19,0.424,-4.6,-0.67,,8,12,,10,6,,3,12,,2416,2514,,72.8,104.2,0.326,0.367,0.548,50.7,50,9.7,8.2,0.513,16.7,29.5,0.238
149,Louisiana State,31,21,10,0.677,14.43,7.2,,12,6,,15,2,,5,6,,2495,2271,,70.8,102.7,0.264,0.414,0.52,45.7,48.4,8,8.3,0.494,14.4,28.5,0.181
150,Louisiana Tech,30,22,8,0.733,7.06,-1.48,,13,5,,15,1,,7,7,,2235,1910,,68.2,92.5,0.313,0.398,0.496,48.1,49.8,7.3,8.8,0.46,18.7,27.7,0.22
151,Louisiana-Monroe,29,9,20,0.31,-6.5,-0.16,,5,15,,7,8,,2,12,,1831,1956,,66.2,101.4,0.336,0.379,0.515,50.8,52.4,9.1,7.4,0.478,14.9,29.8,0.238
152,Louisville,31,24,7,0.774,17.94,7.55,,15,5,,17,1,,6,5,,2296,1974,,67.1,94.1,0.29,0.41,0.49,45.5,47.2,8.9,9,0.451,15.3,25,0.212
153,Loyola (IL),32,21,11,0.656,5.7,0.54,,13,5,,14,2,,5,6,,2198,2007,,65.7,94.4,0.234,0.433,0.539,50.3,54,9.3,10.3,0.52,21.2,23.7,0.156
154,Loyola (MD),32,15,17,0.469,-9.59,-7.23,,7,11,,9,4,,5,13,,2348,2394,,71.3,104.2,0.32,0.395,0.538,50.8,55.9,9.4,9,0.504,15.6,29.1,0.232
155,Loyola Marymount,32,11,21,0.344,-1.09,3.88,,4,12,,7,9,,2,9,,2057,2168,,64.7,104.3,0.38,0.454,0.553,49.4,58.7,10.3,10.3,0.513,16.7,27.8,0.28
156,Maine,31,9,22,0.29,-11.88,-3.71,,5,11,,5,7,,3,15,,1904,2109,,66.2,102,0.321,0.45,0.536,49.6,54.3,11.4,7.6,0.496,16.4,27.6,0.242
157,Manhattan,31,13,18,0.419,-8.42,-6.26,,8,12,,7,6,,5,11,,1924,1991,,66.3,96.1,0.46,0.331,0.518,50.8,57.1,9.5,9.1,0.475,19.4,29.9,0.314
158,Marist,30,7,23,0.233,-12.22,-7.08,,6,14,,4,10,,3,12,,1816,1970,,65.5,98.2,0.391,0.429,0.536,50.7,57.8,9.8,7,0.493,18.3,25.2,0.285
159,Marquette,30,18,12,0.6,15.44,9.3,,8,10,,13,3,,3,8,,2333,2149,,71.4,98.7,0.349,0.349,0.501,46.8,52,9.2,9.4,0.468,13.3,25.8,0.232
160,Marshall,32,17,15,0.531,1.7,-0.05,,10,8,,10,6,,5,9,,2429,2339,,75.5,96.4,0.371,0.333,0.498,51.5,41.4,10.8,7.9,0.458,17.3,32,0.256
161,Maryland,31,24,7,0.774,17.82,10.5,,14,6,,16,1,,5,6,,2226,1999,,67.7,95.2,0.242,0.381,0.489,47.1,54.7,8.1,10.9,0.461,15.1,26.3,0.169
162,Maryland-Baltimore County,33,16,17,0.485,-8.08,-4.43,,8,8,,11,5,,5,10,,2255,2207,,68,98,0.309,0.447,0.522,50.1,50.7,9.4,8.6,0.483,17.2,26.3,0.231
163,Maryland-Eastern Shore,32,5,27,0.156,-22.03,-6.45,,4,12,,4,6,,1,20,,1841,2278,,69.6,101.5,0.367,0.384,0.542,53.8,54.3,10.5,10.3,0.509,18.7,30.5,0.254
164,Massachusetts,31,14,17,0.452,1.12,3.79,,8,10,,11,5,,3,9,,2124,2207,,69.2,102,0.335,0.318,0.54,52.7,55.7,10.2,6.4,0.51,17.7,30.3,0.233
165,Massachusetts-Lowell,32,13,19,0.406,-8.19,-5.35,,7,9,,8,9,,5,10,,2388,2433,,70.9,106,0.282,0.361,0.551,50.8,48.8,9.4,8.9,0.524,16.3,29.6,0.201
166,McNeese State,32,15,17,0.469,-9.11,-6.93,,10,10,,10,5,,5,11,,2540,2390,,71.8,103.2,0.275,0.392,0.533,47.7,53.5,10.8,8.2,0.501,16.2,30.2,0.203
167,Memphis,31,21,10,0.677,12.16,5.07,,10,8,,15,3,,5,6,,2232,2012,,73.1,88.1,0.35,0.365,0.456,47.8,52.5,10.4,8.1,0.412,17.3,29.4,0.241
168,Mercer,32,17,15,0.531,-3.13,-2.7,,11,7,,9,6,,8,6,,2294,2248,,70.4,99.8,0.347,0.403,0.524,46.8,51.3,9.9,6.9,0.496,16,26.2,0.229
169,Merrimack,31,20,11,0.645,-6.93,-6.53,,14,4,,10,2,,9,8,,1948,1866,,64.4,92.4,0.37,0.312,0.511,56.2,58,7.8,11.4,0.469,22.8,34,0.263
170,Miami (FL),31,15,16,0.484,6.63,8.66,,7,13,,9,5,,4,8,,2207,2270,,68.7,104.1,0.229,0.347,0.526,52.8,54.6,8.8,11.5,0.502,15.1,31.9,0.163
171,Miami (OH),32,13,19,0.406,-4.17,-0.57,,5,13,,10,6,,2,11,,2269,2275,,69.2,102.8,0.355,0.39,0.535,51.2,45.8,7.8,9.1,0.505,15.8,27.9,0.241
172,Michigan,31,19,12,0.613,17.94,11.17,,10,10,,11,5,,4,7,,2326,2116,,69.3,97.3,0.264,0.283,0.498,49.4,39.4,6.6,7.3,0.469,14.1,25.5,0.183
173,Michigan State,31,22,9,0.71,21.92,10.76,,14,6,,12,3,,7,4,,2353,2007,,69.4,93.3,0.293,0.377,0.47,44.9,55.7,8.7,9.2,0.433,13.8,26,0.206
174,Middle Tennessee,31,8,23,0.258,-8.41,0.84,,4,14,,5,10,,3,10,,2193,2332,,71.2,104.7,0.385,0.34,0.565,51,52.1,9.2,8.1,0.533,17.7,27.2,0.272
175,Milwaukee,31,12,19,0.387,-7.22,-3.91,,7,11,,7,8,,4,9,,2216,2252,,70.6,100.8,0.426,0.355,0.543,50.9,50.8,7.9,8.5,0.499,18.3,29.1,0.306
176,Minnesota,31,15,16,0.484,16.39,11.55,,8,12,,11,5,,2,10,,2205,2055,,67.3,97.7,0.28,0.312,0.49,47.9,52.6,7.7,9.9,0.456,13.7,27.9,0.198
177,Mississippi,32,15,17,0.469,7.37,6.9,,6,12,,12,5,,1,10,,2208,2193,,68.8,98.8,0.406,0.347,0.525,50.8,55.2,8.7,10.4,0.476,17.2,27.9,0.301
178,Mississippi State,31,20,11,0.645,12.21,6.96,,11,7,,14,2,,4,7,,2275,2112,,67.3,101.2,0.316,0.362,0.519,44.9,50.5,10.5,7.5,0.481,14.9,28.3,0.232
179,Mississippi Valley State,30,3,27,0.1,-29.08,-7.68,,3,15,,1,8,,2,19,,2048,2690,,78.9,113.1,0.361,0.346,0.566,57.8,59.4,9,7.7,0.54,15,35.9,0.247
180,Missouri,31,15,16,0.484,8.51,6.54,,7,11,,12,4,,2,10,,2081,2020,,67.1,96.4,0.478,0.379,0.519,48.5,49.1,8.8,10.5,0.463,18.3,27.7,0.347
181,Missouri State,33,16,17,0.485,3.5,0.71,,9,9,,11,4,,3,10,,2330,2238,,68.6,98.5,0.332,0.387,0.531,45.4,46.9,9,7.7,0.496,16.4,22.7,0.236
182,Monmouth,31,18,13,0.581,-4.51,-5.19,,12,8,,11,2,,6,10,,2209,2188,,72.1,97.6,0.417,0.405,0.536,52.9,51.2,8.3,9,0.495,19.8,28.9,0.296
183,Montana,31,18,13,0.581,0.59,-1.52,,14,6,,12,3,,6,10,,2195,2122,,69.4,97.4,0.443,0.315,0.534,52,45.2,8.4,6.7,0.488,18.3,24.4,0.317
184,Montana State,31,16,15,0.516,-5.01,-2.29,,10,10,,9,5,,5,10,,2066,2076,,68.2,98.2,0.296,0.409,0.509,49.1,50.9,9.5,9.7,0.478,14.7,24.8,0.206
185,Morehead State,32,13,19,0.406,-10.96,-6.42,,7,11,,11,4,,2,14,,2208,2240,,69.1,100.1,0.277,0.374,0.517,49.6,47.3,8.5,12.4,0.488,15.7,28,0.195
186,Morgan State,31,15,16,0.484,-12.82,-9.18,,9,7,,8,6,,7,7,,2182,2197,,71.4,98.1,0.495,0.388,0.518,47,50.1,9.5,8.5,0.466,17.3,28.9,0.347
187,Mount St. Mary's,32,11,21,0.344,-9.56,-6.47,,7,11,,8,6,,3,15,,2053,2132,,64.5,102.1,0.293,0.368,0.527,50,51.6,8.4,10.1,0.497,15.3,27.8,0.206
188,Murray State,32,23,9,0.719,1.99,-6.08,,15,3,,15,0,,6,6,,2413,2070,,69.7,92.1,0.313,0.363,0.492,45.5,45.6,8.6,9.4,0.457,16.4,23.7,0.215
189,Navy,30,14,16,0.467,-7.36,-5.74,,8,10,,10,5,,4,11,,1908,1924,,62.6,100.8,0.295,0.41,0.53,46.7,56.4,9.3,12.5,0.504,16,25.2,0.201
190,NC State,32,20,12,0.625,12.05,7.14,,10,10,,14,4,,5,7,,2388,2231,,70.6,98.4,0.354,0.328,0.514,51,43.4,9.4,8.6,0.478,17.3,31,0.244
191,Nebraska,32,7,25,0.219,2.41,10.66,,2,18,,5,11,,0,12,,2235,2499,,72.8,105.2,0.218,0.389,0.533,56,52,7.6,13.7,0.515,15.9,32.9,0.145
192,Nevada,31,19,12,0.613,8.91,4.14,,12,6,,12,3,,4,7,,2391,2243,,71.7,100.5,0.365,0.443,0.512,48.2,51,6.6,7.5,0.469,13.4,24.5,0.262
193,Nevada-Las Vegas,32,17,15,0.531,6.79,4.76,,12,6,,12,6,,5,7,,2307,2242,,67.2,101.5,0.406,0.428,0.535,45.3,59.6,9.1,9.6,0.492,15.5,24,0.293
194,New Hampshire,30,15,15,0.5,-7.6,-6.28,,8,8,,10,3,,5,12,,2071,1990,,69.7,94,0.374,0.381,0.499,46,40.6,8.8,8.1,0.459,15.3,20.6,0.257
195,New Mexico,33,19,14,0.576,3.47,2.63,,7,11,,15,3,,2,9,,2531,2483,,73,103.1,0.245,0.426,0.545,50.5,58.5,9.6,7,0.524,17.6,30.1,0.17
196,New Mexico State,31,25,6,0.806,4.11,-4.24,,16,0,,13,1,,9,3,,2214,1852,,64.6,92.1,0.306,0.376,0.52,43.6,47.3,9.3,6.8,0.484,19.4,21.2,0.223
197,New Orleans,30,9,21,0.3,-14.08,-4.73,,5,15,,6,8,,3,13,,2262,2323,,72.8,106.4,0.383,0.341,0.579,52.3,55.9,9,9.8,0.544,19.3,32.3,0.28
198,Niagara,32,12,20,0.375,-11.02,-4.33,,9,11,,9,3,,2,17,,2102,2316,,66.5,107.9,0.276,0.41,0.553,58.9,62.1,7.1,9.7,0.528,17.5,35.8,0.196
199,Nicholls State,31,21,10,0.677,-3.87,-6.02,,15,5,,13,1,,7,8,,2388,2144,,73,93.9,0.391,0.336,0.527,51.1,54.6,8.7,6.7,0.484,22,31.6,0.282
200,NJIT,30,9,21,0.3,-10.14,-4.83,,6,10,,5,7,,4,14,,1904,2030,,67,101.1,0.327,0.353,0.535,52,51.8,7.8,9.5,0.5,16.3,26.5,0.237
201,Norfolk State,31,16,15,0.516,-7.76,-9.39,,12,4,,11,2,,4,12,,2186,2012,,70.3,91.9,0.402,0.408,0.504,48.8,60,7.9,9.1,0.461,19.9,27.8,0.278
202,North Alabama,30,13,17,0.433,-9,-5.82,,8,8,,9,4,,4,13,,2062,2092,,70,99.2,0.392,0.337,0.532,49,43.7,8,10.6,0.494,17.6,26.4,0.274
203,North Carolina,33,14,19,0.424,9.45,10.05,,6,14,,7,8,,3,9,,2383,2403,,70.4,101.9,0.292,0.412,0.528,45,54,9.7,9.4,0.491,14.2,24.2,0.22
204,North Carolina A&T,32,17,15,0.531,-9.66,-7.86,,12,4,,11,1,,4,12,,2311,2305,,75.2,95,0.415,0.386,0.504,50.8,52.6,8.8,8,0.472,18.7,30.2,0.263
205,North Carolina Central,31,18,13,0.581,-10.04,-8.86,,13,3,,12,0,,5,13,,2162,2045,,69.6,93.3,0.322,0.388,0.507,50.6,51.1,8.6,8.2,0.472,20.9,31.7,0.224
206,North Dakota,33,15,18,0.455,-6.24,-1.38,,7,9,,8,3,,4,13,,2470,2467,,70.5,105.2,0.283,0.322,0.544,48.1,44.3,9.3,8,0.513,13.7,24,0.208
207,North Dakota State,33,25,8,0.758,2.19,-3.94,,13,3,,13,1,,8,6,,2467,2183,,67.8,97.2,0.256,0.313,0.515,47.4,38.2,6.8,9.3,0.486,13.8,18.5,0.184
208,North Florida,33,21,12,0.636,-0.57,-3.25,,13,3,,13,2,,7,9,,2583,2416,,69.6,105.2,0.276,0.244,0.528,51.2,52.4,8.2,10,0.5,14.1,31.4,0.193
209,North Texas,31,20,11,0.645,7.32,1.66,,14,4,,13,3,,7,6,,2203,1962,,64.9,97.1,0.382,0.364,0.523,47.6,47.1,10.9,9.8,0.486,18.5,27.6,0.264
210,Northeastern,33,17,16,0.515,1.45,-3.28,,9,9,,7,6,,7,7,,2347,2191,,65.8,100.5,0.306,0.381,0.548,49.4,43.1,7.9,7.2,0.517,17.7,24.1,0.222
211,Northern Arizona,30,16,14,0.533,-4.65,-2.4,,10,10,,9,5,,6,8,,2128,2081,,67.7,102.1,0.273,0.368,0.55,49.3,51.7,7.8,6.8,0.522,17.1,24.9,0.2
212,Northern Colorado,31,22,9,0.71,5.72,-2.8,,15,5,,11,3,,9,5,,2303,1945,,65.9,94.4,0.247,0.233,0.501,48.6,32.9,6.9,9.2,0.474,15.2,22.7,0.172
213,Northern Illinois,31,18,13,0.581,-1.33,-2.16,,11,7,,11,4,,7,9,,2071,1998,,66.2,96.9,0.311,0.436,0.506,47.1,51.7,7.4,8.6,0.469,15.4,24.3,0.225
214,Northern Iowa,31,25,6,0.806,9.83,1.45,,14,4,,16,0,,8,4,,2330,2006,,65.9,97.1,0.244,0.376,0.506,44.8,44,10.1,7.1,0.481,13.9,22.3,0.167
215,Northern Kentucky,32,23,9,0.719,0.28,-4.65,,13,5,,11,4,,10,5,,2317,2089,,68.7,94.3,0.301,0.342,0.494,50.3,52.1,7.9,6.3,0.464,18,30.8,0.201
216,Northwestern,31,8,23,0.258,5.35,10.51,,3,17,,5,11,,2,10,,2012,2172,,66.7,104.2,0.286,0.424,0.522,53.1,62.5,8.2,8.9,0.492,13.7,29.2,0.202
217,Northwestern State,30,15,15,0.5,-10,-7.07,,11,9,,9,5,,5,10,,2265,2270,,74.5,101.2,0.368,0.354,0.511,49.3,54.1,11.1,6.7,0.469,15.6,31.8,0.262
218,Notre Dame,32,20,12,0.625,11.21,5.62,,10,10,,15,4,,4,7,,2376,2197,,69,98.8,0.197,0.362,0.499,50.2,50.7,8.1,9.2,0.475,14.5,28.1,0.142
219,Oakland,33,14,19,0.424,-5.92,-3.1,,8,10,,8,5,,4,12,,2239,2301,,67.5,101.7,0.257,0.434,0.517,50,57.5,9.6,8.3,0.494,15.4,30.1,0.172
220,Ohio,32,17,15,0.531,0.74,0.17,,8,10,,12,5,,4,8,,2286,2192,,68.8,99.5,0.316,0.403,0.529,48.7,46.9,9,7.2,0.485,16.3,24.6,0.247
221,Ohio State,31,21,10,0.677,19.37,10.24,,11,9,,15,2,,4,7,,2234,1951,,66.8,94.2,0.293,0.395,0.494,46.2,49.1,7.4,9.6,0.462,16.1,25.4,0.203
222,Oklahoma,31,19,12,0.613,13.48,10.64,,9,9,,12,3,,4,8,,2177,2089,,69.7,96.7,0.197,0.401,0.491,50.8,47.4,8.9,7.1,0.467,14.5,27.4,0.14
223,Oklahoma State,32,18,14,0.563,12.01,10.51,,7,11,,10,6,,5,7,,2163,2115,,68.5,96.5,0.331,0.444,0.507,49.4,56.6,9,9,0.467,17.8,29,0.24
224,Old Dominion,32,13,19,0.406,0.02,0.06,,9,9,,10,4,,3,11,,2098,2099,,67.5,96.4,0.34,0.453,0.52,46.4,54.5,7.5,9.5,0.481,16.6,21.7,0.244
225,Omaha,32,16,16,0.5,-5.09,-0.96,,9,7,,12,2,,4,12,,2352,2461,,70.7,107,0.288,0.398,0.551,49.9,53.6,7.8,7.5,0.52,14.3,26.9,0.212
226,Oral Roberts,31,17,14,0.548,2.16,-1.58,,9,7,,13,1,,3,12,,2485,2265,,71.5,101.3,0.302,0.389,0.536,48.2,49.8,6.2,8.3,0.504,16.4,26.6,0.218
227,Oregon,31,24,7,0.774,18.22,9.09,,13,5,,17,0,,5,5,,2352,2069,,66.1,98.2,0.295,0.406,0.51,48.5,53.2,6,9.6,0.473,17.1,31.1,0.216
228,Oregon State,31,18,13,0.581,9.7,6.15,,7,11,,12,4,,3,8,,2207,2097,,66.6,101.6,0.309,0.364,0.529,50.6,54.8,8.4,8.8,0.494,16.2,29,0.226
229,Pacific,33,23,10,0.697,3.81,0.19,,11,5,,15,3,,7,5,,2300,2128,,65.9,95.4,0.412,0.361,0.52,43.7,41.4,7.8,6.2,0.477,16.5,20.1,0.291
230,Penn State,31,21,10,0.677,16.12,9.25,,11,9,,14,3,,5,6,,2327,2114,,71.4,95.5,0.318,0.327,0.497,49.2,49.3,7.6,8.6,0.464,16.2,27.5,0.217
231,Pennsylvania,27,16,11,0.593,1.07,-0.36,,8,6,,8,3,,6,7,,1991,1906,,71.6,98.2,0.245,0.307,0.501,51.1,39.9,10,8.9,0.472,14.6,27.1,0.175
232,Pepperdine,32,16,16,0.5,2.82,3.6,,8,8,,9,5,,6,7,,2441,2466,,71.6,105.6,0.347,0.365,0.56,51.1,57.6,9,7,0.528,16.7,27.9,0.248
233,Pittsburgh,33,16,17,0.485,6.8,7.32,,6,14,,11,7,,2,9,,2152,2169,,66,99.2,0.26,0.396,0.525,51.5,59,8.2,11,0.498,19.8,34.6,0.185
234,Portland,32,9,23,0.281,-6.53,1.97,,1,15,,7,9,,2,9,,2126,2309,,70.5,101.6,0.297,0.407,0.527,54.3,59.7,10.1,7.3,0.503,16.3,30,0.196
235,Portland State,32,18,14,0.563,-1.5,-2.43,,12,8,,11,3,,6,11,,2518,2412,,72.5,103.9,0.307,0.305,0.551,49.3,55.5,7.9,7.8,0.521,18.3,33.6,0.221
236,Prairie View,32,19,13,0.594,-6.26,-8.36,,14,4,,12,0,,6,12,,2302,2186,,72.7,93.2,0.489,0.379,0.53,50.5,53.4,8,7.5,0.484,21.6,27.8,0.338
237,Presbyterian,32,10,22,0.313,-15.06,-6.93,,7,11,,7,6,,3,14,,2155,2346,,67.2,108.3,0.359,0.448,0.563,49.8,54.4,10.5,9.7,0.532,15.2,27,0.253
238,Princeton,27,14,13,0.519,-0.75,-1.48,,9,5,,7,6,,5,6,,1931,1866,,67.2,102.4,0.264,0.305,0.547,49.1,42.1,9.2,10.9,0.517,15.7,23.7,0.199
239,Providence,31,19,12,0.613,13.45,8.19,,12,6,,13,3,,5,6,,2214,2051,,69.6,94.7,0.374,0.369,0.515,48.4,51.3,10,8.9,0.474,18.9,28.4,0.264
240,Purdue,31,16,15,0.516,16.3,10.76,,9,11,,11,5,,4,8,,2114,1942,,64.7,94.5,0.319,0.42,0.508,47,59.3,7.8,9.7,0.471,18,27.2,0.227
241,Purdue Fort Wayne,33,14,19,0.424,-7.87,-3.2,,6,10,,10,5,,3,13,,2261,2320,,69.5,101.2,0.287,0.42,0.55,48.7,53.7,9,9.1,0.523,17.1,23.3,0.204
242,Quinnipiac,30,15,15,0.5,-7.66,-6.53,,10,10,,9,5,,5,9,,2088,2122,,68.9,102.6,0.236,0.358,0.511,48.8,54.9,9.8,11.6,0.488,12.3,26.2,0.161
243,Radford,32,21,11,0.656,-2.67,-5.71,,15,3,,11,4,,9,6,,2302,2115,,65,101.3,0.331,0.451,0.522,46.9,54,6.4,8.4,0.493,14.9,26,0.223
244,Rhode Island,30,21,9,0.7,9.25,4.78,,13,5,,12,3,,8,5,,2200,2066,,71.8,95.1,0.285,0.376,0.506,49.5,52.8,7.6,7.6,0.474,18.1,28.6,0.201
245,Rice,32,15,17,0.469,-3.09,-0.76,,7,11,,8,7,,5,8,,2363,2375,,71.4,104,0.284,0.395,0.543,50.3,50.6,8.6,10.3,0.519,15.5,26.4,0.194
246,Richmond,31,24,7,0.774,11.31,2.76,,14,4,,14,2,,9,3,,2335,2070,,69.3,95.6,0.302,0.41,0.507,50.6,47.4,8,8.4,0.477,17.4,26.3,0.206
247,Rider,30,18,12,0.6,-3.09,-5.49,,12,8,,11,1,,5,11,,2152,2080,,71.8,96.6,0.303,0.439,0.52,46.6,52.7,9.3,9.4,0.491,17.1,24,0.206
248,Robert Morris,34,20,14,0.588,-4.73,-6.33,,13,5,,12,3,,7,11,,2373,2280,,67.5,99.4,0.311,0.364,0.539,50.4,49.8,9.2,9.6,0.506,19.2,28.9,0.226
249,Rutgers,31,20,11,0.645,15.72,9.68,,11,9,,18,1,,2,8,,2168,1942,,67.7,91.8,0.278,0.412,0.482,46,54.9,7.9,8.8,0.447,16.6,25.4,0.198
250,Sacramento State,30,16,14,0.533,-2.08,-2.76,,8,12,,10,4,,4,10,,1895,1791,,64.5,92.6,0.339,0.295,0.511,47.1,48.6,8.3,7.2,0.464,19.4,25.3,0.258
251,Sacred Heart,33,20,13,0.606,-4.75,-7.4,,12,6,,9,4,,10,8,,2420,2291,,69.9,99.4,0.232,0.339,0.497,45.3,55.2,9.5,9.9,0.472,13.8,28,0.16
252,Saint Francis (PA),32,22,10,0.688,-2.05,-6.5,,13,5,,13,2,,8,8,,2485,2298,,70.3,101.7,0.283,0.395,0.538,47.8,50.8,8,8.1,0.509,17,28.5,0.203
253,Saint Joseph's,32,6,26,0.188,-5.54,4.93,,2,16,,4,10,,2,12,,2208,2543,,71.3,111.1,0.32,0.332,0.558,52.7,49.8,9.3,13.1,0.527,12.6,29,0.232
254,Saint Louis,31,23,8,0.742,9.41,3.07,,12,6,,15,3,,6,4,,2223,2020,,68.7,93.7,0.362,0.395,0.504,45.4,48.9,9.7,8.4,0.464,17.5,24.6,0.253
255,Saint Mary's (CA),34,26,8,0.765,12.27,5.24,,11,5,,14,3,,6,3,,2559,2276,,65,100,0.275,0.32,0.535,48.6,39.1,6,8.7,0.506,15.9,23.5,0.197
256,Saint Peter's,30,18,12,0.6,-3.67,-5.9,,14,6,,11,3,,6,9,,1990,1923,,68.6,93,0.408,0.36,0.509,46.1,54.1,11.1,12.9,0.461,19.4,27.3,0.293
257,Sam Houston,31,18,13,0.581,-5.17,-6.5,,11,9,,12,3,,6,10,,2417,2245,,74.4,95.4,0.421,0.421,0.536,50.6,53.8,9.3,7.9,0.487,21.4,29,0.311
258,Samford,33,10,23,0.303,-13.13,-1.13,,4,14,,7,8,,3,14,,2448,2711,,74.6,109.3,0.238,0.454,0.559,51.6,61.7,10.2,8.5,0.541,16.1,32.4,0.162
259,San Diego,32,9,23,0.281,-3.52,4.35,,2,14,,6,9,,3,10,,2101,2319,,70.9,101,0.316,0.321,0.533,51.5,47.4,9.6,8.9,0.5,16.1,27.5,0.225
260,San Diego State,32,30,2,0.938,18.38,3.93,,17,1,,14,1,,11,0,,2395,1903,,66.1,90,0.298,0.421,0.489,47.5,53.4,8.3,5.8,0.449,18.8,25.6,0.217
261,San Francisco,34,22,12,0.647,8.56,3.84,,9,7,,12,5,,7,6,,2546,2339,,69.2,98.4,0.311,0.293,0.533,47.6,42.4,8.6,8.4,0.5,16.8,23.6,0.224
262,San Jose State,31,7,24,0.226,-7.55,5.15,,3,15,,6,10,,1,12,,2167,2523,,74.1,109.4,0.338,0.348,0.564,54,63.3,9.8,7.5,0.538,15.5,30,0.234
263,Santa Clara,33,20,13,0.606,1.95,0.63,,6,10,,16,5,,3,7,,2498,2365,,73,97.9,0.376,0.33,0.521,51.1,49.9,8.9,8,0.479,16.9,26,0.27
264,Seattle,29,14,15,0.483,-3.95,-3.91,,7,7,,9,4,,3,10,,2177,2110,,71.4,99.8,0.4,0.355,0.527,51.1,49.6,7.2,7.9,0.48,16.5,27.5,0.294
265,Seton Hall,30,21,9,0.7,16.75,9.95,,13,5,,11,4,,8,4,,2241,2037,,71,95.7,0.324,0.345,0.494,49.7,48.5,9,8.8,0.457,16.7,30.4,0.227
266,Siena,30,20,10,0.667,-1.13,-5.66,,15,5,,14,0,,5,10,,2167,2031,,67.1,99.6,0.269,0.348,0.518,46.5,45.1,8.4,9.8,0.484,15.1,25.8,0.2
267,South Alabama,31,20,11,0.645,0.08,-1.03,,13,7,,11,5,,7,5,,2209,2092,,67.1,100.2,0.26,0.461,0.528,50.7,56.5,7.9,9.9,0.503,17.9,30.1,0.181
268,South Carolina,31,18,13,0.581,10.27,6.43,,10,8,,12,5,,6,6,,2275,2156,,72.5,95.5,0.531,0.398,0.516,48.7,54.3,8.5,8.4,0.452,18.7,28.6,0.388
269,South Carolina State,29,11,18,0.379,-16.01,-9.27,,6,10,,8,5,,3,12,,2037,2180,,69.1,106.5,0.364,0.356,0.552,48.5,45.3,7.7,8.7,0.526,15.4,27.6,0.244
270,South Carolina Upstate,33,13,20,0.394,-13.58,-6.06,,7,11,,9,6,,4,13,,2286,2460,,69.8,106.8,0.391,0.394,0.569,52.6,48.2,8.4,8.3,0.534,17.3,29,0.281
271,South Dakota,32,20,12,0.625,-1.74,-3.84,,10,6,,13,2,,5,8,,2547,2374,,71.4,103.9,0.312,0.349,0.549,49.5,42.4,7.3,6.5,0.515,14.4,21.9,0.23
272,South Dakota State,32,22,10,0.688,2.29,-4.24,,13,3,,16,0,,6,9,,2493,2256,,69.8,99.8,0.254,0.378,0.504,46.9,43.9,9.3,8.6,0.478,13.8,26.9,0.173
273,South Florida,31,14,17,0.452,5.15,5.18,,7,11,,10,7,,3,6,,1943,1944,,65.5,95,0.345,0.401,0.54,48,51,10,9.7,0.51,20.9,25.2,0.236
274,Southeast Missouri State,31,7,24,0.226,-14.57,-5.29,,3,15,,6,7,,0,16,,2054,2307,,68.8,107.7,0.336,0.37,0.566,52.2,56.4,8,9,0.54,16,27.9,0.233
