,,,,2012-13 Season,,,,,,,Career at Current School,,,,,,,,,Career Overall,,,,,,
Fran McCaffery,Iowa,Big Ten,,25,13,0.658,,,,,2010-11,54,50,0.519,,,,,,305,227,0.573,5,,,
Ray McCallum,Detroit Mercy,Horizon,,20,13,0.606,,,,,2008-09,86,80,0.518,1,,,,,256,229,0.528,3,,,
Mike McConathy,Northwestern State,Southland,,23,9,0.719,,,Lost Second Round,,1999-00,223,213,0.511,3,,,,,223,213,0.511,3,,,
Greg McDermott,Creighton,MVC,,28,8,0.778,16,22,Lost Third Round,,2010-11,80,30,0.727,2,,,,,229,161,0.587,5,,,
Bob McKillop,Davidson,Southern,,26,8,0.765,,,Lost Second Round,,1989-90,452,279,0.618,7,1,,,,452,279,0.618,7,1,,
Marvin Menzies,New Mexico State,WAC,,24,11,0.686,,,Lost Second Round,,2007-08,126,79,0.615,3,,,,,126,79,0.615,3,,,
Joe Mihalich,Niagara,MAAC,,19,14,0.576,,,,,1998-99,265,203,0.566,2,,,,,265,203,0.566,2,,,
Tim Miles,Nebraska,Big Ten,,15,18,0.455,,,,,2012-13,15,18,0.455,,,,,,122,126,0.492,1,,,
Archie Miller,Dayton,A-10,,17,14,0.548,,,,,2011-12,37,27,0.578,,,,,,37,27,0.578,,,,
Sean Miller,Arizona,Pac-12,,27,8,0.771,12,21,Lost Regional Semifinal,,2009-10,96,43,0.691,2,2,,,,216,90,0.706,6,4,,
Wes Miller,UNC Greensboro,Southern,,9,22,0.29,,,,,2011-12,20,33,0.377,,,,,,20,33,0.377,,,,
Fang Mitchell,Coppin State,MEAC,,8,24,0.25,,,,,1986-87,417,397,0.512,4,,,,,417,397,0.512,4,,,
Jim Molinari,Western Illinois,Summit,,22,9,0.71,,,,,2008-09,69,84,0.451,,,,,,292,270,0.52,2,,,
Dan Monson,Long Beach State,Big West,,19,14,0.576,,,,,2007-08,104,91,0.533,1,,,,,274,214,0.561,3,1,,
Mark Montgomery,Northern Illinois,MAC,,5,25,0.167,,,,,2011-12,10,51,0.164,,,,,,10,51,0.164,,,,
Mike Montgomery,California,Pac-12,,21,12,0.636,,,Lost Third Round,,2008-09,109,59,0.649,4,,,,,655,304,0.683,16,3,1,
Chris Mooney,Richmond,A-10,,19,15,0.559,,,,,2005-06,147,118,0.555,2,1,,,,165,130,0.559,2,1,,
Howard Moore,UIC,Horizon,,18,16,0.529,,,,,2010-11,33,62,0.347,,,,,,33,62,0.347,,,,
Tom Moore,Quinnipiac,NEC,,15,16,0.484,,,,,2007-08,108,81,0.571,,,,,,108,81,0.571,,,,
Stew Morrill,Utah State,WAC,,21,10,0.677,,,,,1998-99,366,129,0.739,8,,,,,584,267,0.686,9,,,
Porter Moser,Loyola (IL),Horizon,,15,16,0.484,,,,,2011-12,22,39,0.361,,,,,,127,140,0.476,,,,
LeVelle Moton,North Carolina Central,MEAC,,22,9,0.71,,,,,2009-10,61,61,0.5,,,,,,61,61,0.5,,,,
Dan Muller,Illinois State,MVC,,18,15,0.545,,,,,2012-13,18,15,0.545,,,,,,18,15,0.545,,,,
Jack Murphy,Northern Arizona,Big Sky,,11,21,0.344,,,,,2012-13,11,21,0.344,,,,,,11,21,0.344,,,,
Rob Murphy,Eastern Michigan,MAC,,16,18,0.471,,,,,2011-12,30,36,0.455,,,,,,30,36,0.455,,,,
Scott Nagy,South Dakota State,Summit,,25,10,0.714,,,Lost Second Round,,2005-06,121,131,0.48,2,,,,,121,131,0.48,2,,,
George Nessman,San Jose State,WAC,,9,20,0.31,,,,,2005-06,86,161,0.348,,,,,,86,161,0.348,,,,
Jeff Neubauer,Eastern Kentucky,OVC,,25,10,0.714,,,,,2005-06,143,112,0.561,1,,,,,143,112,0.561,1,,,
Andy Newman,Cal State Fullerton,Big West,,14,18,0.438,,,,,2012-13,14,18,0.438,,,,,,14,18,0.438,,,,
Gregg Nibert,Presbyterian,Big South,,8,24,0.25,,,,,2007-08,57,125,0.313,,,,,,57,125,0.313,,,,
Kevin Nickelberry,Howard,MEAC,,7,24,0.226,,,,,2010-11,23,69,0.25,,,,,,72,113,0.389,,,,
Dickey Nutt *,Southeast Missouri State,OVC,,17,16,0.515,,,,,2009-10,49,77,0.389,,,,,,238,264,0.474,1,,,
Fran O'Hanlon,Lafayette,Patriot,,19,15,0.559,,,,,1995-96,257,276,0.482,2,,,,,257,276,0.482,2,,,
Kevin O'Neill *,USC,Pac-12,,7,10,0.412,,,,,2009-10,48,65,0.425,1,,,,,219,245,0.472,4,1,,
Tim O'Shea,Bryant,NEC,,19,12,0.613,,,,,2008-09,39,111,0.26,,,,,,159,206,0.436,1,,,
Kevin Ollie,UConn,Big East,,20,10,0.667,,,,,2012-13,20,10,0.667,,,,,,20,10,0.667,,,,
Louis Orr,Bowling Green State,MAC,,13,19,0.406,,,,,2007-08,89,101,0.468,,,,,,189,181,0.511,2,,,
Matt Painter,Purdue,Big Ten,,16,18,0.471,,,,,2005-06,176,95,0.649,6,2,,,,201,100,0.668,7,2,,
Josh Pastner,Memphis,CUSA,,31,5,0.861,17,19,Lost Third Round,,2009-10,106,34,0.757,3,,,,,106,34,0.757,3,,,
Jimmy Patsos,Loyola (MD),MAAC,,23,12,0.657,,,,,2004-05,145,135,0.518,1,,,,,145,135,0.518,1,,,
Dave Paulsen,Bucknell,Patriot,,28,6,0.824,,,Lost Second Round,,2008-09,99,65,0.604,2,,,,,99,65,0.604,2,,,
Eddie Payne,USC Upstate,A-Sun,,16,17,0.485,,,,,2007-08,64,122,0.344,,,,,,170,270,0.386,1,,,
Steve Payne,Tennessee Tech,OVC,,12,17,0.414,,,,,2011-12,31,31,0.5,,,,,,31,31,0.5,,,,
Tom Pecora,Fordham,A-10,,7,24,0.226,,,,,2010-11,24,64,0.273,,,,,,179,190,0.485,,,,
Jack Perri,LIU,NEC,,20,14,0.588,,,Lost First Round,,2012-13,20,14,0.588,1,,,,,20,14,0.588,1,,,
Buzz Peterson,UNC Wilmington,CAA,,10,20,0.333,,,,,2010-11,33,59,0.359,,,,,,258,206,0.556,1,,,
Mark Phelps,Drake,MVC,,15,17,0.469,,,,,2008-09,77,86,0.472,,,,,,77,86,0.472,,,,
Saul Phillips,North Dakota State,Summit,,24,10,0.706,,,,,2007-08,108,77,0.584,1,,,,,108,77,0.584,1,,,
Steve Pikiell,Stony Brook,AEC,,25,8,0.758,,,,,2005-06,120,126,0.488,,,,,,120,126,0.488,,,,
Dave Pilipovich,Air Force,MWC,,18,14,0.562,,,,,2011-12,20,20,0.5,,,,,,20,20,0.5,,,,
J.P. Piper,Nicholls State,Southland,,9,21,0.3,,,,,2004-05,97,167,0.367,,,,,,97,167,0.367,,,,
Richard Pitino,Florida International,Sun Belt,,18,14,0.562,,,,,2012-13,18,14,0.562,,,,,,18,14,0.562,,,,
Rick Pitino *,Louisville,Big East,,35,5,0.875,2,2,Won National Final,,2001-02,310,111,0.736,10,5,3,1,,664,239,0.735,18,11,7,2
Chico Potts,Mississippi Valley State,SWAC,,5,23,0.179,,,,,2012-13,5,23,0.179,,,,,,5,23,0.179,,,,
Lewis Preston,Kennesaw State,A-Sun,,3,27,0.1,,,,,2011-12,6,55,0.098,,,,,,6,55,0.098,,,,
Jeff Price *,South Alabama,Sun Belt,,12,8,0.6,,,,,2012-13,12,8,0.6,,,,,,177,141,0.557,,,,
Joseph Price,Grambling,SWAC,,0,28,0,,,,,2012-13,0,28,0,,,,,,0,28,0,,,,
Steve Prohm,Murray State,OVC,,21,10,0.677,,,,,2011-12,52,12,0.812,1,,,,,52,12,0.812,1,,,
Oliver Purnell,DePaul,Big East,,11,21,0.344,,,,,2010-11,30,64,0.319,,,,,,424,343,0.553,6,,,
Barclay Radebaugh *,Charleston Southern,Big South,,19,13,0.594,,,,,2005-06,107,136,0.44,,,,,,107,136,0.44,,,,
Randy Rahe,Weber State,Big Sky,,30,7,0.811,,,,,2006-07,150,75,0.667,1,,,,,150,75,0.667,1,,,
Rick Ray,Mississippi State,SEC,,10,22,0.312,,,,,2012-13,10,22,0.312,,,,,,10,22,0.312,,,,
Brett Reed,Lehigh,Patriot,,21,10,0.677,,,,,2007-08,115,73,0.612,2,,,,,115,73,0.612,2,,,
Eric Reveno,Portland,WCC,,11,21,0.344,,,,,2006-07,96,126,0.432,,,,,,96,126,0.432,,,,
Dave Rice,UNLV,MWC,,25,10,0.714,18,,Lost Second Round,,2011-12,51,19,0.729,2,,,,,51,19,0.729,2,,,
King Rice,Monmouth,NEC,,10,21,0.323,,,,,2011-12,22,41,0.349,,,,,,22,41,0.349,,,,
Leon Rice,Boise State,MWC,,21,11,0.656,,,Lost First Round,,2010-11,56,41,0.577,1,,,,,56,41,0.577,1,,,
Mike Rice Jr,Rutgers,Big East,,15,16,0.484,,,,,2010-11,44,51,0.463,,,,,,117,82,0.588,2,,,
Keith Richard,Louisiana-Monroe,Sun Belt,,4,23,0.148,,,,,2010-11,14,73,0.161,,,,,,164,190,0.463,,,,
Luther Riley *,Alcorn State,SWAC,,10,24,0.294,,,,,2011-12,20,46,0.303,,,,,,20,46,0.303,,,,
Byron Rimm II,Prairie View,SWAC,,15,19,0.441,,,,,2006-07,88,133,0.398,,,,,,88,133,0.398,,,,
Craig Robinson,Oregon State,Pac-12,,14,18,0.438,,,,,2008-09,78,89,0.467,,,,,,108,117,0.48,,,,
Nick Robinson,Southern Utah,Big Sky,,11,20,0.355,,,,,2012-13,11,20,0.355,,,,,,11,20,0.355,,,,
Lorenzo Romar,Washington,Pac-12,,18,16,0.529,,,,,2002-03,237,129,0.648,6,3,,,,330,217,0.603,7,3,,
Dave Rose,BYU,WCC,,24,12,0.667,,,,,2005-06,209,66,0.76,6,1,,,,209,66,0.76,6,1,,
Monte Ross,Delaware,CAA,,19,14,0.576,,,,,2006-07,90,131,0.407,,,,,,90,131,0.407,,,,
Bo Ryan,Wisconsin,Big Ten,,23,12,0.657,23,18,Lost Second Round,,2001-02,291,113,0.72,12,5,,,,321,140,0.696,12,5,,
Scott Sanderson,Lipscomb,A-Sun,,12,18,0.4,,,,,2002-03,161,169,0.488,,,,,,161,169,0.488,,,,
Mark Schmidt,St. Bonaventure,A-10,,14,15,0.483,,,,,2007-08,88,95,0.481,1,,,,,170,185,0.479,1,,,
Joe Scott,Denver,WAC,,22,10,0.688,,,,,2007-08,102,84,0.548,,,,,,191,192,0.499,1,,,
Bill Self,Kansas,Big 12,,31,6,0.838,7,3,Lost Regional Semifinal,,2003-04,300,59,0.836,10,7,2,1,,507,164,0.756,15,10,2,1
Bennie Seltzer,Samford,Southern,,11,21,0.344,,,,,2012-13,11,21,0.344,,,,,,11,21,0.344,,,,
Herb Sendek,Arizona State,Pac-12,,22,13,0.629,,,,,2006-07,120,109,0.524,1,,,,,374,267,0.583,7,1,,
Rob Senderoff,Kent State,MAC,,21,14,0.6,,,,,2011-12,42,26,0.618,,,,,,42,26,0.618,,,,
Tony Shaver,William & Mary,CAA,,13,17,0.433,,,,,2003-04,116,189,0.38,,,,,,116,189,0.38,,,,
Steve Shields,Little Rock,Sun Belt,,17,15,0.531,,,,,2003-04,164,143,0.534,1,,,,,164,143,0.534,1,,,
John Shulman,Chattanooga,Southern,,13,19,0.406,,,,,2004-05,145,146,0.498,2,,,,,145,146,0.498,2,,,
Larry Shyatt,Wyoming,MWC,,20,14,0.588,,,,,1997-98,60,35,0.632,,,,,,130,119,0.522,,,,
Dave Simmons,McNeese State,Southland,,14,17,0.452,,,,,2006-07,101,116,0.465,,,,,,101,116,0.465,,,,
Marty Simmons,Evansville,MVC,,21,15,0.583,,,,,2007-08,88,103,0.461,,,,,,88,103,0.461,,,,
Pat Skerry,Towson,CAA,,18,13,0.581,,,,,2011-12,19,44,0.302,,,,,,19,44,0.302,,,,
Mark Slessinger,New Orleans,Ind,,8,18,0.308,,,,,2012-13,8,18,0.308,,,,,,8,18,0.308,,,,
Jerry Slocum,Youngstown State,Horizon,,18,16,0.529,,,,,2005-06,92,152,0.377,,,,,,92,152,0.377,,,,
Shaka Smart,VCU,A-10,,27,9,0.75,,,Lost Third Round,,2009-10,111,37,0.75,3,1,1,,,111,37,0.75,3,1,1,
Kyle Smith,Columbia,Ivy,,12,16,0.429,,,,,2010-11,42,44,0.488,,,,,,42,44,0.488,,,,
Tubby Smith,Minnesota,Big Ten,,21,13,0.618,,,Lost Third Round,,2007-08,124,81,0.605,3,,,,,511,226,0.693,17,9,1,1
Zach Spiker,Army,Patriot,,16,15,0.516,,,,,2009-10,53,67,0.442,,,,,,53,67,0.442,,,,
Jay Spoonhour,Eastern Illinois,OVC,,11,21,0.344,,,,,2012-13,11,21,0.344,,,,,,17,25,0.405,,,,
Kevin Stallings,Vanderbilt,SEC,,16,17,0.485,,,,,1999-00,277,176,0.611,6,2,,,,400,239,0.626,8,2,,
Brad Stevens,Butler,A-10,,27,9,0.75,,,Lost Third Round,,2007-08,166,49,0.772,5,2,2,,,166,49,0.772,5,2,2,
Scott Sutton,Oral Roberts,Southland,,20,15,0.571,,,,,1999-00,270,177,0.604,3,,,,,270,177,0.604,3,,,
Billy Taylor,Ball State,MAC,,15,15,0.5,,,,,2007-08,84,99,0.459,,,,,,165,168,0.495,1,,,
Blaine Taylor,Old Dominion,CAA,,2,20,0.091,,,,,2001-02,239,144,0.624,4,,,,,380,210,0.644,6,,,
Rodney Terry,Fresno State,MWC,,11,19,0.367,,,,,2011-12,24,39,0.381,,,,,,24,39,0.381,,,,
Aki Thomas,UMBC,AEC,,8,23,0.258,,,,,2012-13,8,23,0.258,,,,,,8,23,0.258,,,,
Bob Thomason *,Pacific,Big West,,22,13,0.629,,,Lost Second Round,,1988-89,436,322,0.575,5,,,,,436,322,0.575,5,,,
Brooks Thompson,UTSA,WAC,,10,22,0.312,,,,,2006-07,106,113,0.484,1,,,,,106,113,0.484,1,,,
John Thompson III,Georgetown,Big East,,25,7,0.781,,8,Lost Second Round,,2004-05,209,89,0.701,7,2,1,,,277,131,0.679,9,2,1,
Wayne Tinkle,Montana,Big Sky,,25,7,0.781,,,Lost Second Round,,2006-07,141,78,0.644,3,,,,,141,78,0.644,3,,,
Andrew Toole,Robert Morris,NEC,,24,11,0.686,,,,,2010-11,68,36,0.654,,,,,,68,36,0.654,,,,
Mark Turgeon,Maryland,ACC,,25,13,0.658,,,,,2011-12,42,28,0.6,,,,,,292,187,0.61,5,1,,
Russ Turner,UC-Irvine,Big West,,21,16,0.568,,,,,2010-11,46,55,0.455,,,,,,46,55,0.455,,,,
Donnie Tyndall *,Southern Miss,CUSA,,27,10,0.73,,,,,2012-13,27,10,0.73,,,,,,141,95,0.597,2,,,
Don Verlin,Idaho,WAC,,12,18,0.4,,,,,2008-09,81,78,0.509,,,,,,81,78,0.509,,,,
Greg Vetrone,FDU,NEC,,7,24,0.226,,,,,2009-10,26,95,0.215,,,,,,26,95,0.215,,,,
Chris Walker,Texas Tech,Big 12,,11,20,0.355,,,,,2012-13,11,20,0.355,,,,,,11,20,0.355,,,,
Rex Walters,San Francisco,WCC,,15,16,0.484,,,,,2008-09,77,82,0.484,,,,,,108,115,0.484,,,,
Brian Wardle,Green Bay,Horizon,,18,16,0.529,,,,,2010-11,47,49,0.49,,,,,,47,49,0.49,,,,
Cliff Warren,Jacksonville,A-Sun,,14,18,0.438,,,,,2005-06,114,132,0.463,,,,,,114,132,0.463,,,,
Gary Waters,Cleveland State,Horizon,,14,18,0.438,,,,,2006-07,136,100,0.576,1,,,,,307,235,0.566,3,,,
Bruce Weber,Kansas State,Big 12,,27,8,0.771,,12,Lost Second Round,,2012-13,27,8,0.771,1,,,,,340,163,0.676,9,3,1,
Michael White,Louisiana Tech,WAC,,27,7,0.794,,,,,2011-12,45,23,0.662,,,,,,45,23,0.662,,,,
Kevin Willard,Seton Hall,Big East,,15,18,0.455,,,,,2010-11,49,49,0.5,,,,,,94,98,0.49,,,,
Bob Williams,UCSB,Big West,,11,20,0.355,,,,,1998-99,248,201,0.552,3,,,,,248,201,0.552,3,,,
Buzz Williams,Marquette,Big East,,26,9,0.743,,15,Lost Regional Final,,2008-09,122,54,0.693,5,3,,,,136,71,0.657,5,3,,
Roy Williams,UNC,ACC,,25,11,0.694,11,,Lost Third Round,,2003-04,282,79,0.781,9,6,3,2,,700,180,0.795,23,15,7,2
Travis Williams,Tennessee State,OVC,,18,15,0.545,,,,,2012-13,18,15,0.545,,,,,,18,15,0.545,,,,
Corliss Williamson,Central Arkansas,Southland,,13,17,0.433,,,,,2010-11,26,62,0.295,,,,,,26,62,0.295,,,,
Marty Wilson,Pepperdine,WCC,,12,18,0.4,,,,,1995-96,25,47,0.347,,,,,,25,47,0.347,,,,
Willis Wilson,Texas A&M-Corpus Christi,Southland,,6,23,0.207,,,,,2011-12,12,47,0.203,,,,,,230,294,0.439,,,,
Reggie Witherspoon,Buffalo,MAC,,14,20,0.412,,,,,1999-00,198,228,0.465,,,,,,198,228,0.465,,,,
Doug Wojcik,College of Charleston,Southern,,24,11,0.686,,,,,2012-13,24,11,0.686,,,,,,164,103,0.614,,,,
Sean Woods,Morehead State,OVC,,15,18,0.455,,,,,2012-13,15,18,0.455,,,,,,65,98,0.399,1,,,
Ted Woodward,Maine,AEC,,11,19,0.367,,,,,2004-05,111,155,0.417,,,,,,111,155,0.417,,,,
Jim Wooldridge,UC-Riverside,Big West,,6,25,0.194,,,,,2007-08,70,112,0.385,,,,,,251,301,0.455,1,,,
Jay Wright,Villanova,Big East,,20,14,0.588,,,Lost Second Round,,2001-02,257,144,0.641,8,4,1,,,379,229,0.623,10,4,1,
Jim Yarbrough,Southeastern Louisiana,Southland,,13,18,0.419,,,,,2005-06,121,117,0.508,,,,,,121,117,0.508,,,,
Charlton Young,Georgia Southern,Southern,,14,19,0.424,,,,,2009-10,43,84,0.339,,,,,,43,84,0.339,,,,
Mike Young,Wofford,Southern,,13,19,0.406,,,,,2002-03,169,172,0.496,2,,,,,169,172,0.496,2,,,
