,,,,2024-25 Season,,,,,,,Career at Current School,,,,,,,,,Career Overall,,,,,,
Randy Bennett,Saint Mary's,WCC,,29,6,0.829,,24,Lost Second Round,,2001-02,562,222,0.717,11,1,,,,562,222,0.717,11,1,,
Grant Billmeier,NJIT,AEC,,6,25,0.194,,,,,2023-24,13,46,0.22,,,,,,14,46,0.233,,,,
Kenneth Blakeney,Howard,MEAC,,12,20,0.375,,,,,2019-20,73,96,0.432,2,,,,,73,96,0.432,2,,,
Jeff Boals,Ohio,MAC,,16,16,0.5,,,,,2019-20,114,76,0.6,1,,,,,169,118,0.589,1,,,
Chad Boudreau,Western Illinois,OVC,,12,19,0.387,,,,,2023-24,33,31,0.516,,,,,,33,31,0.516,,,,
Tad Boyle,Colorado,Big 12,,14,21,0.4,,,,,2010-11,312,204,0.605,6,,,,,368,270,0.577,6,,,
Solomon Bozeman,Arkansas-Pine Bluff,SWAC,,6,25,0.194,,,,,2021-22,36,88,0.29,,,,,,36,88,0.29,,,,
Kevin Broadus,Morgan State,MEAC,,14,18,0.438,,,,,2019-20,82,93,0.469,,,,,,119,118,0.502,1,,,
Alvin Brooks,Lamar,Southland,,20,13,0.606,,,,,2021-22,50,76,0.397,,,,,,104,160,0.394,,,,
Brad Brownell,Clemson,ACC,,27,7,0.794,,22,Lost First Round,,2010-11,292,196,0.598,5,2,,,,459,281,0.62,8,2,,
Shane Burcar,Northern Arizona,Big Sky,,18,16,0.529,,,,,2019-20,75,111,0.403,,,,,,75,111,0.403,,,,
Rashon Burno,Northern Illinois,MAC,,6,25,0.194,,,,,2021-22,39,85,0.315,,,,,,39,85,0.315,,,,
Landon Bussie,Alcorn State,SWAC,,11,21,0.344,,,,,2020-21,66,83,0.443,,,,,,66,83,0.443,,,,
Mark Byington,Vanderbilt,SEC,,20,13,0.606,,,Lost First Round,,2024-25,20,13,0.606,1,,,,,233,146,0.615,2,,,
Rick Cabrera,Northwestern State,Southland,,16,16,0.5,,,,,2023-24,25,39,0.391,,,,,,25,39,0.391,,,,
Jerrod Calhoun,Utah State,MWC,,26,8,0.765,,,Lost First Round,,2024-25,26,8,0.765,1,,,,,144,114,0.558,1,,,
John Calipari *,Arkansas,SEC,,22,14,0.611,16,20,Lost Regional Semifinal,,2024-25,22,14,0.611,1,1,,,,877,277,0.76,24,16,6,1
Jeff Capel III *,Pitt,ACC,,17,15,0.531,,,,,2018-19,114,107,0.516,1,,,,,289,217,0.571,4,1,,
Chris Caputo,George Washington,A-10,,21,13,0.618,,,,,2022-23,52,46,0.531,,,,,,52,46,0.531,,,,
Chris Casey,Fairfield,MAAC,,12,20,0.375,,,,,2023-24,36,33,0.522,,,,,,100,162,0.382,,,,
Jack Castleberry,FDU,NEC,,13,20,0.394,,,,,2023-24,28,37,0.431,,,,,,28,37,0.431,,,,
Patrick Chambers,Florida Gulf Coast,A-Sun,,19,15,0.559,,,,,2022-23,50,48,0.51,,,,,,240,226,0.515,1,,,
Nate Champion,Le Moyne,NEC,,9,23,0.281,,,,,2023-24,24,40,0.375,,,,,,24,40,0.375,,,,
Jim Christian,Canisius,MAAC,,3,28,0.097,,,,,2024-25,3,28,0.097,,,,,,323,314,0.507,2,,,
Austin Claunch,UTSA,AAC,,12,19,0.387,,,,,2024-25,12,19,0.387,,,,,,102,80,0.56,,,,
Speedy Claxton,Hofstra,CAA,,15,18,0.455,,,,,2021-22,81,52,0.609,,,,,,81,52,0.609,,,,
Jase Coburn,Portland State,Big Sky,,19,13,0.594,,,,,2021-22,62,64,0.492,,,,,,62,64,0.492,,,,
Bill Coen,Northeastern,CAA,,17,15,0.531,,,,,2006-07,299,299,0.5,2,,,,,299,299,0.5,2,,,
Jon Coffman,Purdue Fort Wayne,Horizon,,19,13,0.594,,,,,2014-15,198,155,0.561,,,,,,198,155,0.561,,,,
Brian Collins,Tennessee State,OVC,,17,16,0.515,,,,,2018-19,98,118,0.454,,,,,,98,118,0.454,,,,
Chris Collins,Northwestern,Big Ten,,17,16,0.515,,,,,2013-14,194,190,0.505,3,,,,,194,190,0.505,3,,,
Ed Conroy,The Citadel,Southern,,5,25,0.167,,,,,2006-07,75,144,0.342,,,,,,167,247,0.403,,,,
Ed Cooley,Georgetown,Big East,,18,16,0.529,,,,,2023-24,27,39,0.409,,,,,,361,261,0.58,7,1,,
Donald Copeland,Wagner,NEC,,14,16,0.467,,,,,2022-23,46,45,0.505,1,,,,,46,45,0.505,1,,,
Paul Corsaro,IU Indianapolis,Horizon,,10,22,0.312,,,,,2024-25,10,22,0.312,,,,,,10,22,0.312,,,,
Bill Courtney,Miami (FL),ACC,,3,16,0.158,,,,,2024-25,3,16,0.158,,,,,,63,129,0.328,,,,
Tim Craft,Western Carolina,Southern,,8,22,0.267,,,,,2024-25,8,22,0.267,,,,,,196,188,0.51,1,,,
Patrick Crarey II,Florida A&M,SWAC,,14,17,0.452,,,,,2024-25,14,17,0.452,,,,,,14,17,0.452,,,,
Mick Cronin,UCLA,Big Ten,,23,11,0.676,22,,Lost Second Round,,2019-20,138,64,0.683,4,3,1,,,503,235,0.682,15,4,1,
Scott Cross,Troy,Sun Belt,,23,11,0.676,,,Lost First Round,,2019-20,103,87,0.542,1,,,,,328,248,0.569,2,,,
Rick Croy,California Baptist,WAC,,17,15,0.531,,,,,2018-19,118,99,0.544,,,,,,118,99,0.544,,,,
Chris Crutchfield,Omaha,Summit,,22,13,0.629,,,Lost First Round,,2022-23,46,54,0.46,1,,,,,46,54,0.46,1,,,
Michael Czepil,Sacramento State,Big Sky,,7,25,0.219,,,,,2024-25,7,25,0.219,,,,,,7,25,0.219,,,,
Scott Davenport,Bellarmine,A-Sun,,5,26,0.161,,,,,2020-21,62,88,0.413,,,,,,62,88,0.413,,,,
Hubert Davis,UNC,ACC,,23,14,0.622,9,,Lost First Round,,2021-22,101,45,0.692,3,2,1,,,101,45,0.692,3,2,1,
Nathan Davis,New Hampshire,AEC,,8,24,0.25,,,,,2023-24,24,39,0.381,,,,,,153,154,0.498,2,,,
Johnny Dawkins Jr,UCF,Big 12,,20,17,0.541,,,,,2016-17,168,120,0.583,1,,,,,324,235,0.58,2,1,,
Ed DeChellis,Navy,Patriot,,15,19,0.441,,,,,2011-12,196,230,0.46,,,,,,415,461,0.474,2,,,
Travis DeCuire,Montana,Big Sky,,25,10,0.714,,,Lost First Round,,2014-15,226,134,0.628,3,,,,,226,134,0.628,3,,,
Mike DeGeorge,Cal Poly,Big West,,16,19,0.457,,,,,2024-25,16,19,0.457,,,,,,16,19,0.457,,,,
Darian DeVries,West Virginia,Big 12,,19,13,0.594,,,,,2024-25,19,13,0.594,,,,,,169,68,0.713,3,,,
Jake Diebler,Ohio State,Big Ten,,17,15,0.531,,,,,2023-24,25,18,0.581,,,,,,25,18,0.581,,,,
Jamie Dixon,TCU,Big 12,,16,16,0.5,,,,,2016-17,176,126,0.583,4,,,,,504,249,0.669,15,3,,
Steve Donahue,Penn,Ivy,,8,19,0.296,,,,,2015-16,131,130,0.502,1,,,,,331,344,0.49,4,1,,
Craig Doty,Houston Christian,Southland,,12,20,0.375,,,,,2024-25,12,20,0.375,,,,,,12,20,0.375,,,,
Bryce Drew,Grand Canyon,WAC,,26,8,0.765,,,Lost First Round,,2020-21,120,40,0.75,4,,,,,284,148,0.657,7,,,
Scott Drew,Baylor,Big 12,,20,15,0.571,8,,Lost Second Round,,2003-04,466,259,0.643,13,5,1,1,,486,270,0.643,13,5,1,1
Matthew Driscoll,North Florida,A-Sun,,15,17,0.469,,,,,2009-10,248,264,0.484,1,,,,,248,264,0.484,1,,,
Eric Duft,Weber State,Big Sky,,12,22,0.353,,,,,2022-23,50,49,0.505,,,,,,50,49,0.505,,,,
John Dunne,Marist,MAAC,,20,10,0.667,,,,,2018-19,96,110,0.466,,,,,,249,335,0.426,1,,,
Fran Dunphy,La Salle,A-10,,14,19,0.424,,,,,2022-23,45,55,0.45,,,,,,625,380,0.622,17,,,
Pat Duquette,UMass-Lowell,AEC,,17,15,0.531,,,,,2013-14,175,188,0.482,,,,,,175,188,0.482,,,,
Brian Dutcher,San Diego State,MWC,,21,10,0.677,,,Lost First Four,,2017-18,198,68,0.744,6,2,1,,,198,68,0.744,6,2,1,
Brian Earl,William & Mary,CAA,,17,15,0.531,,,,,2024-25,17,15,0.531,,,,,,113,118,0.489,,,,
Dan Earl,Chattanooga,Southern,,29,9,0.763,,,,,2022-23,68,38,0.642,,,,,,141,177,0.443,,,,
Rob Ehsan,UIC,MVC,,17,14,0.548,,,,,2024-25,17,14,0.548,,,,,,93,71,0.567,,,,
Josh Eilert,Utah,Big 12,,1,5,0.167,,,,,2024-25,1,5,0.167,,,,,,10,28,0.263,,,,
Andy Enfield,SMU,ACC,,24,11,0.686,,,,,2024-25,24,11,0.686,,,,,,285,186,0.605,6,2,,
Jim Engles,Columbia,Ivy,,12,15,0.444,,,,,2016-17,71,150,0.321,,,,,,182,289,0.386,,,,
Kim English,Providence,Big East,,12,20,0.375,,,,,2023-24,33,34,0.493,,,,,,67,63,0.515,,,,
Ethan Faulkner,Youngstown State,Horizon,,21,13,0.618,,,,,2024-25,21,13,0.618,,,,,,21,13,0.618,,,,
Aaron Fearne,Charlotte,AAC,,11,22,0.333,,,,,2023-24,30,34,0.469,,,,,,30,34,0.469,,,,
Kahil Fennell,Texas-Rio Grande Valley,Southland,,16,15,0.516,,,,,2024-25,16,15,0.516,,,,,,16,15,0.516,,,,
Quinton Ferrell,Presbyterian,Big South,,14,19,0.424,,,,,2019-20,62,122,0.337,,,,,,62,122,0.337,,,,
Jim Ferry,UMBC,AEC,,13,19,0.406,,,,,2021-22,60,68,0.469,,,,,,281,328,0.461,2,,,
Mark Few,Gonzaga,WCC,,26,9,0.743,6,23,Lost Second Round,,1999-00,742,152,0.83,25,13,2,,,742,152,0.83,25,13,2,
Adam Fisher,Temple,AAC,,17,15,0.531,,,,,2023-24,33,35,0.485,,,,,,33,35,0.485,,,,
Ben Fletcher,South Florida,AAC,,13,19,0.406,,,,,2024-25,13,19,0.406,,,,,,13,19,0.406,,,,
Steve Forbes,Wake Forest,ACC,,21,11,0.656,,,,,2020-21,92,65,0.586,,,,,,222,108,0.673,1,,,
Geno Ford,Stony Brook,CAA,,8,24,0.25,,,,,2019-20,86,101,0.46,,,,,,200,224,0.472,,,,
John Gallagher,Manhattan,MAAC,,17,14,0.548,,,,,2023-24,24,37,0.393,,,,,,193,244,0.442,1,,,
Joe Gallo,Merrimack,MAAC,,18,15,0.545,,,,,2019-20,100,79,0.559,,,,,,100,79,0.559,,,,
Eran Ganot,Hawaii,Big West,,15,16,0.484,,,,,2015-16,171,118,0.592,1,,,,,174,120,0.592,1,,,
Greg Gard,Wisconsin,Big Ten,,27,10,0.73,,16,Lost Second Round,,2015-16,213,117,0.645,7,2,,,,213,117,0.645,7,2,,
Dennis Gates,Missouri,SEC,,22,12,0.647,,,Lost First Round,,2022-23,55,46,0.545,2,,,,,105,86,0.55,3,,,
Kyle Gerdeman,Lindenwood,OVC,,16,17,0.485,,,,,2022-23,36,60,0.375,,,,,,36,60,0.375,,,,
Chris Gerlufsen,San Francisco,WCC,,25,10,0.714,,,,,2022-23,68,35,0.66,,,,,,76,40,0.655,,,,
Billy Gillispie,Tarleton State,WAC,,12,20,0.375,,,,,2020-21,78,74,0.513,,,,,,226,182,0.554,4,1,,
Corey Gipson,Austin Peay,A-Sun,,14,19,0.424,,,,,2023-24,33,35,0.485,,,,,,55,46,0.545,,,,
Todd Golden,Florida,SEC,,36,4,0.9,21,1,Won National Final,,2022-23,76,33,0.697,2,1,1,1,,133,69,0.658,3,1,1,1
Joe Golding,UTEP,CUSA,,18,15,0.545,,,,,2021-22,70,63,0.526,,,,,,204,177,0.535,2,,,
Doug Gottlieb,Green Bay,Horizon,,4,28,0.125,,,,,2024-25,4,28,0.125,,,,,,4,28,0.125,,,,
Stan Gouard,Southern Indiana,OVC,,10,20,0.333,,,,,2022-23,34,61,0.358,,,,,,34,61,0.358,,,,
Anthony Grant,Dayton,A-10,,23,11,0.676,,,,,2017-18,172,83,0.675,1,,,,,365,193,0.654,4,,,
Earl Grant,Boston College,ACC,,12,19,0.387,,,,,2021-22,61,72,0.459,,,,,,188,161,0.539,1,,,
Matthew Graves,Indiana State,MVC,,14,18,0.438,,,,,2024-25,14,18,0.438,,,,,,79,114,0.409,,,,
Justin Gray,Coastal Carolina,Sun Belt,,10,22,0.312,,,,,2024-25,10,22,0.312,,,,,,61,69,0.469,,,,
John Griffin III,Bucknell,Patriot,,18,15,0.545,,,,,2023-24,32,34,0.485,,,,,,32,34,0.485,,,,
John Groce,Akron,MAC,,28,7,0.8,,,Lost First Round,,2017-18,168,88,0.656,3,,,,,348,219,0.614,6,1,,
George Halcovage III,Buffalo,MAC,,9,22,0.29,,,,,2023-24,13,49,0.21,,,,,,13,49,0.21,,,,
A.W. Hamilton,Eastern Kentucky,A-Sun,,18,14,0.562,,,,,2018-19,122,102,0.545,,,,,,122,102,0.545,,,,
Leonard Hamilton *,Florida State,ACC,,17,15,0.531,,,,,2002-03,460,296,0.608,8,4,,,,660,506,0.566,11,5,,
Anfernee Hardaway,Memphis,AAC,,29,6,0.829,,25,Lost First Round,,2018-19,162,68,0.704,3,,,,,162,68,0.704,3,,,
Ray Harper,Jacksonville State,CUSA,,23,13,0.639,,,,,2016-17,169,125,0.575,2,,,,,258,189,0.577,4,,,
Jonas Hayes,Georgia State,Sun Belt,,14,19,0.424,,,,,2022-23,38,57,0.4,,,,,,42,57,0.424,,,,
Stan Heath,Eastern Michigan,MAC,,16,16,0.5,,,,,2021-22,47,78,0.376,,,,,,256,285,0.473,4,1,,
Shane Heirman,Incarnate Word,Southland,,19,17,0.528,,,,,2023-24,27,40,0.403,,,,,,27,40,0.403,,,,
Eric Henderson,South Dakota State,Summit,,20,12,0.625,,,,,2019-20,129,60,0.683,2,,,,,129,60,0.683,2,,,
Mitch Henderson,Princeton,Ivy,,19,11,0.633,,,,,2011-12,251,133,0.654,2,1,,,,251,133,0.654,2,1,,
Charlie Henry,Georgia Southern,Sun Belt,,17,16,0.515,,,,,2023-24,26,40,0.394,,,,,,26,40,0.394,,,,
Talvin Hester,Louisiana Tech,CUSA,,20,12,0.625,,,,,2022-23,57,40,0.588,,,,,,57,40,0.588,,,,
Cleo Hill Jr.,Maryland-Eastern Shore,MEAC,,6,25,0.194,,,,,2024-25,6,25,0.194,,,,,,6,25,0.194,,,,
Ross Hodge,North Texas,AAC,,27,9,0.75,,,,,2023-24,46,24,0.657,,,,,,46,24,0.657,,,,
Bryan Hodgson,Arkansas State,Sun Belt,,25,11,0.694,,,,,2023-24,45,28,0.616,,,,,,45,28,0.616,,,,
Fred Hoiberg,Nebraska,Big Ten,,21,14,0.6,,,,,2019-20,84,108,0.438,1,,,,,199,164,0.548,5,1,,
Shaheen Holloway,Seton Hall,Big East,,7,25,0.219,,,,,2022-23,49,53,0.48,,,,,,113,107,0.514,1,1,,
Stacy Hollowell,New Orleans,Southland,,4,27,0.129,,,,,2024-25,4,27,0.129,,,,,,4,27,0.129,,,,
Chris Holtmann,DePaul,Big East,,14,20,0.412,,,,,2024-25,14,20,0.412,,,,,,265,191,0.581,7,1,,
Jason Hooten,New Mexico State,CUSA,,17,15,0.531,,,,,2023-24,30,34,0.469,,,,,,291,203,0.589,,,,
Darrin Horn,Northern Kentucky,Horizon,,17,16,0.515,,,,,2019-20,114,76,0.6,1,,,,,285,187,0.604,2,1,,
Otis Hughley Jr.,Alabama A&M,SWAC,,10,22,0.312,,,,,2022-23,37,63,0.37,,,,,,37,63,0.37,,,,
Ron Hunter,Tulane,AAC,,19,15,0.559,,,,,2019-20,89,89,0.5,,,,,,481,363,0.57,4,,,
Bobby Hurley,Arizona State,Big 12,,13,20,0.394,,,,,2015-16,168,151,0.527,3,,,,,210,171,0.551,4,,,
Dan Hurley,UConn,Big East,,24,11,0.686,3,,Lost Second Round,,2018-19,165,69,0.705,5,2,2,2,,316,174,0.645,7,2,2,2
Alan Huss,High Point,Big South,,29,6,0.829,,,Lost First Round,,2023-24,56,15,0.789,1,,,,,56,15,0.789,1,,,
Martin Ingelsby,Delaware,CAA,,16,20,0.444,,,,,2016-17,147,137,0.518,1,,,,,147,137,0.518,1,,,
George Ivory,Mississippi Valley State,SWAC,,3,28,0.097,,,,,2022-23,9,85,0.096,,,,,,149,354,0.296,1,,,
Tom Izzo,Michigan State,Big Ten,,30,7,0.811,,7,Lost Regional Final,,1995-96,737,302,0.709,27,16,8,1,,737,302,0.709,27,16,8,1
Cornelius Jackson,Marshall,Sun Belt,,20,13,0.606,,,,,2024-25,20,13,0.606,,,,,,20,13,0.606,,,,
Donte Jackson,Grambling,SWAC,,12,22,0.353,,,,,2017-18,132,124,0.516,1,,,,,132,124,0.516,1,,,
Ben Jacobson,Northern Iowa,MVC,,20,13,0.606,,,,,2006-07,374,246,0.603,4,1,,,,374,246,0.603,4,1,,
John Jakus,Florida Atlantic,AAC,,18,16,0.529,,,,,2024-25,18,16,0.529,,,,,,18,16,0.529,,,,
Chris Jans,Mississippi State,SEC,,21,13,0.618,,,Lost First Round,,2022-23,63,40,0.612,3,,,,,206,84,0.71,6,,,
Jon Jaques,Cornell,Ivy,,18,11,0.621,,,,,2024-25,18,11,0.621,,,,,,18,11,0.621,,,,
Tony Jasick,Stephen F. Austin,Southland,,6,6,0.5,,,,,2024-25,6,6,0.5,,,,,,153,176,0.465,,,,
Rob Jeter,Southern Utah,WAC,,12,19,0.387,,,,,2023-24,22,40,0.355,,,,,,245,255,0.49,2,,,
Ben Johnson,Minnesota,Big Ten,,15,17,0.469,,,,,2021-22,56,71,0.441,,,,,,56,71,0.441,,,,
Kevin Johnson,Southern,SWAC,,20,12,0.625,,,,,2023-24,38,26,0.594,,,,,,103,126,0.45,,,,
Stan Johnson,Loyola Marymount,WCC,,17,15,0.531,,,,,2020-21,72,73,0.497,,,,,,72,73,0.497,,,,
Terrence Johnson,Texas State,Sun Belt,,16,16,0.5,,,,,2020-21,88,68,0.564,,,,,,88,68,0.564,,,,
Donnie Jones *,Stetson,A-Sun,,8,24,0.25,,,,,2019-20,86,102,0.457,1,,,,,241,231,0.511,1,,,
James Jones,Yale,Ivy,,22,8,0.733,,,Lost First Round,,1999-00,418,319,0.567,5,,,,,418,319,0.567,5,,,
Joe Jones,Boston University,Patriot,,16,16,0.5,,,,,2011-12,234,207,0.531,,,,,,320,315,0.504,,,,
Johnny Jones,Texas Southern,SWAC,,15,17,0.469,,,,,2018-19,121,107,0.531,3,,,,,416,341,0.55,6,,,
Mike Jones,UNC Greensboro,Southern,,20,12,0.625,,,,,2021-22,78,50,0.609,,,,,,252,200,0.558,1,,,
Mike Jones,Old Dominion,Sun Belt,,15,20,0.429,,,,,2024-25,15,20,0.429,,,,,,15,20,0.429,,,,
Robert Jones,Norfolk State,MEAC,,24,11,0.686,,,Lost First Round,,2013-14,236,159,0.597,3,,,,,236,159,0.597,3,,,
Dru Joyce III,Duquesne,A-10,,13,19,0.406,,,,,2024-25,13,19,0.406,,,,,,13,19,0.406,,,,
Jon Judkins,Utah Tech,WAC,,7,26,0.212,,,,,2020-21,53,96,0.356,,,,,,53,96,0.356,,,,
Greg Kampe,Oakland,Horizon,,16,18,0.471,,,,,1999-00,453,391,0.537,4,,,,,453,391,0.537,4,,,
Kevin Keatts,NC State,ACC,,12,19,0.387,,,,,2017-18,151,113,0.572,3,1,1,,,223,141,0.613,5,1,1,
Kyle Keller *,Stephen F. Austin,Southland,,8,11,0.421,,,,,2016-17,171,95,0.643,1,,,,,171,95,0.643,1,,,
Pat Kelsey,Louisville,ACC,,27,8,0.771,,21,Lost First Round,,2024-25,27,8,0.771,1,,,,,288,130,0.689,5,,,
Andy Kennedy,UAB,AAC,,24,13,0.649,,,,,2020-21,125,50,0.714,2,,,,,391,219,0.641,4,,,
Dustin Kerns,Appalachian State,Sun Belt,,17,14,0.548,,,,,2019-20,114,79,0.591,1,,,,,145,116,0.556,1,,,
David Kiefer,Southeastern Louisiana,Southland,,18,14,0.562,,,,,2019-20,86,101,0.46,,,,,,86,101,0.46,,,,
Dwayne Killings,Albany (NY),AEC,,17,16,0.515,,,,,2021-22,51,76,0.402,,,,,,51,76,0.402,,,,
Eric Konkol,Tulsa,AAC,,13,20,0.394,,,,,2022-23,34,60,0.362,,,,,,187,135,0.581,,,,
Brad Korn,Southeast Missouri State,OVC,,21,12,0.636,,,,,2020-21,74,85,0.465,1,,,,,74,85,0.465,1,,,
Tod Kowalczyk,Toledo,MAC,,18,15,0.545,,,,,2010-11,296,196,0.602,,,,,,432,308,0.584,,,,
Chris Kraus,Stonehill,NEC,,15,17,0.469,,,,,2022-23,33,61,0.351,,,,,,33,61,0.351,,,,
Rob Krimmel,Saint Francis (PA),NEC,,16,18,0.471,,,Lost First Four,,2012-13,171,228,0.429,1,,,,,171,228,0.429,1,,,
Kevin Kruger,UNLV,MWC,,18,15,0.545,,,,,2021-22,76,55,0.58,,,,,,76,55,0.58,,,,
Kevin Kuwik,Army,Patriot,,17,16,0.515,,,,,2023-24,27,38,0.415,,,,,,27,38,0.415,,,,
Jay Ladner,Southern Miss,Sun Belt,,11,22,0.333,,,,,2019-20,76,111,0.406,,,,,,152,199,0.433,,,,
Billy Lange,St. Joseph's,A-10,,22,13,0.629,,,,,2019-20,81,104,0.438,,,,,,173,219,0.441,,,,
Matt Langel,Colgate,Patriot,,14,19,0.424,,,,,2011-12,241,203,0.543,5,,,,,241,203,0.543,5,,,
Rob Lanier,Rice,AAC,,13,19,0.406,,,,,2024-25,13,19,0.406,,,,,,154,154,0.5,2,,,
Jim Larranaga,Miami (FL),ACC,,4,8,0.333,,,,,2011-12,274,174,0.612,6,4,1,,,716,483,0.597,11,5,2,
Anthony Latina,Sacred Heart,MAAC,,15,18,0.455,,,,,2013-14,156,211,0.425,,,,,,156,211,0.425,,,,
Steve Lavin,San Diego,WCC,,6,27,0.182,,,,,2022-23,35,62,0.361,,,,,,272,212,0.562,8,5,,
Shantay Legans,Portland,WCC,,12,20,0.375,,,,,2021-22,57,75,0.432,,,,,,132,124,0.516,1,,,
Grant Leonard,Queens (NC),A-Sun,,20,15,0.571,,,,,2022-23,52,49,0.515,,,,,,52,49,0.515,,,,
Jim Les,UC-Davis,Big West,,15,17,0.469,,,,,2011-12,210,216,0.493,1,,,,,364,356,0.506,2,1,,
Michael Lewis,Ball State,MAC,,14,17,0.452,,,,,2022-23,49,45,0.521,,,,,,49,45,0.521,,,,
Donny Lind,Mount St. Mary's,MAAC,,23,13,0.639,,,Lost First Round,,2024-25,23,13,0.639,1,,,,,23,13,0.639,1,,,
Tommy Lloyd,Arizona,Big 12,,24,13,0.649,10,15,Lost Regional Semifinal,,2021-22,112,33,0.772,4,3,,,,112,33,0.772,4,3,,
Josh Loeffler,Loyola (MD),Patriot,,12,19,0.387,,,,,2024-25,12,19,0.387,,,,,,12,19,0.387,,,,
Matt Logie,Montana State,Big Sky,,15,18,0.455,,,,,2023-24,32,36,0.471,1,,,,,32,36,0.471,1,,,
Ryan Looney,Idaho State,Big Sky,,15,15,0.5,,,,,2019-20,68,112,0.378,,,,,,68,112,0.378,,,,
Bart Lundy,Milwaukee,Horizon,,21,11,0.656,,,,,2022-23,63,38,0.624,,,,,,159,125,0.56,,,,
Jeremy Luther,Gardner-Webb,Big South,,11,20,0.355,,,,,2024-25,11,20,0.355,,,,,,11,20,0.355,,,,
Steve Lutz,Oklahoma State,Big 12,,17,18,0.486,,,,,2024-25,17,18,0.486,,,,,,86,53,0.619,3,,,
Chris Mack,College of Charleston,CAA,,24,9,0.727,,,,,2024-25,24,9,0.727,,,,,,302,142,0.68,9,4,,
Tony Madlock,Alabama State,SWAC,,20,16,0.556,,,Lost First Round,,2022-23,41,58,0.414,1,,,,,57,78,0.422,1,,,
Mark Madsen,California,ACC,,14,19,0.424,,,,,2023-24,27,38,0.415,,,,,,97,89,0.522,,,,
Mike Magpayo,UC-Riverside,Big West,,21,13,0.618,,,,,2020-21,89,63,0.586,,,,,,89,63,0.586,,,,
Gary Manchel,Mercyhurst,NEC,,15,16,0.484,,,,,2024-25,15,16,0.484,,,,,,15,16,0.484,,,,
Chris Markwood,Maine,AEC,,20,14,0.588,,,,,2022-23,48,48,0.5,,,,,,48,48,0.5,,,,
Bob Marlin,Louisiana,Sun Belt,,3,9,0.25,,,,,2010-11,269,198,0.576,2,,,,,494,329,0.6,4,,,
Phil Martelli Jr.,Bryant,AEC,,23,12,0.657,,,Lost First Round,,2023-24,43,25,0.632,1,,,,,43,25,0.632,1,,,
Cuonzo Martin,Missouri State,MVC,,9,23,0.281,,,,,2008-09,70,64,0.522,,,,,,273,221,0.553,4,1,,
Erik Martin,South Carolina State,MEAC,,20,13,0.606,,,,,2022-23,39,57,0.406,,,,,,39,57,0.406,,,,
Frank Martin,UMass,A-10,,12,20,0.375,,,,,2022-23,47,47,0.5,,,,,,335,248,0.575,5,2,1,
Mike Martin,Brown,Ivy,,14,13,0.519,,,,,2012-13,162,184,0.468,,,,,,162,184,0.468,,,,
Bashir Mason,St. Peter's,MAAC,,12,16,0.429,,,,,2022-23,45,48,0.484,1,,,,,210,178,0.541,1,,,
