,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
136,Kennesaw State,33,19,14,0.576,0.5,0.83,,10,8,,12,3,,5,8,,2526,2417,,71.6,101.6,0.402,0.384,0.516,45.8,51,11.5,11.3,0.476,13.7,26.8,0.276
137,Kent State,36,24,12,0.667,1.42,-2.67,,11,7,,11,4,,10,6,,2647,2459,,67.7,100.5,0.377,0.416,0.53,46.5,56.1,9.2,8.5,0.485,16.4,27.8,0.279
138,Kentucky NCAA,36,24,12,0.667,21.26,14.04,,10,8,,15,3,,4,6,,3040,2780,,72.2,106.5,0.306,0.437,0.535,48.1,47,8.8,8,0.503,12.4,26.4,0.22
139,La Salle,33,14,19,0.424,-3.64,1.02,,5,13,,10,5,,2,10,,2376,2465,,69.6,106.9,0.295,0.415,0.545,50,55,8.8,9,0.519,14.6,29.2,0.205
140,Lafayette,33,13,20,0.394,-10.19,-8.35,,7,11,,10,6,,3,14,,2261,2274,,65.9,103.4,0.273,0.379,0.533,51.4,54.3,9.3,6.4,0.502,15.1,27.8,0.201
141,Lamar,33,20,13,0.606,-2.17,-2.64,,14,6,,10,4,,9,6,,2306,2170,,66.8,98,0.337,0.379,0.5,47.6,56.1,11.4,9.1,0.468,16.1,30.9,0.225
142,Le Moyne,32,9,23,0.281,-17.81,-8.35,,4,12,,6,7,,2,16,,2371,2566,,69,113.2,0.366,0.412,0.572,52.1,56.9,10.7,9.1,0.538,14.4,31.9,0.267
143,Lehigh,30,11,19,0.367,-10.29,-6.71,,6,12,,8,5,,3,14,,2110,2143,,67.3,105.2,0.33,0.359,0.537,52.5,47.1,9.3,7.9,0.501,14.1,27.7,0.242
144,Liberty NCAA,35,28,7,0.8,7.42,-0.99,,13,5,,12,3,,9,2,,2655,2219,,67.1,94.2,0.245,0.353,0.489,51.1,40.1,9.1,8.7,0.456,15.7,26.6,0.18
145,Lindenwood,33,16,17,0.485,-13.17,-7.27,,10,10,,11,3,,3,12,,2348,2354,,70.6,99.6,0.329,0.376,0.523,50.7,50.5,10.3,10.6,0.489,17.7,30.6,0.23
146,Lipscomb NCAA,35,25,10,0.714,4.39,-4.43,,14,4,,15,3,,10,6,,2752,2371,,68,99.2,0.212,0.374,0.505,48.9,39.3,9.1,10.1,0.485,14.3,26.6,0.142
147,Little Rock,33,19,14,0.576,-6.86,-7.67,,12,8,,9,5,,9,7,,2287,2219,,68.1,98.1,0.378,0.433,0.509,51.8,57.8,12.3,7.2,0.465,18.4,35.1,0.272
148,Long Beach State,32,7,25,0.219,-10.29,-0.53,,3,17,,3,11,,4,11,,2152,2374,,65.9,111.2,0.351,0.378,0.559,51.7,49.8,10.7,7.5,0.524,14.9,34.1,0.256
149,Long Island University,33,17,16,0.515,-10.97,-9.97,,12,4,,10,5,,7,9,,2235,2156,,65.5,97.9,0.431,0.4,0.525,47.2,60.3,10.7,9.9,0.472,17.7,27.1,0.322
150,Longwood,32,18,14,0.563,-4.63,-5.04,,7,9,,12,4,,5,7,,2504,2371,,70.6,104.9,0.372,0.428,0.574,47.8,50.6,9.8,7.4,0.549,18.7,27.6,0.251
151,Louisiana,33,12,21,0.364,-10.7,-2.33,,8,10,,5,12,,6,5,,2159,2410,,66.7,108.7,0.437,0.373,0.556,55.6,48.8,9.3,11.6,0.512,16.6,35.3,0.318
152,Louisiana State,32,14,18,0.438,9.93,9.68,,3,15,,11,7,,2,8,,2363,2355,,69.5,104.7,0.295,0.358,0.515,51.5,47.4,11.4,9.9,0.483,14,34.3,0.208
153,Louisiana Tech,32,20,12,0.625,1.45,-0.72,,9,9,,11,4,,5,7,,2364,2188,,66.6,101,0.305,0.395,0.507,47,47.9,10.5,8.6,0.474,13.5,27.7,0.212
154,Louisiana-Monroe,32,7,25,0.219,-15.1,-4.3,,3,15,,5,11,,2,12,,2205,2417,,68.7,109.1,0.243,0.453,0.547,50.9,58.7,11,9.4,0.524,14.1,31.2,0.172
155,Louisville NCAA,35,27,8,0.771,18.49,9.49,,18,2,,14,3,,9,2,,2747,2432,,69,100.3,0.271,0.398,0.525,47.3,46.9,9.2,9.8,0.497,16.2,27.1,0.193
156,Loyola (IL),37,25,12,0.676,3.41,0.19,,12,6,,17,1,,7,5,,2721,2553,,67.4,101.4,0.336,0.394,0.524,48.5,50.5,9.4,8.9,0.485,15.4,27.7,0.246
157,Loyola (MD),31,12,19,0.387,-11.85,-8.48,,6,12,,7,7,,5,12,,2145,2205,,67,105.7,0.294,0.354,0.555,49.7,51.7,10.8,6.8,0.523,15.6,27.4,0.218
158,Loyola Marymount,32,17,15,0.531,1.2,2.94,,8,10,,11,6,,3,8,,2279,2290,,68.7,104.1,0.285,0.366,0.521,53,51.3,7.7,6.4,0.484,13.9,30.3,0.216
159,Maine,34,20,14,0.588,-6.58,-8.4,,10,6,,10,3,,8,11,,2409,2248,,67.1,98.2,0.285,0.362,0.523,53.9,54.5,8.6,7.3,0.492,19.1,31.8,0.203
160,Manhattan,31,17,14,0.548,-7.67,-8.37,,12,8,,9,5,,8,7,,2365,2327,,67.5,109,0.26,0.418,0.537,49.3,58.4,10.3,11.4,0.509,12.9,32,0.189
161,Marist,30,20,10,0.667,-8.95,-10.45,,13,7,,11,4,,9,5,,1979,1934,,64.2,99.2,0.332,0.354,0.509,47.3,45.1,10.7,6.9,0.469,14.4,25.6,0.24
162,Marquette NCAA,34,23,11,0.676,18.19,10.37,,13,7,,14,3,,7,6,,2603,2337,,68.1,100.2,0.305,0.394,0.534,51.3,59.9,8.2,8.8,0.499,18.6,31,0.223
163,Marshall,33,20,13,0.606,-2.26,-4.52,,12,6,,14,3,,5,9,,2499,2366,,69.2,103.2,0.4,0.325,0.53,48.4,40.1,8.9,8.5,0.49,15.1,29.3,0.282
164,Maryland NCAA,36,27,9,0.75,23.33,9.41,,14,6,,17,2,,5,5,,2919,2418,,70.4,95.1,0.261,0.362,0.505,48.3,49.2,6.8,6.8,0.471,17.6,28.2,0.192
165,Maryland-Baltimore County,32,13,19,0.406,-11.56,-8.21,,5,11,,8,9,,5,10,,2559,2522,,71.6,108.4,0.277,0.347,0.548,54.5,44.8,8.8,7.9,0.523,15.1,32.9,0.193
166,Maryland-Eastern Shore,31,6,25,0.194,-20.65,-4.47,,2,12,,5,7,,1,17,,2090,2410,,68.7,113.2,0.384,0.381,0.57,52.5,55.1,10.5,8.1,0.537,13.7,31.5,0.275
167,Massachusetts,32,12,20,0.375,-3.08,0.15,,7,11,,8,8,,4,7,,2333,2399,,71,104,0.356,0.402,0.531,48.8,57.3,9,8.9,0.493,15.2,30.5,0.256
168,Massachusetts-Lowell,32,17,15,0.531,-7.64,-7.6,,6,10,,14,4,,3,11,,2543,2371,,70.3,104.6,0.234,0.354,0.523,48,44.5,10.4,8.7,0.5,12.8,27.8,0.162
169,McNeese State NCAA,35,28,7,0.8,9.14,-1.05,,19,1,,13,1,,10,2,,2680,2256,,66.4,97.1,0.308,0.462,0.513,47.7,55.3,9.5,7.8,0.477,18.9,31.1,0.222
170,Memphis NCAA,35,29,6,0.829,12.15,5.66,,16,2,,13,2,,11,2,,2795,2568,,71.2,102,0.339,0.41,0.522,47.9,54.2,10.6,9.2,0.486,16.2,32.3,0.241
171,Mercer,33,14,19,0.424,-8.44,-5.11,,6,12,,7,6,,5,11,,2511,2485,,72.4,102.8,0.319,0.45,0.53,49.4,55.3,10.9,9.3,0.495,15.4,27.9,0.23
172,Mercyhurst,31,15,16,0.484,-15.65,-9.68,,9,7,,11,2,,4,14,,2105,2167,,65.4,105.6,0.385,0.394,0.571,55.2,54.8,8.7,8,0.536,19,32.2,0.277
173,Merrimack,33,18,15,0.545,-4.65,-6.04,,14,6,,8,5,,9,8,,2166,2120,,64.7,98.6,0.299,0.363,0.505,58.7,59.9,7.7,8.7,0.469,19.2,38.6,0.215
174,Miami (FL),31,7,24,0.226,0.38,7.03,,3,17,,7,10,,0,10,,2294,2500,,67.6,118.3,0.288,0.399,0.599,51.8,56.2,9,8.1,0.574,13.2,30.8,0.214
175,Miami (OH),34,25,9,0.735,-0.92,-5.36,,14,4,,15,1,,6,7,,2740,2473,,70.6,102.7,0.326,0.406,0.546,49.6,48.2,10.3,9.4,0.515,17.5,28.5,0.231
176,Michigan NCAA,37,27,10,0.73,20.21,13.69,,14,6,,13,3,,7,3,,2885,2644,,70.7,100.3,0.284,0.391,0.498,47,45.1,10.2,7.4,0.461,13.6,30.2,0.208
177,Michigan State NCAA,37,30,7,0.811,22.43,11.89,,17,3,,15,1,,8,2,,2874,2484,,69,97,0.315,0.407,0.5,43.7,52.6,8.6,8,0.462,14.1,24.7,0.225
178,Middle Tennessee,34,22,12,0.647,2.52,1.02,,12,6,,11,5,,8,5,,2608,2466,,69.2,102.2,0.315,0.361,0.518,48.2,48.8,9.1,8.9,0.48,14.2,28.1,0.231
179,Milwaukee,32,21,11,0.656,0.35,-3.79,,14,6,,13,3,,7,8,,2510,2295,,69.9,101.9,0.32,0.386,0.546,43.2,51.7,9.8,10.3,0.512,16.9,25.9,0.233
180,Minnesota,32,15,17,0.469,8.48,10.14,,7,13,,10,9,,5,5,,2178,2231,,63.8,107.2,0.33,0.343,0.539,50.6,60.4,8.5,10.1,0.501,14.1,30.6,0.245
181,Mississippi NCAA,36,24,12,0.667,18.28,12.8,,10,8,,13,3,,5,6,,2779,2582,,69.2,103,0.393,0.435,0.543,52.9,58,8.3,10.9,0.505,17.6,30.4,0.278
182,Mississippi State NCAA,34,21,13,0.618,17.14,11.79,,8,10,,10,5,,6,5,,2704,2522,,69.6,105.4,0.353,0.44,0.549,48.5,53,8.9,8.7,0.518,16.4,29.9,0.246
183,Mississippi Valley State,31,3,28,0.097,-34.6,-4.77,,1,17,,2,9,,1,19,,1678,2506,,66.6,121.4,0.37,0.38,0.593,56.9,52.9,14.5,9.9,0.57,13.1,36.8,0.253
184,Missouri NCAA,34,22,12,0.647,19.49,9.49,,10,8,,18,2,,3,7,,2844,2504,,69.8,105.1,0.357,0.378,0.55,49.1,49,9.6,10.5,0.509,17.4,32.3,0.269
185,Missouri State,32,9,23,0.281,-3.94,0.52,,2,18,,7,8,,1,12,,2175,2268,,64.6,106.8,0.372,0.394,0.569,48.7,54.7,10,11.6,0.537,17.2,28.4,0.266
186,Monmouth,33,13,20,0.394,-8.14,-3.11,,10,8,,8,2,,4,14,,2321,2487,,67.3,110.7,0.361,0.407,0.545,52.7,55.2,9.1,9.6,0.507,14.1,34.8,0.263
187,Montana NCAA,35,25,10,0.714,-1.45,-1.6,,15,3,,15,1,,7,8,,2680,2565,,68,107.4,0.304,0.348,0.548,50.8,46.5,8,8.2,0.514,14,27.8,0.225
188,Montana State,33,15,18,0.455,-2.77,-2.71,,9,9,,11,3,,3,14,,2354,2298,,66.7,104.1,0.315,0.318,0.524,53,46.4,8.4,7.5,0.481,13.7,29.1,0.242
189,Morehead State,32,15,17,0.469,-13.65,-7.52,,10,10,,9,5,,6,10,,2116,2199,,65.8,104.1,0.326,0.34,0.536,46.7,46.4,10,9,0.496,13.5,23.9,0.246
190,Morgan State,32,14,18,0.438,-15.13,-8.55,,7,7,,11,4,,2,13,,2559,2584,,73,109.3,0.386,0.342,0.543,49.9,53.8,10,8,0.511,15.3,35.6,0.264
191,Mount St. Mary's NCAA,36,23,13,0.639,-7.91,-6.48,,12,8,,10,4,,9,8,,2524,2538,,68,102.3,0.26,0.45,0.514,47.1,52.9,12.7,9.5,0.482,13.8,28.1,0.191
192,Murray State,33,16,17,0.485,0.81,0.4,,9,11,,7,5,,6,8,,2371,2282,,65.8,102.7,0.352,0.318,0.543,49,37.5,8.8,10.5,0.504,16.1,26.5,0.259
193,Navy,34,15,19,0.441,-9.9,-8.78,,10,8,,9,5,,6,12,,2407,2393,,66.8,104.9,0.331,0.41,0.548,48.5,50.2,8.5,9.2,0.517,15.7,26.9,0.233
194,NC State,31,12,19,0.387,5.56,6.36,,5,15,,12,6,,0,11,,2158,2183,,65.8,106.6,0.322,0.326,0.549,52.8,48.4,7.7,8.4,0.51,16.1,32.5,0.246
195,Nebraska,35,21,14,0.6,13.86,10.46,,7,13,,10,6,,5,7,,2660,2541,,69,103.7,0.266,0.459,0.533,49.9,52.3,8.3,8.8,0.505,15.3,28.5,0.19
196,Nevada,33,17,16,0.515,9.44,5.25,,8,12,,11,6,,3,8,,2386,2248,,64.9,104.2,0.379,0.447,0.551,49.3,62.3,8.7,7.5,0.513,16.5,26.5,0.273
197,Nevada-Las Vegas,33,18,15,0.545,6.65,5.53,,11,9,,12,5,,5,7,,2285,2248,,66,103.2,0.32,0.434,0.527,50.9,61.3,8.5,8.7,0.493,15.4,29.8,0.228
198,New Hampshire,32,8,24,0.25,-19.8,-7.47,,6,10,,6,7,,2,15,,2124,2450,,69,111,0.321,0.4,0.563,52.1,52.8,10.4,12.9,0.535,14.5,30.5,0.227
199,New Mexico NCAA,35,27,8,0.771,15.2,6.52,,17,3,,16,1,,7,4,,2819,2472,,72.8,96.4,0.346,0.382,0.522,47.5,58.6,9.4,9.6,0.493,18.2,25.7,0.23
200,New Mexico State,32,17,15,0.531,0.86,0.41,,10,8,,9,6,,8,6,,2229,2110,,67.1,97.9,0.392,0.426,0.501,47.2,52.3,9.2,9.8,0.458,14.2,27.3,0.273
201,New Orleans,31,4,27,0.129,-15.16,-0.61,,2,18,,0,11,,3,15,,2105,2556,,69.5,117.6,0.266,0.424,0.573,52.3,58.5,11,11.1,0.549,13.5,35.5,0.192
202,Niagara,31,11,20,0.355,-12.79,-8.56,,6,14,,6,7,,3,13,,2122,2214,,65.2,108.2,0.302,0.383,0.563,51.7,55.6,10.1,9.2,0.527,15.1,27.4,0.234
203,Nicholls State,33,20,13,0.606,-2.13,-2.46,,13,7,,11,4,,8,8,,2443,2296,,68.9,100.2,0.343,0.372,0.51,49.9,49.6,9.9,11.3,0.471,15.4,30.6,0.243
204,NJIT,31,6,25,0.194,-17.92,-7.85,,3,13,,4,9,,1,16,,2023,2269,,67.1,108.6,0.381,0.347,0.528,51.4,50.2,8.7,10,0.493,11.9,31.4,0.26
205,Norfolk State NCAA,35,24,11,0.686,-3.72,-6.65,,11,3,,11,1,,8,9,,2696,2440,,68.2,101.6,0.351,0.422,0.523,48.5,58.4,10,8.8,0.486,16.5,32.4,0.249
206,North Alabama,35,24,11,0.686,1.02,-5.5,,14,4,,16,1,,7,10,,2753,2471,,67.7,103.6,0.274,0.43,0.526,47.6,51.3,7.2,9.1,0.499,14.7,29.2,0.191
207,North Carolina NCAA,37,23,14,0.622,17.27,11.22,,13,7,,12,3,,6,6,,2987,2763,,70.7,104.9,0.305,0.381,0.531,47.9,47.7,8.7,10.5,0.495,13.4,26.9,0.226
208,North Carolina A&T,32,7,25,0.219,-13.28,-4.31,,3,15,,5,9,,2,15,,2213,2439,,69.5,109.7,0.308,0.387,0.546,52.4,57.2,8.4,9.4,0.511,13.3,30.7,0.228
209,North Carolina Central,33,14,19,0.424,-12.91,-8.05,,6,8,,10,4,,2,13,,2600,2501,,70.3,106.1,0.414,0.336,0.569,50,48.4,8.9,8.1,0.532,19.4,35.5,0.297
210,North Dakota,33,12,21,0.364,-7.39,-1.49,,5,11,,8,6,,2,12,,2550,2624,,70.4,113,0.315,0.403,0.577,48.1,47.6,9.2,9.3,0.547,13.5,27.9,0.235
211,North Dakota State,32,21,11,0.656,1.11,-3.58,,10,6,,11,4,,8,6,,2595,2386,,66.4,110.5,0.268,0.389,0.535,48.7,41,8.7,8.8,0.51,10.2,28.2,0.188
212,North Florida,32,15,17,0.469,-8.48,-3.74,,8,10,,8,6,,7,10,,2651,2712,,73.2,114.4,0.304,0.306,0.562,52.9,52.3,9.5,12.8,0.534,12.7,33.4,0.218
213,North Texas,36,27,9,0.75,7.7,0.84,,14,4,,17,1,,8,5,,2447,2165,,61.4,97.9,0.36,0.382,0.518,47.2,47.6,9.8,8.6,0.473,17.4,27.5,0.267
214,Northeastern,32,17,15,0.531,-4.64,-5.08,,9,9,,8,5,,7,8,,2243,2229,,67.1,103.7,0.303,0.347,0.532,49.9,47.7,10.5,10.1,0.503,15.7,31.4,0.211
215,Northern Arizona,34,18,16,0.529,-6.53,-5.73,,8,10,,10,5,,7,8,,2581,2435,,68,105.3,0.319,0.378,0.552,46.2,51.7,8.2,8.4,0.521,14.2,23.5,0.229
216,Northern Colorado,35,25,10,0.714,1.1,-3.84,,15,3,,13,2,,9,7,,2822,2545,,68.8,104.6,0.337,0.345,0.551,46.6,38.1,8.9,9.1,0.514,14.2,22,0.25
217,Northern Illinois,31,6,25,0.194,-16.6,-4.52,,2,16,,5,10,,1,15,,2199,2383,,70.9,107.2,0.429,0.381,0.554,55.6,54.2,9.2,9.1,0.515,15.4,29.4,0.305
218,Northern Iowa,33,20,13,0.606,5.24,0.46,,14,6,,14,3,,5,6,,2418,2223,,65.7,102.2,0.278,0.412,0.537,48.9,44.7,10.2,7.7,0.51,15.7,25.1,0.196
219,Northern Kentucky,33,17,16,0.515,-4.79,-3.14,,11,9,,12,6,,5,10,,2371,2377,,67.4,105.2,0.293,0.401,0.552,50.8,53.2,9.8,8.9,0.521,17.5,32.3,0.216
220,Northwestern,33,17,16,0.515,14.4,11.13,,7,13,,12,5,,2,9,,2390,2282,,66.1,103.1,0.366,0.393,0.542,50.2,61,8.2,8.9,0.499,17.3,30.1,0.274
221,Northwestern State,32,16,16,0.5,-5.07,-1.44,,12,8,,9,5,,6,10,,2146,2204,,64.8,105.4,0.327,0.396,0.528,49.2,50.8,11.3,11.2,0.495,15.2,32.6,0.231
222,Notre Dame,33,15,18,0.455,7.07,6.92,,8,12,,11,5,,3,9,,2397,2392,,65.4,108,0.3,0.405,0.549,48.1,55.1,8.9,9.1,0.514,13.2,26,0.227
223,Oakland,34,16,18,0.471,-2.67,-0.95,,11,9,,9,4,,6,11,,2402,2436,,64.6,108.5,0.273,0.414,0.541,48.9,61.6,9.1,9.9,0.511,14,32.4,0.2
224,Ohio,32,16,16,0.5,-2.63,-4.37,,10,8,,12,3,,3,10,,2554,2449,,71.6,106,0.352,0.327,0.55,51.9,47.7,9.3,8.6,0.518,15.6,28.7,0.248
225,Ohio State,32,17,15,0.531,17.86,12.58,,9,11,,11,6,,4,7,,2522,2353,,68.5,104.9,0.399,0.376,0.534,50.3,47.9,6,9.1,0.486,14.6,30.5,0.3
226,Oklahoma NCAA,34,20,14,0.588,14.86,11.22,,6,12,,12,5,,2,7,,2661,2537,,69.9,106.8,0.357,0.42,0.547,51.7,47.1,10.4,10.5,0.51,15.7,31.8,0.26
227,Oklahoma State,35,17,18,0.486,6.89,10.18,,7,13,,13,4,,3,10,,2556,2671,,71.9,106.1,0.364,0.426,0.562,49.8,55.5,11.2,11.5,0.53,17.7,29.6,0.258
228,Old Dominion,35,15,20,0.429,-9.71,-4.25,,8,10,,7,9,,5,7,,2376,2502,,66.2,107.2,0.342,0.354,0.533,48.3,49.8,10.2,9.8,0.5,13.7,31.6,0.237
229,Omaha NCAA,35,22,13,0.629,-1.61,-2.43,,13,3,,11,2,,7,9,,2707,2634,,69.1,109,0.366,0.444,0.559,48,51.3,8.4,8.4,0.525,13.3,25.6,0.262
230,Oral Roberts,30,7,23,0.233,-11.71,-0.78,,3,13,,7,7,,0,15,,2200,2356,,68.3,114.4,0.35,0.407,0.576,53.5,53,8.5,10,0.537,13.1,30.9,0.269
231,Oregon NCAA,35,25,10,0.714,18,12.32,,12,8,,12,4,,7,4,,2679,2480,,68.7,102,0.275,0.378,0.52,48.5,50.5,8.8,9,0.489,15.1,29.1,0.198
232,Oregon State,33,20,13,0.606,8.62,2.24,,10,8,,15,3,,3,7,,2516,2276,,65.1,104.8,0.31,0.411,0.538,46.7,57.4,9.2,7.4,0.505,14.7,28.2,0.223
233,Pacific,33,9,24,0.273,-7.11,2.09,,4,14,,5,10,,2,13,,2295,2500,,68.2,110.3,0.367,0.4,0.562,49.3,59.9,10.3,8.5,0.519,13.6,27.3,0.282
234,Penn State,31,16,15,0.516,13.57,7.7,,6,14,,11,6,,3,8,,2452,2270,,71,103.1,0.294,0.383,0.549,49.8,63.9,10.4,8.7,0.519,17.4,29.1,0.213
235,Pennsylvania,27,8,19,0.296,-10.56,-2.74,,4,10,,5,8,,3,10,,1878,2089,,67.5,114.1,0.258,0.392,0.561,51.7,53.8,8.7,9.7,0.53,11.7,29.7,0.199
236,Pepperdine,35,13,22,0.371,-2.82,2.56,,4,14,,7,9,,2,11,,2560,2681,,69.5,110.2,0.269,0.389,0.552,50.6,51.7,8.9,8.2,0.521,13.3,29.4,0.203
237,Pittsburgh,32,17,15,0.531,13.27,8.24,,8,12,,13,4,,3,9,,2428,2267,,66.8,105.2,0.328,0.413,0.545,50.5,52.7,8.1,7.9,0.511,16,29.9,0.238
238,Portland,32,12,20,0.375,-7.29,2.17,,7,11,,9,7,,3,9,,2334,2574,,69.5,114,0.217,0.414,0.562,52.1,57.6,10.7,8.6,0.539,11.7,29.4,0.16
239,Portland State,32,19,13,0.594,-4.41,-5.27,,11,7,,13,1,,5,10,,2418,2227,,69.9,99.1,0.336,0.382,0.528,47.6,53.4,9.5,7.5,0.488,18,29.2,0.248
240,Prairie View,32,5,27,0.156,-19.3,-7.3,,4,14,,3,7,,2,19,,2286,2637,,71.7,114.9,0.406,0.329,0.591,58.2,51.3,8.6,9.2,0.564,17.1,38.7,0.283
241,Presbyterian,33,14,19,0.424,-6.68,-4.35,,7,9,,8,5,,4,12,,2449,2341,,66.5,105.6,0.379,0.346,0.549,49.8,46.3,9.2,8.1,0.513,16,29.2,0.27
242,Princeton,30,19,11,0.633,-2.85,-2.49,,8,6,,9,4,,7,4,,2209,2162,,68.6,105.1,0.309,0.402,0.561,50,51.2,9.5,12.4,0.527,15.9,24.2,0.232
243,Providence,32,12,20,0.375,7.17,8.33,,6,14,,10,6,,2,9,,2283,2320,,66.6,108.4,0.328,0.37,0.531,47.2,48.9,10.9,9.3,0.495,11.9,28.7,0.238
244,Purdue NCAA,36,24,12,0.667,20.8,13.91,,13,7,,14,2,,5,6,,2781,2533,,66.2,106.3,0.301,0.426,0.547,48.3,58,8.9,8.5,0.518,15.3,29.7,0.215
245,Purdue Fort Wayne,32,19,13,0.594,-1,-4.06,,12,8,,12,2,,6,10,,2583,2388,,70.5,104.6,0.291,0.401,0.556,55,49.4,7.8,9.6,0.525,18.2,32,0.215
246,Queens (NC),35,20,15,0.571,-5.41,-4.95,,11,7,,9,5,,9,9,,2685,2611,,69.7,105.9,0.306,0.371,0.539,48.7,46.1,11.3,10.2,0.51,14.7,29.1,0.216
247,Quinnipiac,33,20,13,0.606,-5.94,-7.72,,15,5,,12,2,,7,10,,2439,2358,,71.6,99.5,0.279,0.377,0.519,46.1,56.8,11,11.3,0.489,15.2,25.6,0.198
248,Radford,33,20,13,0.606,-2.72,-3.43,,9,7,,10,3,,7,9,,2441,2314,,64.9,107.2,0.351,0.396,0.546,46.9,46.8,9.4,8.1,0.505,14.7,28.8,0.264
249,Rhode Island,31,18,13,0.581,1.06,-0.91,,7,11,,14,3,,1,9,,2419,2328,,71.2,104.2,0.304,0.396,0.525,48.7,51.4,11.6,10.8,0.491,13.9,28.5,0.219
250,Rice,32,13,19,0.406,-2.08,-2.12,,4,14,,7,8,,4,8,,2249,2249,,65.9,105.8,0.363,0.365,0.519,47.7,47.9,10.6,9.7,0.479,12.1,29.2,0.26
251,Richmond,32,10,22,0.313,-5.48,1.45,,5,13,,6,9,,2,11,,2137,2302,,64.8,108.5,0.363,0.476,0.552,53.5,51.6,8.9,9.7,0.516,13.8,27.2,0.263
252,Rider,33,14,19,0.424,-12.06,-7.24,,9,11,,5,7,,8,11,,2211,2370,,65.3,110,0.273,0.409,0.554,49.6,53.9,9.4,8.8,0.531,13.8,30.7,0.188
253,Robert Morris NCAA,35,26,9,0.743,0.4,-4.92,,15,5,,16,2,,8,6,,2694,2485,,68.8,101.3,0.298,0.357,0.533,46.6,51.7,10.2,9.4,0.501,16.4,28.3,0.214
254,Rutgers,32,15,17,0.469,10.41,10.94,,8,12,,11,5,,3,8,,2465,2482,,69.4,109.6,0.305,0.377,0.554,50.9,51.5,8.1,8.4,0.528,15,32.2,0.212
255,Sacramento State,32,7,25,0.219,-14.1,-4.06,,3,15,,5,11,,2,13,,2119,2257,,66.1,106.7,0.371,0.46,0.561,49.8,58,11.3,9.7,0.528,15.7,26.2,0.264
256,Sacred Heart,33,15,18,0.455,-9,-8.41,,10,10,,8,5,,5,11,,2502,2481,,70,106.9,0.271,0.432,0.548,49.1,60.2,10.7,10.3,0.518,15.3,29.5,0.201
257,Saint Francis (PA) NCAA,34,16,18,0.471,-12.76,-7.41,,8,8,,10,4,,6,13,,2415,2433,,67.1,104.7,0.27,0.429,0.529,50.3,50.5,11.8,8.7,0.498,14.1,28.6,0.198
258,Saint Joseph's,35,22,13,0.629,7.28,0.85,,11,7,,13,5,,4,6,,2627,2402,,68.4,99.7,0.259,0.329,0.504,48.3,50.8,9.7,9.8,0.469,14.1,27.9,0.195
259,Saint Louis,34,19,15,0.559,3.04,2.04,,11,7,,14,3,,4,9,,2527,2423,,68.5,103.3,0.243,0.393,0.513,49.8,47.9,10.5,11.5,0.487,13,27.6,0.171
260,Saint Mary's (CA) NCAA,35,29,6,0.829,17.43,6.46,,17,1,,16,1,,9,1,,2551,2138,,63.7,95.2,0.246,0.317,0.494,42.5,54.2,8.1,7.3,0.46,14.6,24.3,0.182
261,Saint Peter's,28,12,16,0.429,-10.64,-8.45,,7,13,,6,6,,6,10,,1848,1842,,65,100.3,0.372,0.381,0.514,46.8,50.5,10.6,11.7,0.47,15.8,30.8,0.271
262,Sam Houston,32,13,19,0.406,-2.86,1.31,,6,12,,9,4,,3,13,,2411,2433,,69.1,108.8,0.324,0.417,0.553,49.7,52,10,8,0.521,15.2,30.9,0.233
263,Samford,33,22,11,0.667,1.13,-3.58,,12,6,,13,3,,9,7,,2736,2492,,71.8,104.3,0.413,0.444,0.559,49.5,59.9,11.2,10.4,0.524,19.3,33.2,0.289
264,San Diego,33,6,27,0.182,-8.37,1.63,,2,16,,5,13,,0,12,,2314,2629,,71.6,111.3,0.458,0.38,0.58,52.1,56.9,9.9,9.4,0.538,16.2,31.5,0.337
265,San Diego State NCAA,31,21,10,0.677,12.77,8.14,,14,6,,12,3,,6,4,,2194,2004,,66.4,96.6,0.369,0.469,0.499,50.2,50.8,8.8,8.3,0.456,17,31.1,0.26
266,San Francisco,35,25,10,0.714,10.46,3.87,,13,5,,17,3,,5,5,,2660,2420,,69,99.8,0.365,0.357,0.522,49.3,47.6,9.7,7.8,0.483,15.8,27.5,0.257
267,San Jose State,35,15,20,0.429,0.5,4.05,,7,13,,7,9,,3,9,,2525,2568,,67.1,108.2,0.271,0.365,0.54,51.1,51.7,9.2,8.8,0.516,14,31.1,0.187
268,Santa Clara,34,21,13,0.618,13.22,4.25,,12,6,,12,5,,6,5,,2786,2481,,70.1,103,0.313,0.397,0.529,46.5,58,8.6,10.4,0.495,14.6,26.7,0.226
269,Seattle,32,14,18,0.438,-0.21,-1.35,,8,8,,9,5,,4,11,,2254,2125,,67.9,97.7,0.368,0.384,0.538,49.2,56.3,9.5,11.2,0.502,18.9,26.2,0.261
270,Seton Hall,32,7,25,0.219,-0.26,8.36,,2,18,,5,11,,0,11,,1970,2246,,64.7,107.2,0.396,0.444,0.581,52.2,59.2,10.5,10.7,0.546,19.4,31.8,0.288
271,Siena,32,14,18,0.438,-7.46,-7.58,,9,11,,9,5,,4,10,,2311,2307,,67.6,105,0.314,0.342,0.553,51.3,49.7,9.9,9.7,0.517,16,30,0.236
